"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"KIT","BAK","52637","Wilko Roaster 35 x 26cm","Wilko","35.5CM","27.0CM","5.7CM","Roaster","33x26cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","60600","Wilko Cake Tin Non-Stick Deep 20cm","Wilko","8.9CM","21.3CM","21.3CM","Cake Tins","20cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","60602","Wilko Sandwich Tin 19cm","Wilko","3.5CM","19.0CM","19.0CM","Cake Tins","19cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","60606","Wilko Kitchen Non-Stick Roaster 25 x 20cm","Wilko","25.9CM","20.7CM","3.5CM","Roaster","28x22cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","880740","Wilko Kitchen Non-Stick Sandwich Tin Square  19 x19 x 3.6cm","Wilko","21.0CM","21.1CM","3.4CM","Cake Tins","21cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","882040","Wilko Kitchen Non-Stick Sandwich Tin Deep Round19.5 x 3.5cm","Wilko","3.5CM","21.5CM","3.5CM","Cake Tins","19.5cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","883940","Wilko Oven Tray 36 x 25cm","Wilko","36.3CM","25.2CM","2.0CM","Baking Trays","36x25cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","888440","Wilko Wire Cooling Rack 43 x 27cm","Wilko","27.4CM","43.2CM","2.4CM","Cooling Trays","43x27cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","916540","Wilko 12 Cup Non-Stick Bun Sheet 32 x 24cm","Wilko","31.4CM","23.7CM","1.7CM","Cake Tins","32x24cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","305187","Wilko Best Roasting Tin 26 x 20 x 5cm","Wilko Best","5.0CM","26.0CM","20.0CM","Roaster","26x20cm","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","305188","Wilko Best Roasting Tin 35 x 25 x 6cm","Wilko Best","6.0CM","35.0CM","25.0CM","Roaster","35x23cmx6cm","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","305190","Wilko Best Baking Tray 28.5 x 27.4cm","Wilko Best","2.5CM","39.5CM","27.0CM","Baking Trays","39.5x27cm","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","305191","Wilko Best Cake Tin Square 24 x 24 x 5cm","Wilko Best","5.0CM","24.0CM","24.0CM","Cake Tins","24x24cm","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","305192","Wilko Best Loaf Tin Medium 24.5 x 15 x 6.5cm","Wilko Best","6.5CM","15.0CM","24.5CM","Loaf Tins","900g","Metal","1","C.STEEL,TEFLON COAT.",NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","BAK","305193","Wilko Best Oven Tray Steel 34 x 24 x 1.7cm","Wilko Best","1.7CM","34.0CM","24.0CM","Baking Trays","32x24cm","Metal",NA,"C.STEEL,TEFLON COAT.",NA,NA,NA,NA,NA,NA,NA,0.9
"KIT","BAK","318461","Wilko Best Cake Tin 22.7 x 7cm","Wilko Best","26.8CM","24.1CM","7.4CM","Cake Tins","9in","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","318534","Wilko Best Cake Tin 8in","Wilko Best","25.3CM","21.4CM","4.5CM","Cake Tins","8in","Metal",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","352891","Wilko Spring Form Cake Tin 10in","Wilko Best","7.1CM","26.0CM","26.0CM","Cake Tins","25.5x25.5cm","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","BAP","435081","Cake Decor Chocoholic Vanilla Two Stripe Icing","Cake Decor","21.1CM","7.5CM","4.8CM","Frosting","275g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","435082","Cake Decor Strawberry and Vanilla Two Stripe Icing","Cake Decor","21.1CM","7.5CM","4.8CM","Frosting","275g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435083","Cake Décor Hundreds and Thousands","Cake Decor","8.2CM","4.3CM","4.3CM","Decorations","65g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435084","Cake Décor Chocolatey Strands","Cake Decor","8.2CM","4.3CM","4.3CM","Decorations","55g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435085","Cake Décor Pink Glimmer Sugar","Cake Decor","8.2CM","4.3CM","4.3CM","Decorations","70g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435086","Cake Décor Micro Mallows","Cake Decor","8.2CM","4.3CM","4.3CM","Decorations","14g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435087","Cake Décor Glitter Spray Gold","Cake Decor","10.6CM","5.2CM","3.6CM","Decorations","4g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435088","Cake Décor Glitter Spray Silver","Cake Decor","10.6CM","5.2CM","3.6CM","Decorations","4g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435089","Cake Décor Bright Writing Icing 4pk","Cake Decor","11.9CM","4.6CM","4.6CM","Decorations","76g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435090","Cake Décor Choco Writers White","Cake Decor","18.2CM","4.7CM","2.7CM","Decorations","80g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435091","Cake Décor Choco Writers Milk","Cake Decor","18.2CM","4.7CM","2.7CM","Decorations","80g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435092","Cake Décor Ready To Roll Icing White","Cake Decor","13.0CM","8.0CM","2.6CM","Icing","250g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435093","Cake Décor Ready To Roll Icing Red","Cake Decor","13.0CM","8.0CM","2.6CM","Icing","250g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435094","Cake Décor Ready To Roll Icing Pink","Cake Decor","13.0CM","8.0CM","2.6CM","Icing","250g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","256669","Kilner Clip Top Glass Storage 1L","Kilner","15.6CM","13.1CM","11.2CM","Storage Jars","1L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","256670","Kilner Clip Top Glass Storage 1.5L","Kilner","19.9CM","13.5CM","11.8CM","Storage Jars","1.5L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","263845","Kilner Clip Top Jar 0.5L","Kilner","10.5CM","12.5CM","10.0CM","Storage Jars","500ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"KIT","BAP","289848","Kilner Preserve Jar 0.5L","Kilner","12.9CM","8.4CM","8.4CM","Storage Jars","500ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","289849","Kilner Preserves Jar 1L","Kilner","17.5CM","9.5CM","9.5CM","Storage Jars","1L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","319115","Kilner Stainless Steel Funnel","Kilner","5.2CM","14.5CM","14.5CM","Funnel",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"KIT","BAP","319120","Kilner Muslin Square 50 x 50cm Square 1pk","Kilner","27.9CM","18.2CM",".5CM","Muslin","50x50cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","319121","Kilner Bottle Airtight Clip Top Lid 1 Litre","Kilner","32.0CM","8.2CM","8.2CM","Bottles","1L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","319122","Kilner Bottle Lid 0.55L","Kilner","27.4CM","6.5CM","6.5CM","Bottles","550ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","319123","Kilner Bottle Lid 0.25L","Kilner","20.2CM","5.6CM","5.6CM","Bottles","250ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","319126","Storage Jar Clip-Top Glass 70ml","Kilner","8.2CM","7.1CM","5.2CM","Storage Jars","70ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","BAP","319127","Kilner The Original Preserve Jar 0.25L","Kilner","8.1CM","7.0CM","8.1CM","Storage Jars","250ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","319804","Kilner Thermometer","Kilner","30.9CM","12.2CM","7.6CM","Thermometer",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"KIT","BAP","328633","Kilner Jam Jar Sealing Kit 108 Piece","Kilner","23.0CM","16.0CM",".4CM","Seals","108 Piece",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328634","Kilner Replacement Rubber Seal Standard 6pk","Kilner","20.0CM","12.3CM","1.3CM","Seals","6 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328695","Kilner Clip Top Jar 2L","Kilner","22.0CM","12.0CM","12.0CM","Storage Jars","2L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328696","Kilner Twist Top Bottle 250ml","Kilner","23.0CM","5.0CM","5.0CM","Bottles","250ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328698","Kilner Twist Top Preserving Jar","Kilner","16.5CM","9.5CM","9.5CM","Storage Jars","720ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328700","Kilner Twist Top Jar 228ml","Kilner","9.0CM","7.0CM","7.0CM","Storage Jars","228ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328701","Kilner Twist Top Jar 93ml","Kilner","8.0CM","5.0CM","5.0CM","Storage Jars","93ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
