"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Washable","Power","Capacity","Model Number","DQ Score"
"KIT","DIN","319346","Wilko Serving Bowl Ceramic White 23cm","Wilko","24.3CM","23.0CM","20.0CM","Bowls","23cm","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","319375","Wilko Bowl Heart Shaped Ceramic White Small","Wilko","5.5CM","13.5CM","12.1CM","Bowls","Small","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","319376","Wilko Bowl Ceramic Heart Shaped Ceramic WhiteMedium","Wilko","6.4CM","16.7CM","15.0CM","Bowls","Medium","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","319378","Wilko Salt and Pepper Set Ceramic White","Wilko","8.0CM","5.0CM","5.0CM","Salt and Pepper Sets","Set","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","319546","Wilko Dinner Set Porcelain Super White 12 pcs","Wilko","31.8CM","30.5CM","23.7CM","Dinner Sets","12 Piece","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","319636","Wilko Seat Pad Purple","Wilko","42.0CM","42.0CM","7.5CM","Seat Pads","L43CM W43CM H5CM","Purple","1",NA,NA,NA,NA,NA,1
"KIT","DIN","328527","Wilko Coaster Slate 4pk","Wilko","10.0CM","10.0CM","1.0CM","Coasters","4 Pack","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","328597","Wilko Side Plate Colourplay Range Red and White","Wilko","22.0CM","22.0CM","2.7CM","Side Plate","22cm","Red","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","328598","Wilko Bowl Colourplay Range Red and White","Wilko","7.5CM","13.7CM","13.7CM","Bowls","14cm","Red","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","328599","Wilko Mug Colourplay Range Red and White","Wilko","10.2CM","8.7CM","8.7CM","Mugs","10.2cm x 8.7cm","Red","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","328600","Wilko Colourplay Cutlery Set Red 16 Piece","Wilko","21.8CM","8.0CM","8.0CM","Cutlery Sets","16 Piece Set","Red","16pcs",NA,NA,NA,NA,NA,1
"KIT","DIN","328606","Wilko Side Plate Colourplay Range Purple and White22cm","Wilko","22.0CM","22.0CM","2.7CM","Side Plate","22cm","Purple","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","328607","Wilko Colourplay Cutlery Set Black 16 pcs","Wilko","21.8CM","8.0CM","8.0CM","Cutlery Sets","16 Piece Set","Black","16pcs",NA,NA,NA,NA,NA,1
"KIT","DIN","328609","Wilko Bowl Colourplay Range Purple and White","Wilko","7.5CM","13.7CM","13.7CM","Bowls","14cm","Purple","1",NA,"Washable",NA,NA,NA,1
