"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"KIT","GAD","368340","Wilko Flat Grater Stainless Steel White","Wilko Functional",0.833333333333333
"KIT","GLA","429986","Drinks Dispenser Clear 7L","Wilko",0.891666666666667
"KIT","HOM","351581","Wilko Carbonation Drops 160g","Coopers",0.88
"KIT","HOM","ib00023","PET Bottles 500ml x 48","Coopers",0.95
"KIT","HOM","ib00024","i-brew Chardonnay Wine System","ibrew",0.81
"KIT","HOM","440533","Cheeky Chimp Amaretto Liqueur Starter KitMakes 6 x 750ml Bottles","Muntons",0.6
"KIT","HOM","440534","Cheeky Chimp Black Sambuca Liqueur Starter KitMakes 6 x 750ml Bottles","Muntons",0.6
"KIT","HOM","440535","Cheeky Chimp Amaretto Refill KitMakes 6 x 750ml Bottles","Muntons",0.6
"KIT","HOM","440536","Cheeky Chimp Coconut Rum Refill KitMakes 6 x 750ml Bottles","Muntons",0.6
"KIT","HOM","443334","Courage Directors Brewing KitMakes 36 Pints","Muntons",0.88
"KIT","HOM","453149","Gervin Recipe Booklet","Muntons",0.6
"KIT","HOM","453206","Woodfordes Starter Kit Real Ale 20 Pint","Other",0.6
"KIT","HOM","351554","Wine Shrink Capsules 30 pack","Wilko",0.88
"KIT","HOM","351555","Demijohn Brush","Wilko",0.81
"KIT","HOM","351583","Gervin Cider Yeast 5g Sachet","Wilko",0.88
"KIT","HOM","435882","John Bull IPA Brewing Kit 1.8kg","Wilko",0.6
"KIT","HOM","435883","John Bull Traditional English Ale Brewing Kit1.8kg","Wilko",0.95
"KIT","HOM","435884","John Bull Best Bitter Brewing Kit 1.8kg","Wilko",0.6
"KIT","HOM","435886","Woodfordes Admiral Reserve Real Ale Kit 3kgMakes 32 Pints","Wilko",0.6
"KIT","HOM","435887","Woodfordes Sundew Real Ale KitMakes 40 Pints","Wilko",0.6
"KIT","HOM","435890","Brewers Multi Purpose Heat Pad","Wilko",0.6
"KIT","HOM","453041","Kitchen Craft Chalk Board Lables with Chalk 12pk","Wilko",0.8625
"KIT","HOM","ib00019","Bloke Stuff Chardonnay Starter Kit","Wilko",0.95
"KIT","MSP","447465","Dragon Storage Box With Clips 42L","Heidrun",0.95
"KIT","MSP","447636","Dragon Storage Box 10 Litre","Heidrun",0.95
"KIT","MSP","448834","Dragon Storage Box 24 Litre","Heidrun",0.95
"KIT","MSP","448839","Dragon Storage Box 60 Litre","Heidrun",0.95
"KIT","MSP","451211","Dragon Storage Box Small With Carry Handle","Heidrun",0.833333333333333
"KIT","MUG","447391","Le'Xpress Infuser Teapot Stainless Steel and Glass","Kitchen Kraft",0.88
"KIT","MUG","447394","Le'Xpress Espresso Maker Italian Style 6 Cup","Kitchen Kraft",0.88
"KIT","MUG","427772","Wilko La Cafetiere 8 Cup","Other",0.95
"KIT","PLA","165744","Pedal Bin Stainless Steel 30L","Wilko",0.891666666666667
"KIT","PLA","450047","Microfibre Sink Drying Mat","Wilko",0.95
"KIT","PLA","317169","Wilko Cutlery Tray White Small","Wilko Functional",0.88
"KIT","PLA","317170","Wilko Dish Drainer White Small","Wilko Functional",0.88
