"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Washable","Size","Material","DQ Score"
"302198","Collection Lipgloss 1 Body Pop 5ml","Collection 2000","Lip Gloss","Pink",NA,"1",NA,"5ml",NA,0.81875
"304507","Collection Lipgloss 2 Beat Box 5ml","Collection 2000","Lip Gloss","Red",NA,NA,NA,"5ml",NA,0.775
"337376","Collection Nail Polish 3 Vixen Red 12ml","Collection 2000","Nail Polish","Red",NA,NA,NA,"12ml",NA,0.775
"337378","Collection Nail Polish 5 Coral Reef 12ml","Collection 2000","Nail Polish","Orange",NA,"1",NA,"12ml",NA,0.81875
"337380","Collection Nail Polish 7 Rasberry 12ml","Collection 2000","Nail Polish","Red",NA,"1",NA,"12ml",NA,0.81875
"337382","Collection Nail Polish 9 Chiffon Haze 12ml","Collection 2000","Nail Polish","Cream",NA,"1",NA,"12ml",NA,0.81875
"337383","Collection Nail Polish 10 Almost Nude 12ml","Collection 2000","Nail Polish","Cream",NA,"1",NA,"12ml",NA,0.81875
"337388","Collection Pencil 1 Vanilla Sky 3.5G","Collection 2000","Eye Shadow","Cream",NA,"1",NA,"3.5g",NA,0.81875
"337390","Collection Pencil 3 Vintage Blush 3.5G","Collection 2000","Eye Shadow","Pink",NA,"1",NA,"3.5g",NA,0.81875
"347334","Collection Mascara 17 Ultra Black 8ml","Collection 2000","Mascara","Black",NA,"1",NA,"8ml",NA,0.81875
"347342","Collection Mascara 17 Ultra Black Waterproof 8ml","Collection 2000","Mascara","Black",NA,"1",NA,"8ml",NA,0.81875
"347347","Collection Foundation Porcelain 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347353","Collection Foundation 2 Ivory 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347354","Collection  Foundation Cool Beige 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347355","Collection  Foundation Warm Beige 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347360","Collection Concealer 1 Fair 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5g",NA,0.81875
"347361","Collection Concealer 2 Cool Med 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5g",NA,0.81875
"347445","Collection Concealer 3 Warm Medium 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5",NA,0.81875
"347446","Collection  Powders 1 Fair 9g","Collection 2000","Powder Foundation","Cream",NA,"1",NA,"9g",NA,0.81875
"347447","Collection Powders 2 Medium 9g","Collection 2000","Powder Foundation","Cream",NA,"1",NA,"15g",NA,0.81875
"347448","Collection Bronze Glow 1 Sunkissed 19g","Collection 2000","Bronzer","Metal",NA,"1",NA,"19g",NA,0.81875
"347450","Collection Glow- Shimmering 2 Medium 15g","Collection 2000","Bronzer","Cream",NA,"1",NA,"15g",NA,0.81875
"347451","Collection Glow Matt 1 Terracotta 15g","Collection 2000","Bronzer","Metal",NA,"1",NA,"15g",NA,0.81875
"347453","Collection Bronze Glow Mosaic 2 15g","Collection 2000","Bronzer","Metal",NA,"1",NA,"15g",NA,0.81875
"352152","Collection 2000 Embossed Blush Shocking","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.78125
"352153","Collection Blush Bashful","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"352154","Collection 2000 Embossed Blush Cheeky","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.78125
"352155","Collection Blush Trouble","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"352156","Collection Eyebrow Kit Blonde","Collection 2000","Brows","Multi",NA,"1",NA,"1g",NA,0.76875
"352157","Collection 24hr Felt  Liner 5 Brown 7.8g","Collection 2000","Eye Liner","Brown",NA,"1",NA,"7.8g",NA,0.76875
"352158","Collection Colour Lash Mascara 1 Clear 8ml","Collection 2000","Mascara",NA,NA,"1",NA,NA,NA,0.73125
"352159","Collection Colour Lash Mascara 2 Black 8ml","Collection 2000","Mascara","Black",NA,"1",NA,"8ml",NA,0.81875
"352160","Collection Colour Lash Mascara Brown 3","Collection 2000","Mascara","Brown",NA,"1",NA,"8ml",NA,0.81875
"352161","Collection Colour Lash Mascara 4 Blue 8ml","Collection 2000","Mascara","Blue",NA,"1",NA,"8ml",NA,0.81875
"400649","Collection Concealer 4 Dark 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5g",NA,0.81875
"400657","Collection Nail Polish 11 Stormy Grey 12ml","Collection 2000","Nail Polish","Grey",NA,"1",NA,"12ml",NA,0.81875
"409065","Collection Lengthening Mascara 17 Ultra Black","Collection 2000","Mascara","Black",NA,"1",NA,NA,NA,0.775
"409066","CollectionLengthening Mascara 17 UltraBlack Waterproof","Collection 2000","Mascara","Black",NA,"1",NA,NA,NA,0.775
"417267","Collection Naturally Matt Foundation Porcelain 1","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
