"PSA_1","PSA_2","Article","Web Description","Brand","Capacity","Type","Colour","Size","Assembly","Coverage","Pack Qty","Material","Power","Model Number","DQ Score"
"GAR","CAN","239014","Wilko Garden Extra Strong Tree Ties 2pk","Wilko",NA,"Plant Ties",NA,"44cm",NA,NA,"1",NA,NA,NA,0.883333333333333
"GAR","CAN","248985","Wilko Soft Twist Plant Tie","Wilko",NA,"Plant Ties",NA,"4.8m",NA,NA,"1",NA,NA,NA,0.883333333333333
"GAR","CAN","25348","Wilko Garden Wire and Cutter 30m","Wilko",NA,"Wire and Twine",NA,"30m",NA,NA,"1",NA,NA,NA,0.883333333333333
"GAR","CAN","273926","Wilko Jute Twine Biodegradable  Natural 250m","Wilko",NA,"Wire and Twine",NA,"250m",NA,NA,NA,NA,NA,NA,0.825
"GAR","CAN","273928","Wilko Twine Jute Green 125m","Wilko",NA,"Wire and Twine","Green","125m",NA,NA,"1",NA,NA,NA,0.941666666666667
"GAR","FER","149819","Baby Bio Plant Food 175ml","Bayer",NA,"Plant Feed",NA,"175ml",NA,NA,NA,NA,NA,NA,0.8625
"GAR","FER","263019","Baby Bio Orchid Food 175ml","Bayer",NA,"Plant Feed",NA,"175ml",NA,NA,NA,NA,NA,NA,0.8625
"GAR","FER","342221","Baby Bio Original Food Single Drip Feed 40ml","Bayer",NA,"Plant Feed",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"GAR","FER","342222","Baby Bio Orchid Food Single-Use Dripper 40ml","Bayer",NA,"Plant Feed",NA,NA,NA,NA,"1",NA,NA,NA,0.8625
"GAR","FER","8354","Levington Tomorite Liquid Tomato Fertillser 1L","Levington",NA,"Plant Feed",NA,"1L",NA,NA,NA,NA,NA,NA,0.9125
"GAR","FER","70899","Miracle Gro All Purpose Soluble Plant Food 1kg","Miracle-Gro",NA,"Plant Feed",NA,"1kg",NA,NA,NA,NA,NA,NA,0.8625
"GAR","FER","313186","Bayer Toprose Rose and Shrub Feed 1kg","Toprose",NA,"Fertilisers",NA,"1kg",NA,NA,NA,NA,NA,NA,0.9125
"GAR","FER","274756","Wilko Bonemeal 1.5Kg","Wilko",NA,"Fertilisers",NA,"1.5kg",NA,NA,NA,NA,NA,NA,0.9125
"GAR","FER","274757","Wilko Fish Blood & Bone 1.5kg","Wilko",NA,"Fertilisers",NA,"1.5kg",NA,NA,NA,NA,NA,NA,0.9125
"GAR","FER","342194","Wilko Liquid General Purpose Pour and Feed 1L","Wilko",NA,"Plant Feed",NA,"1L",NA,NA,NA,NA,NA,NA,0.9125
"GAR","GRA","281346","Evergreen Autumn 2 in 1 Lawn Care Refill 3.5kg","Evergreen",NA,"Autumn Lawn Treatments",NA,"3.5kg",NA,NA,"1",NA,NA,NA,0.93
"GAR","GRA","341225","Gro-Sure Smart Seed 25m2","Gro-Sure",NA,"Lawn Seed",NA,NA,NA,NA,"1",NA,NA,NA,0.86
"GAR","GRA","341283","Wilko Multi-Purpose Lawn Seed 5kg","Wilko",NA,"Lawn Seed",NA,"5kg",NA,NA,NA,NA,NA,NA,0.86
"GAR","GRA","6479140","Wilko Luxury Lawn Seed 25kg","Wilko",NA,"Lawn Seed",NA,"25kg",NA,NA,"1",NA,NA,NA,0.93
"GAR","GRA","6479640","Wilko Hardwearing Lawn Seed 25kg","Wilko",NA,"Lawn Seed",NA,"25kg",NA,NA,"1",NA,NA,NA,0.93
"GAR","HAN","447645","Wilko Hanging Basket Reservoir","Wilko",NA,"Basket Reservoir",NA,"13.8X13.8X17cm","No",NA,NA,NA,NA,NA,0.93
"GAR","LIG","283642","Wilko Garden Solar Light Butterfly 50 LED","Wilko",NA,"String Lights",NA,NA,NA,NA,"50pk",NA,"Solar, Battery",NA,0.883333333333333
"GAR","LIG","329131","Wilko Solar Light Marker","Wilko",NA,"Solar Lights",NA,NA,NA,NA,"1",NA,"Solar, Battery",NA,0.883333333333333
"GAR","LIG","340981","Wilko Garden Solar Light Tiffany Stick","Wilko",NA,"Solar Lights",NA,NA,NA,NA,"1",NA,NA,NA,0.825
"GAR","NET","447673","Wilko Picket Fence Lawn Edging 99cm","Wilko",NA,"Lawn Edging",NA,"99cm",NA,NA,"1",NA,NA,NA,0.93
"GAR","ORN","341786","Wilko Mesh Bag Snow White Pebbles 1kg","Wilko",NA,"Decorative Pebbles","White","1kg",NA,NA,NA,NA,NA,NA,0.93
"GAR","PCL","434003","Greenhurst Georgina Style Planters 4pk Chocolate","Gablemere",NA,"Planters",NA,"Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia","No",NA,NA,NA,NA,NA,0.88
"GAR","PCL","434004","Greenhurst Georgina Style Planters 4pk Black","Gablemere",NA,"Planters",NA,"Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia","No",NA,NA,NA,NA,NA,0.88
"GAR","PCL","456337","Greenhurst Garden Planters Wood Effect Barrel 4pk","Gablemere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"GAR","PCL","456338","Gablemere Garden Planters Chalkboard Crate 3pk","Gablemere",NA,"Planters",NA,"H18 x L38 / 28.5 x D25 / 16cm","No",NA,NA,NA,NA,NA,0.93
"GAR","PCL","436277","Rowlinson Raised Patio Planter","Rowlinson",NA,"Planters",NA,"180cm","No",NA,NA,NA,NA,NA,0.93
"GAR","PCL","436278","Rowlinson Square Planter","Rowlinson",NA,"Planters",NA,"50cm","No",NA,NA,NA,NA,NA,0.93
"GAR","PCL","436282","Rowlinson Marberry Rectangular Planter","Rowlinson",NA,"Planters",NA,"50cm","No",NA,NA,NA,NA,NA,0.93
"GAR","POW","341489","Wilko Electric Lawn Mower 1000W","Wilko",NA,"Electric Mowers",NA,"1000W",NA,NA,NA,NA,NA,NA,0.825
"GAR","POW","409307","Wilko Replacement Blade for Wilko Mower 341489","Wilko",NA,"Mower Blades",NA,"51cm×14cm×8cm",NA,NA,NA,NA,NA,NA,0.825
"GAR","POW","409308","Wilko Mower Replacement Blade","Wilko",NA,"Mower Blades",NA,"51cm×14cm×8cm",NA,NA,NA,NA,NA,NA,0.825
"GAR","POW","409309","Wilko Replacement Blade for Wilko Mower 406171","Wilko",NA,"Mower Blades",NA,"51cm×14cm×8cm",NA,NA,NA,NA,NA,NA,0.825
"GAR","ROO","135504","IKOPro High Performance Roof Felt Adhesive 2.5L","IKO",NA,"Roof Felt Adhesive",NA,"2.5L",NA,NA,"1",NA,NA,NA,0.883333333333333
"GAR","ROO","135507","IKOpro Bitumen Paint Universal Black 2.5L","IKO",NA,"Protection Paint",NA,"2.5L",NA,NA,NA,NA,NA,NA,0.825
"GAR","ROO","135511","IKO Shed Felt Green Slate 8mx1m","IKO",NA,"Roof Felt",NA,"1mx8m",NA,NA,NA,NA,NA,NA,0.825
"GAR","ROO","135699","IKOpro Roof Repair Compound Universal Black 2.5kg","IKO",NA,"Roof Repair and Water Seal",NA,"2.5kg",NA,NA,NA,NA,NA,NA,0.825
"GAR","ROO","243441","IKOpro Flat Roof Renovator Universal 2.5L","IKO",NA,"Roof Repair and Water Seal",NA,"2.5L",NA,NA,NA,NA,NA,NA,0.825
"GAR","ROO","243448","IKOpro Rapid Repair Spray 500ml","IKO",NA,"Roof Repair and Water Seal",NA,"500ml",NA,"0.15m²","1",NA,NA,NA,0.941666666666667
"GAR","ROO","243450","IKOpro Waterseal High Performance 2.5L","IKO",NA,"Roof Repair and Water Seal",NA,"2.5L",NA,"4m²",NA,NA,NA,NA,0.883333333333333
"GAR","ROO","257196","IKO Waterproofing Super Shed Felt 8m x 1m","IKO",NA,"Roof Felt",NA,"1mx8m",NA,NA,NA,NA,NA,NA,0.825
"GAR","ROO","448682","IKO Super Shed Felt Black 8m","IKO",NA,"Shed Felt",NA,"8m",NA,"8m2","1",NA,NA,NA,0.891666666666667
"GAR","SPC","438589","Wilko Ultimate Thermal Garden Gloves Large","Wilko",NA,"Garden Gloves",NA,NA,NA,NA,"1",NA,NA,NA,0.86
