"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"GAR","BUA","292856","Wilko Bulbs Tulips Orange Emperor 11/12 10pk","Wilko","20.0CM","13.8CM","4.0CM","Tulips","11,12",NA,"10pk",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","315183","Wilko Bulbs Aestivum Leucojum 9/10 4pk","Wilko","20.0CM","13.8CM","4.0CM","Perennials",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","321178","Wilko Bulbs Dutch Iris White Blue 6/7 15pk","Wilko","20.0CM","13.8CM","4.0CM","Iris","6,7",NA,"15pk",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","454682","Wilko Bulbs Narcis Paperwhite 4pk","Wilko",".0CM","13.7CM","20.0CM","Narcissus","4 Daffodils bulb Paperwhite size 15/16",NA,"4pk","Flower Bulb","No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","454695","Wilko Allium Miami Bulbs 5pk","Wilko",".0CM","13.7CM","20.0CM","Allium","5 Allium Miami size 10/11",NA,"5pk","Flower Bulb","No",NA,NA,NA,NA,NA,NA,0.65
"GAR","BUA","454707","Wilko Bulbs Colour Pinks/Purples 100pk","Wilko",".0CM","16.0CM","20.0CM","Multi Pack Bulbs",NA,NA,"100pk","Flower Bulb","No",NA,NA,NA,NA,NA,NA,0.65
"GAR","CAN","239014","Wilko Garden Extra Strong Tree Ties 2pk","Wilko","2.8CM","8.8CM","11.1CM","Plant Ties","44cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"GAR","CAN","248985","Wilko Soft Twist Plant Tie","Wilko","3.8CM","6.0CM","11.0CM","Plant Ties","4.8m",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"GAR","CAN","25348","Wilko Garden Wire and Cutter 30m","Wilko","10.6CM","9.1CM","2.3CM","Wire and Twine","30m",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"GAR","CAN","273926","Wilko Jute Twine Biodegradable  Natural 250m","Wilko","10.0CM","10.0CM","10.0CM","Wire and Twine","250m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
