"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"GAR","COM","331180","Wilko Get Growing Compost Multi-Purpose 50L","Wilko Functional",0.6
"GAR","FER","149819","Baby Bio Plant Food 175ml","Bayer",0.8625
"GAR","FER","263019","Baby Bio Orchid Food 175ml","Bayer",0.8625
"GAR","FER","342221","Baby Bio Original Food Single Drip Feed 40ml","Bayer",0.8625
"GAR","FER","342222","Baby Bio Orchid Food Single-Use Dripper 40ml","Bayer",0.8625
"GAR","FER","70899","Miracle Gro All Purpose Soluble Plant Food 1kg","Miracle-Gro",0.8625
"GAR","NET","416133","Greenhurst Powertek Solar Post Lights AdjustableSet of 2","Gablemere",0.95
"GAR","PCL","333052","ELHO Pure Planter Round High Anthracite 35cm","Elho International",0.95
"GAR","PCL","333054","ELHO Pure Planter Round High Anthracite 45cm","Elho International",0.95
"GAR","PCL","434003","Greenhurst Georgina Style Planters 4pk Chocolate","Gablemere",0.88
"GAR","PCL","434004","Greenhurst Georgina Style Planters 4pk Black","Gablemere",0.88
"GAR","PCL","434010","Greenhurst Wenlock Planter 4pk Grey","Gablemere",0.95
"GAR","PCL","456337","Greenhurst Garden Planters Wood Effect Barrel 4pk","Gablemere",0.775
"GAR","SUN","338561","Decking Weed Brush Heavy Duty Wood","Charles Bentley",0.716666666666667
"GAR","SUN","436480","Forest Green Close Board Fence Panel 5ft Pack of10","Forest Garden",0.8625
"GAR","SUN","407851","Greenhurst Trellis Planter With Solar LightVerdigris","Gablemere",0.95
"GAR","SUN","407852","Greenhurst Trellis Planter with Solar Lighs BronzeEffect","Gablemere",0.95
"GAR","SUN","407861","Solar Gutter Lights Black Set of 2","Gablemere",0.891666666666667
"GAR","SUN","137399","Wilko Get Gardening Plant Labels 12cm x 50","Wilko Functional",0.833333333333333
"GAR","SUN","339846","Wilko Garden Rigger Gloves Mens Size 10","Wilko Functional",0.81
"GAR","SUN","339849","Wilko Garden Gloves Jersey Size 8 x 3 Pairs","Wilko Functional",0.81
"GAR","WAT","313385","Water Butt Slim Injection 100L","Wilko",0.88
"GAR","WAT","313387","Water Butt Green 230L","Wilko",0.88
"GAR","WAT","313392","Water Butt Stand Slim Black","Wilko",0.88
"GAR","WAT","313393","Water Butt Stand Black","Wilko",0.88
"GAR","WEE","428876","Resolva Moss Killer 1L","Resolve",0.8625
"GAR","WEE","100877","Roundup Fast Action Weedkiller 1L","Round Up",0.95
"GAR","WEE","313328","Roundup Weedkiller Gel 150ml","Round Up",0.95
"GAR","WEE","263130","Patio Magic 2.5L","Scotts",0.8625
"GAR","WEE","260566","Big Cheese Multi Catch Mouse Trap","The Big Cheese",0.95
"GAR","WEE","283371","Big Cheese Block Bait 15g","The Big Cheese",0.88
"GAR","WEE","342236","Big Cheese All Weather Bait 50 Blocks","The Big Cheese",0.81
"GAR","WEE","409378","Big Cheese Ultra Power Rat Trap Twinpack","The Big Cheese",0.8625
"GAR","WEE","428735","Big Cheese Rat Trap Baited Ready To Use","The Big Cheese",0.88
"GAR","WEE","441548","Big Cheese Ultra Power Bait Mouse Killer","The Big Cheese",0.88
"GAR","WEE","448694","Big Cheese Fresh Baited Mouse Trap RTU","The Big Cheese",0.88
"GAR","WEE","448677","Growing Success Slug Killer 575g","Westland",0.88
"GAR","WEE","416334","Doff Cat & Dog Repellent Spray 1L","Wilko",0.81
"GAR","WEE","416336","Doff Cat & Dog  Repellent Spikes 4pk","Wilko",0.81
