"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","DQ Score"
"GAR","FER","199748","Miracle-Gro All Purpose Concentrated Liquid PlantFood 1L","Miracle-Gro","27.8CM","14.0CM","5.5CM","Plant Feed","1L",NA,"1",NA,NA,NA,NA,1
"GAR","FER","135397","Wilko Compost Maker 1.5kg","Wilko","20.7CM","13.0CM","6.2CM","Compost Maker","1.5kg",NA,"1",NA,NA,NA,NA,1
"GAR","FER","274758","Wilko Growmore  Plant Food 1.5kg","Wilko","20.7CM","13.0CM","6.2CM","Fertilisers","1.5kg",NA,"1",NA,NA,NA,NA,1
"GAR","GRA","323103","Westland Autumn Lawn Feed and Moss Killer 5.2kg","Westland","37.0CM","24.5CM","14.3CM","Autumn Lawn Treatments","5.25kg",NA,"1",NA,NA,NA,"150sqm",1
"GAR","PCL","430513","Scheurich Indoor Plant Pot Dark Red 16cm","Scheurich","14.0CM","16.0CM","16.0CM","Plant Pots","16cm","Red",NA,NA,"No",NA,NA,1
"GAR","PCL","444493","Scheurich Indoor Plant Pot Pannacotta 12cm","Scheurich","11.0CM","12.0CM","12.0CM","Plant Pots","Planter 12cm","White",NA,NA,"No",NA,NA,1
"GAR","SUN","416263","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 3","Forest Garden","4.4CM","182.8CM","91.1CM","Lap Panels","91 x 183 x 4","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416267","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 3","Forest Garden","13.2CM","182.8CM","121.5CM","Lap Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416271","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 3","Forest Garden","13.2CM","182.8CM","152.0CM","Lap Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416275","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 3","Forest Garden","13.2CM","182.8CM","182.5CM","Lap Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416289","Forest Garden Hamburg Screen Panel 1.8m Pk of 6","Forest Garden","4.0CM","180.0CM","180.0CM","Hamburg Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416290","Forest Garden Prague Fence Panel 1.8m Pk of 3","Forest Garden","41.0CM","180.0CM","180.0CM","Prague Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416298","Forest Garden Close Board Fence Panel 3ft Pk of 3","Forest Garden","4.8CM","182.8CM","91.7CM","Close Board Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416302","Forest Garden Close Board Fence Panel 4ft Pk of 3","Forest Garden","4.8CM","182.8CM","122.2CM","Close Board Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416306","Forest Garden Close Board Fence Panel 5ft Pk of 3","Forest Garden","4.8CM","182.8CM","152.7CM","Close Board Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416310","Forest Garden Close Board Fence Panel 6ft Pk of 3","Forest Garden","4.8CM","182.8CM","182.8CM","Close Board Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416320","Forest Garden Pale Fence Panel Pk of 5","Forest Garden","3.8CM","182.8CM","90.0CM","Pale Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416321","Forest Garden Pale Fence Panel Pk of 6","Forest Garden","3.8CM","182.8CM","90.0CM","Pale Panels","H122 x W183 x D4cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416326","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 4","Forest Garden","7.5CM","7.5CM","240.0CM","Fence Posts","H122 x W183 x D7.5cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416328","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 6","Forest Garden","7.5CM","7.5CM","240.0CM","Fence Posts","H122 x W183 x D7.5cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","416329","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 7","Forest Garden","7.5CM","7.5CM","240.0CM","Fence Posts","H122 x W183 x D7.5cm","Brown",NA,NA,NA,NA,NA,1
"GAR","SUN","436510","Forest Garden Victorian Wall Green House","Forest Garden","195.0CM","147.0CM","75.0CM","Mini Greenhouses","H 198.2cm x W 146.7cm x D 74.0cm",NA,NA,"Softwood","Yes",NA,NA,1
"GAR","SUN","413542","Palram Skylight Amber Shed 6 x 3","Palram","215.0CM","188.0CM","110.0CM","Polycarbonate Sheds","6 x 3","Brown",NA,NA,"Yes",NA,NA,1
"GAR","SUN","413543","Palram Skylight Amber Garden Shed 4 x 6","Palram","201.5CM","125.0CM","186.0CM","Polycarbonate Sheds","186L x 125W x 201.5H","Brown",NA,NA,"Yes",NA,NA,1
"GAR","SUN","413544","Palram Skylight Amber Shed 6 x 5","Palram","215.0CM","188.0CM","163.0CM","Polycarbonate Sheds","6 x 5","Brown",NA,NA,"Yes",NA,NA,1
"GAR","SUN","413545","Palram Skylight Amber Shed 6 x 8","Palram","215.0CM","188.0CM","239.0CM","Polycarbonate Sheds","6 x 8","Brown",NA,NA,"Yes",NA,NA,1
"GAR","SUN","413546","Palram Skylight Amber Shed 6 x 10","Palram","215.0CM","188.0CM","314.0CM","Polycarbonate Sheds","6 x 10","Brown",NA,NA,"Yes",NA,NA,1
"GAR","SUN","407767","Rowlinson Greenvale Metal Pent Garden Shed 6 x 4","Rowlinson","172.0CM","119.0CM","194.0CM","Metal Sheds","6 x 4","Green",NA,"Steel","No",NA,NA,1
"GAR","SUN","457136","Wilko Garden Weather Vane","Wilko","170.0CM","33.0CM","43.0CM","Weather Vane","Weather vane 43x33x170cm","Silver","1",NA,NA,NA,NA,1
"GAR","SUN","457148","Wilko Garden Station Clock","Wilko","25.0CM","25.0CM","4.0CM","Clocks","Length 4cm, Width 20cm, Height 25cm","Gold","1",NA,NA,NA,NA,1
"GAR","SUN","457149","Wilko Garden Thermometer","Wilko","25.0CM","5.0CM","10.0CM","Thermometer","Length 10cm, Width 5cm, Height 25cm","Gold","1",NA,NA,NA,NA,1
"GAR","SUN","457150","Wilko Garden Twine in a Tin","Wilko","8.0CM","8.0CM","13.0CM","Wire and Twine","Length 13cm, width 8cm, Height 8cm","Green","1","Galvanized Metal",NA,NA,NA,1
"GAR","TOO","135746","Wilko Pruner Vinyl Grip Handles 8in","Wilko","21.5CM","6.0CM","3.0CM","Secateurs, Pruners and Garden Shears",NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","408601","Wilko Functional Garden Shovel","Wilko","18.0CM","23.5CM","97.0CM","Digging and Planting",NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444096","Wilko Digging Spade Carbon Steel","Wilko","8.5CM","18.0CM","110.0CM","Digging and Planting",NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444106","Wilko Hand Tulip Shovel Carbon Steel","Wilko","18.0CM","22.0CM","51.5CM","Digging and Planting",NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444108","Wilko Hand Fork Carbon Steel","Wilko","5.5CM","7.5CM","32.0CM","Hand Tools",NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","444130","Wilko Forged Contractor Fork","Wilko","10.0CM","19.0CM","102.0CM","Digging and Planting",NA,NA,NA,NA,NA,NA,NA,1
"GAR","TOO","447467","Wilko Garden Tool Handle","Wilko","7.5CM","12.6CM","29.1CM","Planting Accessories",NA,NA,NA,NA,NA,NA,NA,1
"GAR","TRA","413531","Palram Balance Greenhouse Silver 8x12","Palram","231.0CM","243.0CM","366.0CM","Greenhouses","8x12",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,1
"GAR","TRA","413532","Palram Victory Orangery Greenhouse 12x10","Palram","270.0CM","361.0CM","306.0CM","Greenhouses","12x10",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,1
"GAR","TRA","413533","Palram Mythos Greenhouse Silver 6x4","Palram","208.0CM","185.0CM","126.0CM","Greenhouses","126L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,1
"GAR","TRA","413534","Palram Mythos Greenhouse Silver 6x6","Palram","208.0CM","185.0CM","186.0CM","Greenhouses","186L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,1
"GAR","TRA","413535","Palram Mythos Greenhouse Silver 6x8","Palram","208.0CM","185.0CM","247.0CM","Greenhouses","247L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,1
"GAR","TRA","413536","Palram Mythos  Greenhouse Silver 6x10","Palram","208.0CM","185.0CM","306.0CM","Greenhouses","306L x 185W x 208H",NA,NA," Aluminium polycarbonate plastic","Yes",NA,NA,1
"GAR","TRA","435718","Palram Aluminium Greenhouse Window Auto Vent Arm","Palram","5.0CM","40.0CM","7.0CM","Arms","40W x 7L x 5H cm",NA,NA,"Aluminium","Yes",NA,NA,1
"GAR","TRA","435721","Palram Greenhouse Side Louver Window","Palram","6.0CM","62.0CM","62.0CM","Side Louver","H 62cm x Wi 62cm x 6cm Thickness. 62cm Window",NA,NA,"Aluminium","Yes",NA,NA,1
"GAR","TRA","pr00001","Palram Polycarbonate Greenhouse Green 6x4","Palram","209.0CM","185.0CM","122.0CM","Greenhouses","6ft x 4ft","Green",NA,NA,"Yes",NA,NA,1
"GAR","TRA","pr00002","Palram Polycarbonate Greenhouse Green 6x6","Palram","209.0CM","185.0CM","184.0CM","Greenhouses","6ft x 6ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,1
"GAR","TRA","pr00003","Palram Polycarbonate Greenhouse Green 6x8ft","Palram","209.0CM","185.0CM","248.0CM","Greenhouses","6ft x 8ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,1
"GAR","TRA","pr00004","Palram Polycarbonate Greenhouse Green 6x10","Palram","209.0CM","185.0CM","310.0CM","Greenhouses","6ft x 10ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,1
