"Article","Web Description","Brand","Type","Size","DQ Score"
"232062","Berol Pen Handwriting Black Medium 2pk","Berol","Rollerball Pens","Medium",1
"53216","Berol Handwriting Pen Blue Medium 2pk","Berol","Rollerball Pens","Medium",1
"233149","Bic Cristal Original Ballpoint Pens Black 4pk","Bic","Ballpoint Pens","Medium",1
"262466","Bic Cristal Grip Ballpoint Pens Black 4pk","Bic","Ballpoint Pens","Medium",1
"262479","Bic Cristal Original Ballpoint Pens AssortedColours 4pk","Bic","Ballpoint Pens","Medium",1
"319270","Bic Kids Colour and Erase Felt Pens 12pk","Bic","Colouring Pens, Pencils and Crayons","Medium",1
"319272","Bic Kids Evolution Ecolutions Colouring Pencils 12pk","Bic","Colouring Pens, Pencils and Crayons","Jumbo",1
"337220","Bic Cristal Original Ballpoint Pens Black 10pk","Bic","Ballpoint Pens","1.0mm",1
"452611","Bic 4 Colour Multi Function Pen","Bic","Ballpoint Pens","1.8 x 8 x 19.7cm",1
"448879","Disney Princess Complete Art Case","Disney","Painting and Colouring Kits","Assorted Sizes",1
"417419","Maped Ice Fun Pen Sky Blue","Maped","Gel Pens","17.6 x 6 x 1.9cm",1
"417420","Maped Ice Fun Pen Pink","Maped","Gel Pens","17.6 x 6 x 1.9cm",1
"417421","Maped Ice Fun Pen Purple","Maped","Gel Pens","17.6 x 6 x 1.9cm",1
"417422","Maped Ice Fun Pen Apple Green","Maped","Gel Pens","17.6 x 6 x 1.9cm",1
"434300","Maped Ice Fun Pen Black","Maped","Ballpoint Pens","17.6 x 6 x 1.9cm",1
"229456","Paper Mate Comfortmate Retractable Ball Point PenBlack 4pk","Paper Mate","Ballpoint Pens","Medium",1
"317991","Paper Mate Everyday Smoothness Gel Pens Medium Assorted 4pk","Paper Mate","Gel Pens","Medium",1
"318056","Paper Mate Flexgrip Ultra Ball Point Pens Medium2pk","Paper Mate","Ballpoint Pens","Medium",1
"432409","Paper Mate Inkjoy Assorted Colours 8pk","Paper Mate","Ballpoint Pens","H 14.8cm, W 1.3cm",1
"432410","Paper Mate Ink Joy Mini Ballpoint PensAssorted Colours 10pk","Paper Mate","Ballpoint Pens","H 11.4cm, W 1.3cm",1
"417015","Pentel EnerGel Retractable Rollerball Pen Medium 2pk","Pentel","Rollerball Pens","Each Pen H14.7cm x W1.6cm x L1.3cm",1
