"Article","Web Description","Brand","DQ Score"
"440094","Teenage Mutant Ninja Turtles 10 Colour Pen","Nickelodeon",0.95
"261573","Papermate Mechanical Pencil 4pk","Paper Mate",0.88
"432348","Pilot Frixion Ballpoint Pen 2pk","Pilot Pen",0.88
"432356","Pilot V Pen Fountain Pen Medium Black","Pilot Pen",0.95
"432358","Pilot Frixon Light Highlighters Pink and Yellow2pk","Pilot Pen",0.95
"432366","Pilot Rollerball Pen 0.7 Black 2pk","Pilot Pen",0.95
"432375","Pilot Frixon Erasable Rollerball Pen Black","Pilot Pen",0.95
"432427","Sxn 150C Jetstream Sport Purple","Uni-ball",0.95
"434303","Uni Ball Signo Broad Gel Rollerball PenMetallic Gold","Uni-ball",0.95
"434308","Uni Ball Signo Broad Gel Rollerball PenMetallic Green","Uni-ball",0.95
"260573","Pen Retractable Fine Black","Wilko",0.88
"260311","Wilko Wooden Pencils 10pk","Wilko Functional",0.81
"260399","Wilko Bingo Marker Red","Wilko Functional",0.81
"260402","Wilko Bingo Marker Black","Wilko Functional",0.88
"260723","Wilko Ball Point Pen Assorted Colours 10pk","Wilko Functional",0.81
"417036","Z-Grip Black 10pk","Zebra",0.74
"432296","Z-Grip Smooth Black","Zebra",0.81
