"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"349413","STABILO Highlighters Neon 4pk","Stabilo","Highlighters",NA,"4pk",NA,0.86
"349415","STABILO point 88 Fineliners in Zebrui Case20pk","Stabilo","Fineliners",NA,"20pk",NA,0.86
"416989","STABILO EASYoriginal Refillable Handwriting RollerBall Pen","Stabilo","Rollerball Pens",NA,NA,NA,0.79
"416991","STABILO EASYoriginal - right handed rollerball","Stabilo","Rollerball Pens",NA,NA,NA,0.79
"417004","STABILO Pen 68 Felt Tips 10pk","Stabilo","Colouring Pens, Pencils and Crayons",NA,NA,NA,0.79
"230107","Staedtler Pencils 5pk","Staedtler","Pencils",NA,"5","5 pack",0.93
"261179","Staedtler Pencil HB 5pk","Staedtler","Pencils","Multi","5pk",NA,0.93
"414619","Staedtler Ball 432 10pk","Staedtler","Ballpoint Pens",NA,NA,NA,0.79
"417636","Staedtler Noris Colour Box 24pk","Staedtler","Colouring Pens, Pencils and Crayons",NA,"24pk","Length 19.7cm, Width 17.5cm, Height 0.9cm",0.93
"417638","Staedtler Ergosoft Coloured Pencil Box 12pk","Staedtler","Colouring Pens, Pencils and Crayons",NA,"12","175mm length, 8mm width, 8mm height",0.93
"432245","Staedtler Whiteboard Markers Lumocolour 4pk","Staedtler","Marker Pens","Clear","4",NA,0.93
"261234","Uni-Ball Ink Marker","Uni-ball","Marker Pens","Black",NA,"0.9mm",0.93
"303297","uni-ball Signo Gelstick - Red Rollerball Pen","Uni-ball","Gel Pens","Red","1",NA,0.93
"349405","uni-ball Eye Designer - Black Rollerball Pen","Uni-ball","Rollerball Pens","Black","1",NA,0.93
"349406","uni-ball Eye Designer - Blue Rollerball Pen","Uni-ball","Rollerball Pens","Blue","1",NA,0.93
"349407","uni-ball Eye Designer - Red Rollerball Pen","Uni-ball","Rollerball Pens",NA,"1",NA,0.86
"349408","uni-ball Eye Designer - Green Rollerball Pen","Uni-ball","Rollerball Pens",NA,"1",NA,0.86
"349409","uni-ball Eye Designer - Violet Rollerball Pen","Uni-ball","Rollerball Pens",NA,"1",NA,0.86
"417845","uni-ball Gel 307RT Rollerball Black 2pk","Uni-ball","Rollerball Pens",NA,"2",NA,0.86
"417848","Uni-Ball TSI Erasable Gel Pens Assorted 3pk","Uni-ball","Gel Pens",NA,"6",NA,0.86
"252266","Wilko Chubby Wax Crayons 20pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"20pk",NA,0.86
"252270","Wilko Novelty Pencil Wooden","Wilko","Pencils",NA,NA,NA,0.79
"252976","Wilko Stamps Markers 8pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"8pk",NA,0.86
"260312","Wilko Wooden Pencils HB 10pk","Wilko","Pencils",NA,"10pk",NA,0.86
"260315","Wilko Mechanical Pencils Assorted Colours 10pk","Wilko","Pencils","Multi","10pk",NA,0.93
"260326","Wilko Chunky Highlighters 4pk","Wilko","Highlighters","Multi","4pk",NA,0.93
"260327","Wilko Slim Highlights 4pk","Wilko","Highlighters","Multi","4pk",NA,0.93
"260395","Wilko Marker Chunky Permanent Black 4pk","Wilko","Marker Pens","Black","4pk",NA,0.93
"260396","Wilko Permanent Marker Black","Wilko","Marker Pens","Black","1",NA,0.93
"260398","Wilko Chunky Permanent Marker Mix 4pk","Wilko","Marker Pens","Multi","4pk",NA,0.93
"260403","Wilko Dry Wipe Slim Mixed Colours 4pk","Wilko","Marker Pens","Multi","4pk",NA,0.93
"260404","Wilko Pen Dry Eraser Chunky Assorted 4pk","Wilko","Marker Pens","Multi","4pk",NA,0.93
"260511","Wilko Ball Point Pen with 4 Colours","Wilko","Ballpoint Pens","Multi","4pk",NA,0.93
"260517","Wilko Gel Pens Fine Black 5pk","Wilko","Gel Pens",NA,"5pk","Fine",0.93
"260525","Wilko Fineliner Pen Black 5pk","Wilko","Fineliners","Black","5pk",NA,0.93
"260550","Wilko Mechanical Pencil Refil","Wilko","Pencils",NA,"2pk","0.7mm",0.93
"260573","Pen Retractable Fine Black","Wilko","Ballpoint Pens","Black","1",NA,0.88
"260659","Wilko Gel Pen Fine Black","Wilko","Gel Pens","Black","1",NA,0.93
"263420","Wilko Bingo Dabber","Wilko","Highlighters",NA,"1",NA,0.86
"279017","Wilko Colouring Pencils 6pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"6pk",NA,0.86
"279069","Wilko Felt Tips 6pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"6pk",NA,0.86
"302917","Wilko Mini Gel Pens 5pk","Wilko","Gel Pens","Multi","5pk",NA,0.93
"316439","Wilko Colour Changing Markers 10pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"10pk",NA,0.86
"317115","Wilko Pencil with Grip and Eraser HB 4pk","Wilko","Pencils",NA,"4pk",NA,0.86
"347080","Wilko Glitter Pencils Assorted","Wilko","Pencils",NA,"1",NA,0.86
"347085","Wilko Pen with Fairy Wand Topper","Wilko","Ballpoint Pens",NA,"1",NA,0.86
"347090","Wilko Pencil Topper Hands 3pk","Wilko","Pencils",NA,"3pk",NA,0.86
"349366","Wilko Colour Fine Liners 12pk","Wilko","Fineliners",NA,"12pk",NA,0.86
"349367","Wilko Pen Ball Point Soft Touch Ball 5pk","Wilko","Ballpoint Pens",NA,"5pk",NA,0.86
"349369","Wilko Marker Slim Permanent 4pk","Wilko","Marker Pens",NA,"4pk",NA,0.86
"417128","Wilko Mini Highlighters 10pk","Wilko","Highlighters",NA,NA,NA,0.79
"421033","Wilko Animal Pen with Ears","Wilko","Ballpoint Pens",NA,"1","diameter 12mm, height 140mm",0.93
