"Article","Web Description","DQ Score"
"432432","Bic Cristal Grip Ballpoint Pens Assorted Colours4pk",0.95
"432450","Bic Kids Mixed Colouring Set 36pk",0.95
"451629","Bic Kids Couleur Extra Large Felt Pens 12pk",0.95
"451630","Bic Kid Couleur Felt Tip Pens 24pk",0.95
"451632","Bic Kids Evolution Colouring Pencils",0.95
"452610","Bic 4 Colour Grip Fashion Pen",0.95
"452613","Bic Intensity Felt Pen 4pk",0.95
"452614","Bic Intensity Felt Pen 8pk",0.95
"452615","Bic Flex Highlighter 4pk",0.95
"452616","Bic Evolution Graphite Pencil 8pk",0.95
"452617","Bic Marking Colour Pen 5pk",0.95
"452974","Crayola Twistable Crayons 12pk",0.88
"452975","Crayola Dual Sided Pencils 12pk",0.88
"452976","Crayola Erasable Coloured Pencils 10pk",0.88
"454042","Paper Mate Inkjoy Gels Pens Black 2pk",0.95
"454043","Paper Mate Inkjoy Gel Pens Assorted Colours 3pk",0.95
"454045","Paper Mate Erasable Gel Black 2pk",0.95
"454046","Paper Mate Erasable Gel Pens 4pk",0.95
"454047","Paper Mate Flair Candy Pop 6pk",0.95
"454270","Paper Mate Inkjoy Gels Pens 3pk",0.95
"432398","Sharpie Colour Burst Fine Permanent Markers 5pk",0.95
"432282","Zebra Z-Grip Ballpoint Pen Assorted Colours 3pk",0.88
