"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","Assembly","Pack Qty","DQ Score"
"421925","Seattle Eyelet Lined Curtains Natural 122 x 137cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 46x54''","100% Polyester",NA,NA,0.8
"421926","Seattle Eyelet Lined Curtains Natural 122 x 183cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 46x72''","100% Polyester",NA,NA,0.8
"421929","Seattle Eyelet Lined Curtains Natural 173 x 183cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 66x72''","100% Polyester",NA,NA,0.8
"421930","Seattle Eyelet Lined Curtains Natural 173 x 228cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 66x90''","100% Polyester",NA,NA,0.8
"421932","Seattle Eyelet Lined Curtains Natural 228 x 228cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 90x90''","100% Polyester",NA,NA,0.8
"422105","Leaves Eyelet Lined Curtains Taupe 122 x 137cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40","46 x 54in",NA,NA,NA,0.85
"422106","Leaves Eyelet Lined Curtains Taupe 122 x 183cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422108","Leaves Eyelet Lined Curtains Taupe 173 x 137cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422109","Leaves Eyelet Lined Curtains Taupe 173 x 183cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422110","Leaves Eyelet Lined Curtains Taupe 173 x 228cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422112","Leaves Eyelet Lined Curtains Taupe 228 x 228cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422113","Leaves Eyelet Lined Curtains Teal 122 x 137cm","Global","Eyelet Curtains and Voiles",NA,"Green","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422114","Leaves Eyelet Lined Curtains Teal 122 x 183cm","Global","Eyelet Curtains and Voiles",NA,"Green","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422116","Leaves Eyelet Lined Curtains Teal 173 x 137cm","Global","Eyelet Curtains and Voiles",NA,"Green","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422117","Leaves Eyelet Lined Curtains Teal 173 x 183cm","Global","Eyelet Curtains and Voiles",NA,"Green","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422118","Leaves Eyelet Lined Curtains Teal 173 x 228cm","Global","Eyelet Curtains and Voiles",NA,"Green","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422120","Leaves Eyelet Lined Curtains Teal 228 x 228cm","Global","Eyelet Curtains and Voiles",NA,"Green","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",NA,NA,0.85
"422130","Seattle Eyelet Lined Curtains Black 122 x 183cm","Global","Eyelet Curtains and Voiles",NA,"Black","Wash at 30",NA,"100% Polyester",NA,NA,0.85
"422132","Seattle Eyelet Curtains 66 x 54in Black","Global","Eyelet Curtains and Voiles",NA,"Black","Wash at 30",NA,"100% Polyester",NA,NA,0.85
"422133","Seattle Eyelet Curtains 66 x 72in Black","Global","Eyelet Curtains and Voiles",NA,"Black","Wash at 30",NA,"100% Polyester",NA,NA,0.85
"422134","Seattle Eyelet Curtains 66 x 90in Black","Global","Eyelet Curtains and Voiles",NA,"Black","Wash at 30",NA,"100% Polyester",NA,NA,0.85
"325174","Wilko Faux Silk Eyelet Curtains Plum 167 x 137cm","Wilko","Eyelet Curtains and Voiles",NA,"Purple","Dry Clean Only","167x137cm","100% Polyester",NA,NA,0.95
"325175","Wilko Faux Silk Eyelet Curtains Plum 167 x 183cm","Wilko","Eyelet Curtains and Voiles",NA,"Purple","Dry Clean Only","167x183cm","100% Polyester",NA,NA,0.95
"325177","Wilko Faux Silk Eyelet Curtains Plum 228 x 228cm","Wilko","Eyelet Curtains and Voiles",NA,"Purple","Dry Clean Only","228x228cm","100% Polyester",NA,NA,0.95
