"Article","Web Description","DQ Score"
"421925","Seattle Eyelet Lined Curtains Natural 122 x 137cm",0.8
"421926","Seattle Eyelet Lined Curtains Natural 122 x 183cm",0.8
"421929","Seattle Eyelet Lined Curtains Natural 173 x 183cm",0.8
"421930","Seattle Eyelet Lined Curtains Natural 173 x 228cm",0.8
"421932","Seattle Eyelet Lined Curtains Natural 228 x 228cm",0.8
