"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"342304","Draper VDE Screwdriver 3 x 100mm Slotted","Draper","Screwdrivers",NA,"1","3x100mm",1
"342306","Draper VDE Screwdriver 4 x 100mm Slotted","Draper","Screwdrivers",NA,"1","4x100mm",1
"247400","Stanley Tape Measure Tylon 5m","Stanley","Tape Measures, Levels and Rulers",NA,"1","5m",1
"247407","Stanley Junior Hacksaw Blade 150mm 5pk","Stanley","Saws and Blades",NA,"5pk","150mm",1
"290126","Stanley Light Duty Staples 8mm Type 53 100pk","Stanley","Staples and Staplers",NA,"1000pk","8mm,",1
"342497","Stanley PowerLock Tape Measure Silver Effect 5m","Stanley","Tape Measures, Levels and Rulers",NA,"1","5m",1
"135746","Wilko Pruner Vinyl Grip Handles 8in","Wilko","Secateurs, Pruners and Garden Shears",NA,NA,NA,1
"209031","Wilko Scratch Awl 7in","Wilko","Punches and Rivetter",NA,"1","7in",1
"209045","Wilko Wooden Mallet 4in","Wilko","Hammers and Mallets",NA,"1","4in",1
"209098","Wilko Combination Pliers 175mm","Wilko","Pliers, Spanners and Wrenches",NA,"1","7in",1
"209105","Wilko Straight Cut Aviation Snips 10in","Wilko","Snips, Pincers and Shears",NA,"1","10in",1
"209409","Wilko Precision Ruler 1m","Wilko","Tape Measures, Levels and Rulers",NA,"1","1m",1
"209429","Wilko Brick Bolster Chisel 225 x 100mm","Wilko","Chisels",NA,"1","225x100mm",1
"209430","Wilko Cold Chisel 12mm","Wilko","Chisels",NA,"1","12mm",1
"244530","Wilko Ruler and Level 600mm","Wilko","Tape Measures, Levels and Rulers",NA,"1","600mm",1
"286614","Wilko Pliers Mini Set 3piece","Wilko","Pliers, Spanners and Wrenches",NA,"3pcs","3Piece",1
"286625","Wilko Screwdriver Pozi No 1 100mm","Wilko","Screwdrivers",NA,"1","100mm, No 1",1
"286626","Wilko Screwdriver Pozi No 2 100mm","Wilko","Screwdrivers",NA,"1","100mm, No 2",1
"286627","Wilko Screwdriver Pozi No.3 150mm","Wilko","Screwdrivers",NA,"1","150mm, No 3",1
"286632","Wilko Screwdriver Pozi No 2 38mm","Wilko","Screwdrivers",NA,"1","38mm, No 2",1
"286636","Wilko Adjustable Wrench 6in","Wilko","Pliers, Spanners and Wrenches",NA,"1","152mm, 6in",1
"286637","Wilko Adjustable Wrench 200mm","Wilko","Pliers, Spanners and Wrenches",NA,"1","200mm, 8in",1
"286638","Wilko Adjustable Wrench 250mm","Wilko","Pliers, Spanners and Wrenches",NA,"1","10in",1
"343376","Wilko Mini Clamp 100mm 2pieces","Wilko","Clamps and Vices",NA,"2pcs","100mm",1
"343401","Wilko Sledge Hammer 3Lb","Wilko","Hammers and Mallets",NA,"1","3Lb",1
"343428","Wilko Aluminium Marking Ruler 800mm","Wilko","Tape Measures, Levels and Rulers",NA,"1","800mm",1
"343434","Wilko Wrecking Bar 18in","Wilko","Pliers, Spanners and Wrenches",NA,"1","18in",1
"343440","Wilko Plane Block 175 x 40mm","Wilko","Plaining and Filing",NA,"1","175X40mm",1
"343914","Wilko Wood Chisel 1In","Wilko","Chisels",NA,"1","1in",1
"343916","Wilko Aluminum Ruler 300mm","Wilko","Tape Measures, Levels and Rulers",NA,"1","300mm",1
"343919","Wilko Tape Measure 8m","Wilko","Tape Measures, Levels and Rulers",NA,"1","8m",1
"344216","Wilko Junior Hacksaw 6in","Wilko","Saws and Blades",NA,"1","6in",1
"344221","Wilko Tubular Bow Saw 24in","Wilko","Saws and Blades",NA,"1","24in",1
"344223","Wilko Hacksaw High Speed Steel Blades 12in","Wilko","Saws and Blades",NA,"1pk","12in",1
"344225","Wilko Coping Saw Blade 165mm","Wilko","Saws and Blades",NA,"1","165mm",1
"344227","Wilko Hacksaw Inland Blade 6In","Wilko","Saws and Blades",NA,"1pk","6in",1
"344228","Wilko Hacksaw Blades 12in","Wilko","Saws and Blades",NA,"1pk","12in",1
"344236","Wilko Tenon Saw Soft Grip Handle 250mm","Wilko","Saws and Blades",NA,"1","250mm",1
"344238","Wilko Hand Saw Soft Grip Handle 550mm","Wilko","Saws and Blades",NA,"1","550mm",1
"345086","Wilko Soldering Iron 30W 230V","Wilko","Soldering","30W 230V","1","30w",1
"345350","Wilko G Clamp Quick Release 4in","Wilko","Clamps and Vices",NA,"1","4in",1
"408601","Wilko Functional Garden Shovel","Wilko","Digging and Planting",NA,NA,NA,1
"444096","Wilko Digging Spade Carbon Steel","Wilko","Digging and Planting",NA,NA,NA,1
