"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"435848","Polar Gear Sip and Snack Bottle Black","Polar Gear","590ml","Drinks Bottle",NA,"1","7cm x 7cm x 19cm","Tritan Plastic",0.95
"435849","Polar Gear Drinks Bottle Black","Polar Gear","650ml","Drinks Bottle",NA,"1","7cm x 9cm x 23.5cm","Tritan Plastic",0.95
"285244","Sistema Slimline Quadale Assorted Colours","Sistema",NA,"Lunch Box","Multi","1",NA,NA,0.85
"285248","Sistema Davina Sports Bottle 700ml","Sistema",NA,"Drinks Bottle","Multi",NA,"700ml",NA,0.85
"285250","Sistema Container 400ml","Sistema",NA,"Food Boxes","Multi","1","400ml",NA,0.9
"285251","Sistema Container 1L","Sistema",NA,"Food Boxes","Multi","1","1L",NA,0.9
"285252","Sistema Container 2L","Sistema",NA,"Food Boxes","Multi",NA,"2L",NA,0.85
"298844","Sistema Food Box Assorted Colours","Sistema",NA,"Food Boxes","Multi","1","450ml",NA,0.9
"332162","Sistema Soup To Go Mug 656ml","Sistema",NA,"Food Boxes",NA,NA,NA,NA,0.75
"332163","Sistema Klip It Container 200ml","Sistema",NA,"Food Boxes","Clear","1","200ml",NA,0.9
"332166","Sistema Klip It Container Square 1.2L","Sistema","1.2L","Food Boxes","Clear","1","1.2L",NA,0.95
"400454","Sistema Noodle Bowl","Sistema",NA,"Food Boxes","Multi","1","Single",NA,0.9
"433370","Sistema Easy Eggs To Go","Sistema",NA,"Egg Poacher",NA,NA,NA,NA,0.75
"433376","Sistema Klip It Container 3L","Sistema",NA,"Food Boxes",NA,NA,NA,NA,0.75
"435828","Sistema Lunch Cube","Sistema",NA,"Lunch Box",NA,NA,NA,NA,0.75
"180304","Wilko Rectangular Food Storage Box Clear 4L","Wilko",NA,"Food Boxes","Clear","1","4L",NA,0.9
"180314","Whitefurze Food Storers Dry Food Container 3L","Wilko",NA,"Food Boxes","Clear","1","3L",NA,0.85
"180316","Wilko Cereal Storer 5L","Wilko",NA,"Food Boxes","Clear","1","5L",NA,0.9
"180319","Wilko Fridge Jug 1.5L","Wilko","1.5L","Jugs","Clear","1","1.5L",NA,0.95
"180320","Wilko Beaker 400ml","Wilko","400","Bottles","Clear","1","400ml",NA,0.95
"226521","Wilko Cooling Bottles Blue 2pk","Wilko",NA,"Ice Packs","Blue","1","2 Pack",NA,0.9
"285297","Wilko Food Box 125ml","Wilko","125ml","Food Boxes",NA,"1","125ml",NA,0.9
"449057","Wilko Sports Bottle 500ml","Wilko","500ml","Drinks Bottle",NA,"1","12cmx4.5cmx22.5cm","Polypropylene",0.95
"449063","Wilko Food Container Round 330ml","Wilko","330","Food Boxes",NA,"1","12.1cm x 12..1cm x 7.8cm","Plastic",0.95
"449068","Wilko Food Storage Container Rectangular 1.3 Litre","Wilko","1300","Food Boxes",NA,"1","22.1cm x 14.6cm x 8.1cm","Plastic",0.95
"449069","Wilko Food Storage Container Rectangular 1.6 Litre","Wilko","1600ml","Food Boxes",NA,"1","22.1cm x 14.6cm x 9.9cm","Plastic",0.95
"449071","Wilko Food Storage Container Rectangular 2.5 Litre","Wilko","2500","Food Boxes",NA,"1","25.5cm x 18cm x 9.9cm","Plastic",0.95
"449072","Wilko Food Storage Container Rectangular 3.5 Litre","Wilko","3.5 Litre","Food Boxes",NA,"1","25.5cm x 18cm x 13.5cm","Plastic",0.95
"449073","Wilko Food Container Square 1.2 Litre","Wilko","1.2 Litre","Food Boxes",NA,"1","15.4cm x 15.4cm x 9.9cm","Plastic",0.95
"449074","Wilko Food Container Square 1.5 Litre","Wilko","1.5 Litre","Food Boxes",NA,"1","18.8cm x 18.8cm x 8.1cm","Plastic",0.95
"449075","Wilko Food Storage Container Square 1.8 Litre","Wilko","1.8 Litre","Food Boxes",NA,"1","18.8cm x 18.8cm x 9.9cm","Plastic",0.95
"449076","Wilko Food Container Square 2.3 Litre","Wilko","2.3 Litre","Food Boxes",NA,"1","18.8cm x 18.8cm x 11.7cm","Plastic",0.95
"449077","Wilko Food Container Square 3.3 Litre","Wilko","3.3 Litre","Food Boxes ",NA,"1","22.3cm x 22.3cm x 11.7cm","Plastic",0.95
"449078","Wilko Food Container Square 4 Litre","Wilko","4.0 Litre","Food Boxes",NA,"1","22.3cm x 22.3cm x 13.5cm","Plastic",0.95
"449079","Wilko Food Container Round 1.1 Litre","Wilko","1.1 Litre","Food Boxes ",NA,"1","15.5cm x 15.5cm x 9.9cm","Plastic",0.95
"449080","Wilko Food Storage Container Round 1.5 Litre","Wilko","1.5 Litre","Food Boxes",NA,"1","19cm x 19cm x 11.2cm","Plastic",0.95
"317345","Wilko Functional Container White 1L","Wilko Functional","1L","Food Boxes","White","1","1L",NA,0.95
"317346","Wilko Functional Container Round 250ml 4pk","Wilko Functional","250ml","Food Boxes","Clear","4pk","250ml",NA,0.95
