"Article","Web Description","Brand","Type","Colour","Size","Material","DQ Score"
"243583","Wilko Water Resistant Single Mattress Protector90 x 190cm","Wilko","Single Mattress Protector","White","Single","100% Polypropylene",1
"243584","Wilko Water Resistant Double Mattress Protector140 x 190cm","Wilko","Double Mattress Protector","White","Double","100% Polypropylene",1
"243585","Wilko King Size Mattress Protector  150 x 200cm","Wilko","King Size Mattress Protector","White","Kingsize","Polypropylene, Polyethylene",1
"243586","Wilko Luxury Mattress Single Protector Quilted","Wilko","Single Mattress Protector","White","Single","100% Polyester",1
"243587","Wilko Luxury Mattress Double Protector Quilted","Wilko","Double Mattress Protector","White","Double","100% Polyester",1
"243588","Wilko Luxury Mattress King Size Protector Quilted","Wilko","King Size Mattress Protector","White","Kingsize","100% Polyester",1
"324830","Wilko Anti-Allergy Single Mattress Protector","Wilko","Single Mattress Protector","White","Single","65% Polyester, 35 % Cotton Cover, 100% Polyester F",1
"324831","Wilko Anti-Allergy Double Mattress Protector","Wilko","Double Mattress Protector","White","Double","65% Polyester, 35 % Cotton Cover, 100% Polyester F",1
"324832","Wilko Anti-Allergy King Size Mattress Protector","Wilko","King Size Mattress Protector","White","Kingsize","65% Polyester, 35 % Cotton Cover, 100% Polyester F",1
