"PSA_1","PSA_2","Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"PAI","EMU","310784","Wilko Emulsion Paint Tester Pot Wizard 75ml","Wilko","Paint Tester Pot","30cm²","Purple",NA,"75ml",0.941666666666667
"PAI","EMU","333760","Wilko Kitchen Matt Emulsion PaintNatural Twine 2.5L","Wilko","Kitchen Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"PAI","EMU","333763","Wilko Matt Emulsion PaintSoft Hessian 2.5L","Wilko","Matt Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","334368","Wilko Durable Matt Emulsion PaintElf 2.5L","Wilko","Durable Matt Paint",NA,"Green",NA,"2.5L",0.883333333333333
"PAI","EMU","334369","Wilko Durable Matt Emulsion PaintSonic 2.5L","Wilko","Durable Matt Paint",NA,"Red",NA,"2.5L",0.883333333333333
"PAI","EMU","334371","Wilko Statement Matt Emulsion PaintOcean Jewel 1.25L","Wilko","Feature Wall Paint",NA,"Blue","1","1.25L",0.941666666666667
"PAI","EMU","334372","Wilko Statement Matt Emulsion PaintRetro Ochre 1.25L","Wilko","Feature Wall Paint",NA,"Green","1","1.25L",0.941666666666667
"PAI","EMU","334373","Wilko Statement Matt Emulsion PaintAfter Hours 1.25L","Wilko","Feature Wall Paint",NA,"Red","1","1.25L",0.941666666666667
"PAI","EMU","334375","Wilko Matt Emulsion PaintDark Duck Egg 2.5L","Wilko","Matt Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"PAI","EMU","334381","Wilko Emulsion Paint Tester Pot Soft Hessian 75ml","Wilko","Paint Tester Pot","30cm²","Cream",NA,"75ml",0.941666666666667
"PAI","EMU","334384","Wilko Emulsion Paint Tester Pot Dark Duck Egg 75ml","Wilko","Paint Tester Pot","30cm²","Blue",NA,"75ml",0.941666666666667
"PAI","EMU","334388","Wilko Emulsion Paint Tester Pot Retro Ochre 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"PAI","EMU","334392","Wilko Emulsion Paint Tester Pot Elf 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"PAI","EMU","341327","Wilko Matt Emulsion PaintPlum Berry 2.5L","Wilko","Matt Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"PAI","EMU","341815","Wilko Silk Emulsion PaintPlum Berry 2.5L","Wilko","Silk Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"PAI","EMU","341832","Wilko Kitchen Matt Emulsion PaintSunshine Yellow 2.5L","Wilko","Kitchen Paint","30m²","Yellow",NA,"2.5L",0.941666666666667
"PAI","EMU","341833","Wilko Bathroom Mid Sheen Emulsion PaintNeptune 2.5L","Wilko","Bathroom Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"PAI","EMU","341847","Wilko Statement Matt Emulsion PaintBarely Black 1.25L","Wilko","Feature Wall Paint",NA,"Black","1","1.25L",0.941666666666667
"PAI","EMU","341848","Wilko Durable Matt Emulsion PaintLimeade 2.5L","Wilko","Durable Matt Paint",NA,"Green","1","2.5L",0.941666666666667
"PAI","EMU","341849","Wilko Emulsion Paint Tester Pot Plum Berry 75ml","Wilko","Paint Tester Pot","30cm²","Purple",NA,"75ml",0.941666666666667
"PAI","EMU","341851","Wilko Emulsion Paint Tester Pot Barely Black 75ml","Wilko","Paint Tester Pot","30cm²","Black",NA,"75ml",0.941666666666667
"PAI","EMU","407518","Wilko Silk Emulsion PaintMineral Stone 2.5L","Wilko","Silk Paint","approx 30 sq. metres","Grey",NA,"2.5L",0.941666666666667
"PAI","EMU","407532","Wilko Bathroom Mid Sheen Emulsion PaintWild Orchid 2.5L","Wilko","Bathroom Paint","approx 30 sq. metres","Purple",NA,"2.5L",0.941666666666667
"PAI","EMU","412437","Wilko Durable Matt Emulsion PaintStardust 2.5L","Wilko","Durable Matt Paint","approx 30 sq. metres","Grey",NA,"2.5L",0.941666666666667
"PAI","EMU","412485","Wilko Kitchen Matt Emulsion PaintEnglish Sage 2.5L","Wilko","Kitchen Paint","approx 30 sq. metres","Green",NA,"2.5L",0.941666666666667
"PAI","EMU","412497","Wilko Flat Matt Emulsion Paint Tester PotVintage Duck Egg 125ml","Wilko","Paint Tester Pot","approx 30 sq. cm","Blue",NA,"125ml",0.941666666666667
