"PSA_1","PSA_2","Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"PAI","EMU","238077","Wilko One Coat Matt Emulsion PaintBiscuit Crunch 2.5L","Wilko","One Coat Matt Paint","20m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","238079","Wilko One Coat Matt Emulsion PaintMilky Coffee 2.5L","Wilko","One Coat Matt Paint","20m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","238097","Wilko Bathroom Mid Sheen Emulsion PaintMoonlight White 2.5L","Wilko","Bathroom Paint","30m²","White",NA,"2.5L",0.941666666666667
"PAI","EMU","238101","Wilko Bathroom Mid Sheen Emulsion PaintMagnolia 2.5L","Wilko","Bathroom Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","238125","Wilko Kitchen Matt Emulsion PaintLime Sorbet 2.5L","Wilko","Kitchen Paint","30m²","Green",NA,"2.5L",0.941666666666667
"PAI","EMU","238127","Wilko Kitchen Matt Emulsion PaintLemon Sorbet 2.5L","Wilko","Kitchen Paint","30m²","Yellow",NA,"2.5L",0.941666666666667
"PAI","EMU","238130","Wilko Kitchen Matt Emulsion PaintMagnolia 2.5L","Wilko","Kitchen Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","238135","Wilko Kitchen Matt Emulsion PaintOatmeal 2.5L","Wilko","Kitchen Paint","30m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","238147","Wilko Silk Emulsion PaintLemon Sorbet 2.5L","Wilko","Silk Paint","30m²","Yellow",NA,"2.5L",0.941666666666667
"PAI","EMU","238148","Wilko Silk Emulsion PaintCrushed Almond 2.5L","Wilko","Silk Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","238152","Wilko Silk Emulsion PaintMilky Coffee 2.5L","Wilko","Silk Paint","30m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","238163","Wilko Matt Emulsion PaintCrushed Almond 2.5L","Wilko","Matt Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","238165","Wilko Matt Emulsion PaintBiscuit Crunch 2.5L","Wilko","Matt Paint","30m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","238167","Wilko Matt Emulsion PaintMilky Coffee 2.5L","Wilko","Matt Paint","30m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","238169","Wilko Matt Emulsion PaintLemon Sorbet 2.5L","Wilko","Matt Paint","30m²","Yellow",NA,"2.5L",0.941666666666667
"PAI","EMU","238175","Wilko Silk Emulsion PaintMagnolia 7.5L","Wilko","Silk Paint","90m²","Cream",NA,"7.5L",0.941666666666667
"PAI","EMU","238176","Wilko Matt Emulsion PaintMilky Coffee 5L","Wilko","Matt Paint","60m²","Brown",NA,"5L",0.941666666666667
"PAI","EMU","238177","Wilko Matt Emulsion PaintMoonlight White 5L","Wilko","Matt Paint","60m²","White",NA,"5L",0.941666666666667
"PAI","EMU","238178","Wilko Matt Emulsion PaintCrushed Almond 5L","Wilko","Matt Paint","60m²","Cream",NA,"5L",0.941666666666667
"PAI","EMU","238182","Wilko Matt Emulsion PaintBiscuit Crunch 5L","Wilko","Matt Paint","60m²","Brown",NA,"5L",0.941666666666667
"PAI","EMU","238185","Wilko Matt Emulsion PaintOatmeal 5L","Wilko","Matt Paint","60m²","Brown",NA,"5L",0.941666666666667
"PAI","EMU","238188","Wilko Silk Emulsion PaintMilky Coffee 5L","Wilko","Silk Paint","60m²","Brown",NA,"5L",0.941666666666667
"PAI","EMU","238194","Wilko Silk Emulsion PaintBiscuit Crunch 5L","Wilko","Silk Paint","60m²","Brown",NA,"5L",0.941666666666667
"PAI","EMU","238197","Wilko Silk Emulsion PaintOatmeal 5L","Wilko","Silk Paint","60m²","Brown",NA,"5L",0.941666666666667
"PAI","EMU","2419343","Wilko Matt Emulsion PaintMagnolia 2.5L","Wilko","Matt Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","2419356","Wilko Matt Emulsion PaintPastel Green 2.5L","Wilko","Matt Paint","30m²","Green",NA,"2.5L",0.941666666666667
"PAI","EMU","2419359","Wilko Matt Emulsion PaintPeach Blush 2.5L","Wilko","Matt Paint","30m²","Orange",NA,"2.5L",0.941666666666667
"PAI","EMU","2420543","Wilko Matt Emulsion PaintMagnolia 5L","Wilko","Matt Paint","60m²","Cream",NA,"5L",0.941666666666667
"PAI","EMU","2425243","Wilko Silk Emulsion PaintMagnolia 2.5L","Wilko","Silk Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","2425256","Wilko Silk Emulsion PaintPastel Green 2.5L","Wilko","Silk Paint","30m²","Green",NA,"2.5L",0.941666666666667
"PAI","EMU","2425259","Wilko Silk Emulsion PaintPeach Blush 2.5L","Wilko","Silk Paint","30m²","Orange",NA,"2.5L",0.941666666666667
"PAI","EMU","2426443","Wilko Silk Emulsion PaintMagnolia 5L","Wilko","Silk Paint","60m²","Cream",NA,"5L",0.941666666666667
"PAI","EMU","250532","Wilko Silk Emulsion PaintSoft Cream 5L","Wilko","Silk Paint","60m²","Cream",NA,"5L",0.941666666666667
"PAI","EMU","262407","Wilko Durable Matt Emulsion PaintRaspberry Meld 2.5L","Wilko","Durable Matt Paint","30m²","Red",NA,"2.5L",0.941666666666667
"PAI","EMU","262410","Wilko Durable Matt Emulsion PaintPastel Green 2.5L","Wilko","Durable Matt Paint","30m²","Green",NA,"2.5L",0.941666666666667
"PAI","EMU","262414","Wilko Durable Matt Emulsion PaintGrape 2.5L","Wilko","Durable Matt Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"PAI","EMU","262422","Wilko Bathroom Mid Sheen Emulsion PaintPowder Blue 2.5L","Wilko","Bathroom Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"PAI","EMU","262423","Wilko Bathroom Mid Sheen Emulsion PaintSpa 2.5L","Wilko","Bathroom Paint","30m²","Green",NA,"2.5L",0.941666666666667
"PAI","EMU","262425","Wilko Emulsion Paint Tester Pot Powder Blue 75ml","Wilko","Paint Tester Pot","30cm²","Blue",NA,"75ml",0.941666666666667
"PAI","EMU","262431","Wilko Emulsion Paint Tester Pot Grape 75ml","Wilko","Paint Tester Pot","30cm²","Purple",NA,"75ml",0.941666666666667
"PAI","EMU","262436","Wilko Silk Emulsion PaintNutmeg Spice 2.5L","Wilko","Silk Paint","30m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","262439","Wilko Silk Emulsion PaintGrape 2.5L","Wilko","Silk Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"PAI","EMU","262440","Wilko Matt Emulsion PaintNutmeg Spice 2.5L","Wilko","Matt Paint","30m²","Brown",NA,"2.5L",0.941666666666667
"PAI","EMU","262443","Wilko Matt Emulsion PaintGrape 2.5L","Wilko","Matt Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"PAI","EMU","273566","Wilko Matt Emulsion PaintIvory Tusk 2.5L","Wilko","Matt Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"PAI","EMU","273568","Wilko Matt Emulsion PaintPearl Grey 2.5L","Wilko","Matt Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"PAI","EMU","273569","Wilko Matt Emulsion PaintCandy Cane 2.5L","Wilko","Matt Paint","30m²","Pink",NA,"2.5L",0.941666666666667
"PAI","EMU","273573","Wilko Matt Emulsion PaintDuck Egg 2.5L","Wilko","Matt Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"PAI","EMU","273576","Wilko Silk Emulsion PaintIvory Tusk 2.5L","Wilko","Silk Paint","30m²","Cream",NA,"2.5L",0.941666666666667
