"Article","Web Description","Brand","Type","Colour","Power","Size","Model Number","DQ Score"
"255381","Core Electrics Cable Ties Clear 100mm 20pk","Core Electrics","Cable Ties and Clips",NA,NA,"100m",NA,0.825
"255382","Core Electrics Cable Ties Clear 20pk","Core Electrics","Cable Ties and Clips",NA,NA,"200mm",NA,0.825
"255392","Core Electrics Cable Clips 20pk 2.5mm","Core Electrics","Cable Ties and Clips",NA,NA,"2.5mm",NA,0.825
"255393","Core Electrics Cable Clips 20pk  6mm","Core Electrics","Cable Ties and Clips",NA,NA,"6mm",NA,0.825
"255396","Core Electrics Cable Clips 20pk 7mm","Core Electrics","Cable Ties and Clips",NA,NA,"7mm",NA,0.825
"255398","Core Electrics Cable Clips 20pk","Core Electrics","Cable Ties and Clips",NA,NA,NA,NA,0.766666666666667
"255399","Core Electrics Cable Clips 20pk 7mm","Core Electrics","Cable Ties and Clips",NA,NA,"7mm",NA,0.825
"455026","Masterplug Cable Reel 10amp 4 Gang 25m","Masterplug","Cable Reel",NA,"Mains power supply","25m","LDCC2510/4BL",0.941666666666667
"455027","Masterplug Cable Reel 10amp 4 Gang 16m","Masterplug","Cable Reel",NA,"Mains power supply","16m","SOC1610/4BL",0.941666666666667
"455028","Masterplug Handbag Cable Reel 10amp 4 Gang 15m","Masterplug","Cable Reel",NA,"Mains power supply","15m","HST1510/4BL",0.941666666666667
"455029","Masterplug Cassette Reel 10amp 4 Gang 8m","Masterplug","Cassette Reel",NA,"Mains power supply","8m","MCT0810/4BL",0.941666666666667
"202332","Rapitest Digital Mini Electrical Test Meter","Rapitest","Mains Testers",NA,NA,NA,NA,0.766666666666667
"454319","Thor Premium HDMI Cable 1.5m","Thor","HDMI Cable","Black",NA,"1.5m",NA,0.883333333333333
"454320","Thor Premium Flat HDMI Cable 1.5m","Thor","HDMI Cable","Black",NA,"1.5m",NA,0.883333333333333
"116444","Corelectrics Digital Volate Tester 220-240 ACRated","Wilko","Mains Testers",NA,NA,NA,NA,0.716666666666667
"116456","Wilko Lampholder T2 0.5in Threaded","Wilko","Lamp Holder",NA,"Mains","0.5in",NA,0.883333333333333
"15262","Wilko 3 Pin Plug With Fuse White 5amp","Wilko","Plugs and Holders","White","Mains","5AMP",NA,0.941666666666667
"186062","Wilko Mini Trunking PVC Self Adhesive White2m x 16mm x 16mm","Wilko","Cable Tidys and Trunking",NA,NA,"16x16mmx2m",NA,0.825
"209040","Wilko Terminals 50pk","Wilko","Terminal Blocks",NA,NA,NA,NA,0.766666666666667
"216340","Wilko PVC Insulating Tape 4.5m 5pk Assorted Colour","Wilko","Electrical Tape",NA,NA,"19mm x 4.5m",NA,0.825
"216341","Wilko PVC Insulating Tape 33m 3pk Black","Wilko","Electrical Tape",NA,NA,"19mm x 33m",NA,0.825
"230735","Tower Exterior Junction Box Small","Wilko","Junction Boxes",NA,NA,"Small",NA,0.775
"255394","Wilko Core Electric Cable Clips 20pk White","Wilko","Cable Ties and Clips",NA,NA,"4mm",NA,0.825
"255395","Wilko Core Electric Clips 20pk 5mm White","Wilko","Cable Ties and Clips",NA,NA,"5mm",NA,0.825
"255397","Wilko Core Electric Clips 20pk 6mm Brown","Wilko","Cable Ties and Clips",NA,NA,"7mm",NA,0.825
"309965","Wilko Fuse Wire Set","Wilko","Fuse Wire and Insulation Tape",NA,NA,"5 15 30AMP",NA,0.825
"323226","Wilko Travel Power Visitor to UK Adaptor","Wilko","Travel Adaptors",NA,NA,NA,NA,0.766666666666667
"342519","Wilko Telephone Extension Cable 5m","Wilko","Telephone Extension Kits",NA,NA,"500x1x1cm",NA,0.825
"342520","Wilko Telephone Extension Cable 10M","Wilko","Telephone Extension Kits",NA,NA,"1000x1x1cm",NA,0.825
"342521","Wilko Telephone Adaptor Double","Wilko","Telephone Extension Kits",NA,NA,"5x2x4cm",NA,0.825
"342522","Wilko Telephone Adaptor Triple","Wilko","Telephone Extension Kits",NA,NA,"5.5x2.5x4.5cm",NA,0.825
"342523","Wilko Telephone Extension Kit 20M","Wilko","Telephone Extension Kits",NA,NA,"2000x1x1cm",NA,0.825
"342524","Wilko Surface Mounted Telephone Extension Socket","Wilko","Telephone Extension Kits",NA,NA,"7x7x3cm",NA,0.825
"342647","Wilko Slimline Telephone Extension Kit 25m","Wilko","Telephone Extension Kits",NA,NA,"2500x1x1cm",NA,0.825
"342661","Wilko 3.5mm Jack To Jack Cable 1m","Wilko","Telephone Extension Kits",NA,NA,"100x1x1cm",NA,0.825
"342879","Wilko Non Contact Voltage Tester","Wilko","Mains Testers",NA,NA,NA,NA,0.766666666666667
"342892","Wilko Cable Ties  Black 100mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"100mm",NA,0.825
"342894","Wilko Cable Ties Black 200mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"200mm",NA,0.825
"342895","Wilko Cable Ties White 295mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"295mm",NA,0.825
"342896","Wilko Cable Ties  Black 295mM 20pk","Wilko","Cable Ties and Clips",NA,NA,"295mm",NA,0.825
"342897","Wilko Rel Cab Ties White  295mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"295mm",NA,0.825
"342898","Wilko Cable Ties Black 295mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"295mm",NA,0.825
"342902","Wilko Cable Clip 10mm Grey 20pk","Wilko","Cable Ties and Clips",NA,NA,"10mm",NA,0.825
"342909","Wilko Round Cable Clip White 6mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"6mm",NA,0.825
"342910","Wilko Round Cable Clip Black 6mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"6mm",NA,0.825
"342913","Wilko Round Cable Clip White 8mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"8mm",NA,0.825
"342914","Wilko Round Cable Clip White 9mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"9mm",NA,0.825
"342952","Wilko Waterproof Box 4 Socket Extension Lead8m Black","Wilko","Weather Proof Box",NA,NA,"8m",NA,0.825
"343003","Wilko Round Cable Clip Black 9mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"9mm",NA,0.825
"343004","Wilko Coaxial Cable Clip White 7mm 20pk","Wilko","Cable Ties and Clips",NA,NA,NA,NA,0.766666666666667
"343010","Wilko Flat Cable Clip  0.75mm White 20pk","Wilko","Cable Ties and Clips",NA,NA,"0.75mm",NA,0.825
"343011","Wilko Shotgun Cable Clip Black 20pk","Wilko","Cable Ties and Clips",NA,NA,NA,NA,0.766666666666667
"343014","Wilko White Tie Mounts 25 x 25mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"25mmx25mm",NA,0.825
"343015","Wilko Black Tie Mounts 25 x 25mm 20pk","Wilko","Cable Ties and Clips",NA,NA,"25mmx25mm",NA,0.825
"343020","Wilko Spiral Cable Tidy 1.5m","Wilko","Cable Tidys and Trunking",NA,NA,"1.5m",NA,0.825
"343021","Wilko Brass Lampholder","Wilko","Lamp Holder",NA,NA,NA,NA,0.766666666666667
"343022","Wilko Nickel Effect Lampholder","Wilko","Lamp Holder",NA,NA,NA,NA,0.766666666666667
"343074","Wilko Cable H Frame","Wilko","Cable Holder",NA,NA,NA,NA,0.766666666666667
"343236","Cable Tie Mixed Tub 200pk","Wilko","Cable Ties and Clips",NA,NA,NA,NA,0.716666666666667
"343675","Wilko Short Skirt For Lampholder T2","Wilko","Lamp Holder",NA,NA,NA,NA,0.766666666666667
"344915","Wilko 3 amp terminal connector strip 12Way","Wilko","Terminal Blocks",NA,NA,"3AMP",NA,0.825
"412203","Wilko 10amp Fuses 4pk","Wilko","Fuses",NA,NA,NA,"FUSE10",0.825
"442279","Wilko Euro Round Pin Travel Adaptor","Wilko","Travel Adaptor","White",NA,NA,NA,0.825
"442280","Wilko Flat Pin Travel Adaptor Australia","Wilko","Travel Adaptor","White",NA,NA,NA,0.825
"442281","Wilko Flat Pin Travel Adaptor USA","Wilko","Travel Adaptor","White",NA,NA,NA,0.825
"454321","Wilko HDMI Cable 2m","Wilko","HDMI Cable","Black",NA,"2m",NA,0.883333333333333
"454322","Wilko HDMI Cable 5m","Wilko","HDMI Cable","Black",NA,"5m",NA,0.883333333333333
"454323","Wilko HDMI Cable with Mini / Micro HDMI Adaptor 1m","Wilko","HDMI Adaptor","Black",NA,"1m",NA,0.883333333333333
"454324","Wilko Satellite F Cable 2m","Wilko","F Cable","White",NA,"2m",NA,0.883333333333333
"454326","Wilko Coax Cable 2m","Wilko","Coax Cable","White",NA,"2m",NA,0.883333333333333
"454328","Wilko Scart Cable 2m","Wilko","Scart Cable","Black",NA,"2m",NA,0.883333333333333
"454329","Wilko 3.5mm Jack To Jack Cable 3m","Wilko","AUX Cable","Black",NA,"3m",NA,0.883333333333333
"454331","Wilko 3.5mm Jack Extension Cable 3m","Wilko","Socket","Black",NA,"3m",NA,0.883333333333333
"454335","Wilko Satellite F Cable 1m","Wilko","F Cable","White",NA,"1m",NA,0.883333333333333
"454340","Wilko VGA Cable 1.8m","Wilko","VGA Cable","Black",NA,"1.8m",NA,0.883333333333333
"454341","Wilko Cat5e Network Cable 3m","Wilko","Network Cable","Black",NA,"3m",NA,0.883333333333333
"454342","Wilko Cat5e Network Cable 5m","Wilko","Network Cable","Black",NA,"5m",NA,0.883333333333333
"454349","Wilko Fax Modem Cable 1.8m","Wilko","Fax Cable","White",NA,"1.8m",NA,0.883333333333333
"454350","Wilko ADSL Modem Cable 3m","Wilko","Modem Cable","Black",NA,"3m",NA,0.883333333333333
