"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"324889","Wilko Fitted Sheet Double White","Wilko","Double Fitted Sheet","White",NA,"Washable","Double","52% Polyester, 48% Cotton",0.95
"324890","Wilko Fitted Sheet King Size White 150 x 200cm","Wilko","Kingsize Fitted Sheet","White",NA,"Washable","Kingsize","52% Polyester, 48% Cotton",0.95
"324918","Wilko Fitted Sheet Single Parchment","Wilko","Single Fitted Sheet","Brown",NA,"Washable","Single","100% Cotton",0.95
"324920","Wilko Fitted Sheet King Size Parchment","Wilko","Kingsize Fitted Sheet","Brown",NA,"Washable","Kingsize","100% Cotton",0.95
"325400","Wilko Fitted Sheet Double Taupe","Wilko","Double Fitted Sheet","Orange",NA,"Washable","Double","100% Cotton",0.95
"423223","Wilko Fitted Sheet Single Black","Wilko","Single Fitted Sheet",NA,"1","Wash at 40","90cm x 190cm x 25cm","Fabric",0.95
"423224","Wilko Fitted Sheet Double Black","Wilko","Double Fitted Sheet",NA,"1",NA,"Fitted sheet Double 140x190x25cm","Fabric",0.9
"423225","Wilko Fitted Sheet King Size Black","Wilko","Kingsize Fitted Sheet",NA,"1",NA,"Fitted sheet King 150X200X25","Fabric",0.9
"423227","Wilko Fitted Sheet Single Plum","Wilko","Single Fitted Sheet",NA,"1",NA,"Fitted sheet Single 90x190x25cm","Fabric",0.9
"423228","Wilko Fitted Sheet Double Plum","Wilko","Double Fitted Sheet",NA,"1",NA,"Fitted sheet Double 140x190x25cm","Fabric",0.9
"423229","Wilko Fitted Sheet King Size Plum","Wilko","Kingsize Fitted Sheet",NA,"1",NA,"Fitted sheet King 150X200X25cm","Fabric",0.9
"424523","Wilko Fitted Sheet Single Caramel","Wilko","Single Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424524","Wilko Fitted Sheet Double Caramel","Wilko","Double Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424525","Wilko Fitted Sheet King Size Caramel","Wilko","Kingsize Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424528","Wilko Fitted Sheet Single Taupe","Wilko","Single Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424529","Wilko Fitted Sheet Double Taupe","Wilko","Double Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424530","Wilko Fitted Sheet King Size Taupe","Wilko","Kingsize Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424533","Wilko Fitted Sheet Single Chocolate","Wilko","Single Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424535","Wilko Fitted Sheet King Size Chocolate","Wilko","Kingsize Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424538","Wilko Fitted Sheet Single Navy","Wilko","Single Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424539","Wilko Fitted Sheet Double Navy","Wilko","Double Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424540","Wilko Fitted Sheet King Size Navy","Wilko","Kingsize Fitted Sheet",NA,NA,NA,NA,NA,0.75
"424544","Wilko Fitted Sheet Double Denim","Wilko","Double Fitted Sheet",NA,"1",NA,NA,NA,0.8
"424545","Wilko Fitted Sheet King Size Denim","Wilko","Kingsize Fitted Sheet",NA,"1",NA,NA,NA,0.8
