"Article","Web Description","DQ Score"
"324888","Wilko Fitted Sheet Single White",1
"324895","Wilko Fitted Sheet Single Cream",1
"324896","Wilko Fitted Sheet Double Cream",1
"324897","Wilko Fitted Sheet King Size Cream",1
"324902","Wilko Fitted Sheet Single White",1
"324903","Wilko Fitted Sheet Double White",1
"324904","Wilko Fitted Sheet King Size White",1
"324919","Wilko Fitted Sheet Double Parchment",1
"325399","Wilko Fitted Sheet Single Taupe",1
"325401","Wilko Fitted Sheet King Size Taupe",1
"326859","Wilko Best Fitted Sheet Double Cream",1
"326381","Wilko Functional Fitted Sheet Single",1
"326382","Wilko Functional Fitted Sheet Double",1
"326383","Wilko Functional Fitted Sheet King Size",1
