"Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"453064","Compeed Anti-Blister Stick 8ml","Compeed","8ml","1",1
"33577","Elastoplast Fabric Dressing Lengths 6cm x 10cm","Elastoplast","6cmx10cm","10pk",1
"348440","Wilko Microporous Tape 5 x 2.5m","Wilko","5x2.5m","1",1
"348443","Wilko Faster Healing Plasters 16pk","Wilko","16 Pack","1",1
"348505","Wilko Bandage Crepe 7 x 4cm","Wilko","7x4cm","1",1
"348506","Wilko Fixing Bandage","Wilko","5x4cm","1",1
