"Article","Web Description","DQ Score"
"427716","Black and Decker Cordless Lithium Screwdriver 3.6V",0.55
"427717","Black and Decker  Random Orbital Sander 125mm",0.76
"427718","Black and Decker Compact Jigsaw and Blade 400W",0.83
"449827","Black and Decker Fast Battery Charger Lithium Ion",0.55
"449829","Black and Decker Impact Driver - Bare Unit 18V",0.76
"426244","Stanley 19in Tote and Organiser",0.6
"426245","Stanley  Toolbox with Tray Organiser 19in",0.6
"426246","Stanley Toolbox with Tray Organiser 16in",0.6
"426247","Stanley Toolbox with Tray Organiser 12.5in",0.6
"426248","Stanley Multibit Stubby Ratchet Scrwdriver",0.8625
