"Article","Web Description","Brand","Type","Pack Qty","Size","Power","Model Number","Colour","DQ Score"
"342508","Black and Decker Workbench Foldable with ClampingAction","Black & Decker","Work Benches and Trestles","1",NA,NA,NA,NA,0.8625
"345549","Black and Decker Hammer Drill In Kitbox 500W","Black & Decker","Drills Hammer and Rotary","1",NA,NA,NA,NA,0.81
"345559","Black and Decker Angle Grinder 5 Disc 750W 115mm","Black & Decker","Angle Grinders and Discs","1",NA,NA,NA,NA,0.81
"427717","Black and Decker  Random Orbital Sander 125mm","Black & Decker","Sander","1",NA,NA,NA,NA,0.76
"427718","Black and Decker Compact Jigsaw and Blade 400W","Black & Decker","Jigsaw",NA,NA,"400w, 230v Jigsaw","KS501-GB",NA,0.83
"449823","Black and Decker Piranha Orbital Sanding Sheets 5pk","Black & Decker","Sanding Sheets","5pk",NA,NA,NA,"Grey",0.88
"449824","Black and Decker Piranha Mouse Sanding Sheets 5pk","Black & Decker","Sanding Sheets","5pk",NA,NA,NA,"Grey",0.88
"449829","Black and Decker Impact Driver - Bare Unit 18V","Black & Decker","Drill",NA,NA,NA,"BDCIM18N-XJ",NA,0.76
"451101","Black and Decker Cordless Hammer Drill Lithium lon18V","Black & Decker","Hammer Drill",NA,NA,"18V Li-Ion Drill","BDCH188N-XJ",NA,0.88
"342300","Draper VDE long Nose Plier Draper","Draper","Pliers, Spanners and Wrenches","1",NA,NA,NA,NA,0.9125
"342301","Draper VDE Side Cutting Plier","Draper","Pliers, Spanners and Wrenches","1",NA,NA,NA,NA,0.9125
"342302","Draper VDE Wire Combi Plier","Draper","Pliers, Spanners and Wrenches","1",NA,NA,NA,NA,0.9125
"342303","Draper VDE Screwdriver 2.5 x 75mm Slotted","Draper","Screwdrivers",NA,"2.5x75mm",NA,NA,NA,0.9125
"342305","Draper VDE Screwdriver Pozi No.2 x 100mm","Draper","Screwdrivers",NA,"2x100mm",NA,NA,NA,0.9125
"450809","Draper Brad Nails 15mm 5000pk","Draper","Heavy Duty Nails","5000pk","15mm",NA,NA,NA,0.93
"247396","Stanley Retractable Knife","Stanley","Stanley Knife",NA,NA,NA,NA,NA,0.79
"247399","Stanley Screwdriver Multi Bit Ratchet","Stanley","Screwdrivers","1",NA,NA,NA,NA,0.9125
"247401","Stanley Tape Measure Tylon 8m","Stanley","Tape Measures, Levels and Rulers",NA,"8m",NA,NA,NA,0.9125
"247405","Stanley Saw Heavy Duty 7TPI 500mm","Stanley","Saws and Blades",NA,"500mm",NA,NA,NA,0.9125
"247406","Stanley Junior Hacksaw 152mm","Stanley","Saws and Blades",NA,"150mm",NA,NA,NA,0.9125
"290119","Stanley Screwdriver Pocket 4 in 1","Stanley","Screwdrivers","1",NA,NA,NA,NA,0.9125
"290120","Stanley Bit Set 7piece","Stanley","Drill Bits Sets","7pcs","7Piece",NA,NA,NA,0.93
"290121","Stanley Stud Sensor 100 STHT77403","Stanley","Stud Sensors","1",NA,NA,NA,NA,0.9125
"290122","Stanley MaxSteel Vice Multi Angle 1-83-069","Stanley","Clamps and Vices",NA,"75mm",NA,NA,NA,0.9125
"290123","Stanley 20oz Fibreglass Curve Clawhammer","Stanley","Hammers and Mallets",NA,"20oz",NA,NA,NA,0.9125
"290125","Stanley Staple Gun Light Duty","Stanley","Staples and Staplers","1",NA,NA,NA,NA,0.9125
"342499","Stanley Titanium Coated Metal Shears","Stanley","Snips, Pincers and Shears","1",NA,NA,NA,NA,0.9125
"342500","Stanley Moulding Bar Black20.3cm","Stanley","Axe and Crowbars",NA,"8in",NA,NA,NA,0.9125
"342501","Stanley Sharp Shooter MultiPurpose Staple Gun","Stanley","Staples and Staplers","1",NA,NA,NA,NA,0.9125
"342502","Stanley Staples Light Duty Type 53 600mm1000pk","Stanley","Staples and Staplers","1000pk",NA,NA,NA,NA,0.9125
"342503","Stanley Staples Light Duty Type 53 10mm1000pk","Stanley","Staples and Staplers","1000pk",NA,NA,NA,NA,0.9125
"342506","Stanley 2pt Phillips Screwdriver Cushion Grip150mm","Stanley","Screwdrivers","1",NA,NA,NA,NA,0.9125
"426248","Stanley Multibit Stubby Ratchet Scrwdriver","Stanley","Screwdrivers","1",NA,NA,NA,NA,0.8625
"208402","Wilko Paint and Rust Remover Wheel 100mm","Wilko","Drill Bits Wire Brushes",NA,"100mm",NA,NA,NA,0.86
"208404","Wilko Flap Disc 115mm","Wilko","Angle Grinders and Discs",NA,"115mm",NA,NA,NA,0.86
"208892","Wilko Wire Brush Set 6mm","Wilko","Drill Bits Wire Brushes","2pk","6mm",NA,NA,NA,0.93
"208893","Wilko Mounted Stone Set 5piece","Wilko","Drill Bits Sets","5pcs",NA,NA,NA,NA,0.86
"208894","Wilko Metal Grinding Wheel 115mm","Wilko","Angle Grinders and Discs",NA,"115mm",NA,NA,NA,0.86
"208895","Wilko Cutting Wheel for Metal 115mm","Wilko","Angle Grinders and Discs",NA,"115mm",NA,NA,NA,0.86
"208896","Wilko Stone Cutting Wheel 115mm","Wilko","Angle Grinders and Discs","1","115mm",NA,NA,NA,0.93
"208898","Wilko Flap Wheel 60 x 30mm","Wilko","Angle Grinders and Discs",NA,"60mmx30mm",NA,NA,NA,0.86
"208900","Wilko Wire Cup Brush 32mm","Wilko","Drill Bits Wire Brushes",NA,"32mm",NA,NA,NA,0.86
"208901","Wilko Wire Cup Brush 75mm","Wilko","Drill Bits Wire Brushes","1","75mm",NA,NA,NA,0.93
"208902","Wilko Brush Wire Wheel 75mm","Wilko","Drill Bits Wire Brushes",NA,"75mm",NA,NA,NA,0.86
"208903","Wilko Masonry Cutting Wheel 125mm","Wilko","Angle Grinders and Discs","1","125mm",NA,NA,NA,0.93
"208917","Wilko Sanding Discs 125mm","Wilko","Sanders and Sanding Sheets",NA,"5in, 125mm",NA,NA,NA,0.86
"208933","Wilko Sanding Discs Assorted  125mm 5pk","Wilko","Sanders and Sanding Sheets","5pk","125mm, 5in",NA,NA,NA,0.93
"208935","Wilko Sanding Discs Coarse 125mm 5pk","Wilko","Sanders and Sanding Sheets","5pk","125mm, 5in",NA,NA,NA,0.93
"208940","Wilko Sand Sheets Assorted","Wilko","Sanders and Sanding Sheets","5pk","280mmx115mm, 11inx4.5in",NA,NA,NA,0.93
"208942","Wilko Sand Sheets Coarse Grade 60","Wilko","Sanders and Sanding Sheets","5pk","280mmx115mm, 11inx4.5in",NA,NA,NA,0.93
"208943","Wilko Sand Sheets Medium Grade 100","Wilko","Sanders and Sanding Sheets","5pk","280mmx115mm, 11inx4.5in",NA,NA,NA,0.93
"209030","Wilko Warding File Set of 6","Wilko","Plaining and Filing","6pcs",NA,NA,NA,NA,0.9125
"209036","Wilko Contour Gauge 5in","Wilko","Squares and Gauges","1",NA,NA,NA,NA,0.9125
"209037","Wilko Craftsman Plane  245 x 50mm","Wilko","Plaining and Filing",NA,"245x50mm",NA,NA,NA,0.9125
"209039","Wilko 4 Way Crimping Tool","Wilko","Pliers, Spanners and Wrenches","1",NA,NA,NA,NA,0.9125
"209040","Wilko Terminals 50pk","Wilko","Terminal Blocks",NA,NA,NA,NA,NA,0.766666666666667
"209043","Wilko Rubber Mallet 454g","Wilko","Hammers and Mallets",NA,"16oz",NA,NA,NA,0.9125
"209091","Wilko Brick Trowel 10in","Wilko","Trowels",NA,"10in",NA,NA,NA,0.9125
"209093","Wilko Ball Pein Hammer 8oz","Wilko","Hammers and Mallets",NA,"8oz",NA,NA,NA,0.9125
"209097","Wilko Long Nose Pliers 175mm","Wilko","Pliers, Spanners and Wrenches",NA,"7in",NA,NA,NA,0.9125
"209099","Wilko Diagonal Pliers 150mm","Wilko","Pliers, Spanners and Wrenches",NA,"6in",NA,NA,NA,0.9125
"209112","Wilko Heavy Duty Hand Riveter Kit","Wilko","Punches and Rivetter","1",NA,NA,NA,NA,0.9125
"209119","Wilko Locking Wrench Drop Forged 254mm","Wilko","Pliers, Spanners and Wrenches",NA,"254mm",NA,NA,NA,0.9125
"209122","Wilko Carpenters Pincers Drop Forged 6in","Wilko","Snips, Pincers and Shears",NA,"6in",NA,NA,NA,0.9125
"209124","Wilko Polishing Bonnet 5in","Wilko","Polishing Bonnet and Buffer",NA,"5in",NA,NA,NA,0.86
"209143","Wilko Pointing Trowel 152mm","Wilko","Trowels",NA,"152mm",NA,NA,NA,0.9125
"209148","Wilko Plastering Trowel 280mm","Wilko","Trowels",NA,"280mm",NA,NA,NA,0.9125
"209172","Wilko Carpenters Hammer 8oz","Wilko","Hammers and Mallets",NA,"8oz",NA,NA,NA,0.9125
"209173","Wilko Pin Hammer 4oz","Wilko","Hammers and Mallets",NA,"4oz",NA,NA,NA,0.9125
"209181","Wilko Combination Square 305mm","Wilko","Squares and Gauges",NA,"305mm",NA,NA,NA,0.9125
"209185","Wilko Carbon Steel Countersink Bit 0.25in","Wilko","Drill Bits Countersink",NA,"0.25in",NA,NA,NA,0.86
"209193","Wilko Mitre Block Plastic Medium 305 x 140mm","Wilko","Mitre Box",NA,"305x140mm",NA,NA,NA,0.9125
"209197","Wilko Screwdriver Set 6 Piece","Wilko","Screwdrivers","6pcs",NA,NA,NA,NA,0.9125
"209227","Jigsaw Blades Fine Cutting 2pk","Wilko","Saws and Blades","2pk",NA,NA,NA,NA,0.81
"209273","Wilko Tin Snips 245mm","Wilko","Snips, Pincers and Shears",NA,"245mm",NA,NA,NA,0.9125
"209289","Wilko Double Ended Power Bit Set 75mm 2pk","Wilko","Drill Bits Sets",NA,"75mm",NA,NA,NA,0.86
"209290","Wilko Jigsaw Blade 2pk","Wilko","Saws and Blades","2pk",NA,NA,NA,NA,0.86
"209292","Wilko Rubber Backing Pad 123mm","Wilko","Angle Grinders and Discs",NA,"123mm",NA,NA,NA,0.86
"209293","Wilko Power Bit Set 5pcs","Wilko","Drill Bits Sets",NA,"90mm",NA,NA,NA,0.86
"209295","Wilko Power Screwdriver Bit Set With Dispenser 10Piece","Wilko","Drill Bits Sets","10","50mm",NA,NA,NA,0.93
"209298","Wilko Bradawl 140mm","Wilko","Punches and Rivetter",NA,"140mm",NA,NA,NA,0.9125
"209299","Wilko Gimlet 8mm","Wilko","Punches and Rivetter",NA,"88mm",NA,NA,NA,0.9125
"209300","Wilko Diamond Tipped Glass Cutter","Wilko","Tools","1",NA,NA,NA,NA,0.86
"209301","Wilko Sure-Shape Plane 10in","Wilko","Plaining and Filing",NA,"10in",NA,NA,NA,0.9125
"209302","Wilko Sure-Shape Pocket Plane 140mm","Wilko","Plaining and Filing",NA,"140mm",NA,NA,NA,0.9125
"209303","Wilko Sure Shape Plain Blade 254mm","Wilko","Plaining and Filing",NA,"254mm",NA,NA,NA,0.9125
"209304","Wilko Sure Shape Pocket Plane Blade 140mm","Wilko","Plaining and Filing",NA,"140mm",NA,NA,NA,0.9125
"209343","Wilko Sabre Saw Set 5pk","Wilko","Saws and Blades","5pk",NA,NA,NA,NA,0.86
"209345","Wilko Jigsaw Blades Set of 8","Wilko","Saws and Blades","8pk",NA,NA,NA,NA,0.86
"209353","Wilko U Notch Trowel 11in","Wilko","Trowels",NA,"11in",NA,NA,NA,0.9125
"209354","Wilko Open Combination Spanner Set Metric","Wilko","Pliers, Spanners and Wrenches","1",NA,NA,NA,NA,0.9125
"209428","Wilko Brick Bolster With Guard 75mm","Wilko","Brick Bolster",NA,"75mm",NA,NA,NA,0.9125
"209432","Wilko Cold Chisel Black 19 x 250mm","Wilko","Chisels",NA,"250mm",NA,NA,NA,0.9125
"209549","Wilko Tri and Mitre Square 100 and 200mm","Wilko","Squares and Gauges",NA,"100-200mm",NA,NA,NA,0.9125
