"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"346604","Rimmel Moisture Renew Lip Liner Fancy","Rimmel","Lipstick","Pink","1",NA,0.93
"346620","Rimmel Nail Polish Nurse 5 in 1","Rimmel","Nail Polish",NA,"1",NA,0.86
"351164","Rimmel Scandal Eyes Shadow Bluffing","Rimmel","Eye Shadow",NA,"1",NA,0.86
"351165","Rimmel Scandal Eyes Shadow Bootleg Brown","Rimmel","Eye Shadow",NA,"1",NA,0.86
"351514","Rimmel Gel Eyeliner Black","Rimmel","Eye Liner",NA,"1",NA,0.86
"403202","Rimmel Wake me up Foundation Porcelain","Rimmel","Liquid Foundation",NA,"1",NA,0.86
"403215","Rimmel Scandal Eyes Shadow Stick Blue","Rimmel","Eye Shadow","Blue","1",NA,0.93
"403229","Rimmel Moisture Renew Lip Liner Clear","Rimmel","Lip Liner",NA,"1",NA,0.86
"403232","Rimmel Lasting Finish Lipstick","Rimmel","Lipstick",NA,"1",NA,0.86
"403236","Rimmel Lasting Finish 25 Hours Foundation TrueIvory","Rimmel","Liquid Foundation",NA,"1",NA,0.86
"409079","Rimmel Provocalips Lipstick Skinny Dipping","Rimmel","Lipstick","Red","1",NA,0.93
"409080","Rimmel Provocalips Lipstick Kiss Me You Fool","Rimmel","Lipstick","Red","1",NA,0.93
"409081","Rimmel Provocalips Lipstick Little Minx","Rimmel","Lipstick","Pink","1",NA,0.93
"409082","Rimmel Provocalips Lipstick Make your Move","Rimmel","Lipstick","Pink","1",NA,0.93
"409084","Rimmel Wonderfull MascaraExtreme Black","Rimmel","Mascara","Black","1",NA,0.93
"413380","Rimmel Lasting Finish Primer Clear 30ml","Rimmel","Priming and Setting",NA,"1","30ml",0.93
"413383","Rimmel Scandaleyes Xxtreme Mascara Black","Rimmel","Mascara","Black","1",NA,0.93
"417209","Rimmel Kate Collection Lipstick Rosetto","Rimmel","Lipstick","Orange","1",NA,0.93
"417213","Rimmel Oh My Gloss Lipgloss Snog","Rimmel","Lip Gloss","Brown","1",NA,0.93
"417215","Rimmel Oh My Gloss Lipgloss My Eternity","Rimmel","Lip Gloss",NA,"1",NA,0.86
"417216","Rimmel Oh My Gloss Lipgloss Rebel Red","Rimmel","Lip Gloss","Red","1",NA,0.93
"417217","Rimmel Oh My Gloss Lipgloss Crystal Clear","Rimmel","Lip Gloss",NA,"1",NA,0.86
"417219","Rimmel Oh My Gloss Lipgloss Purr Glossy","Rimmel","Lip Gloss","Brown","1",NA,0.93
"417220","Rimmel Oh My Gloss Lipgloss Glossaholic","Rimmel","Lip Gloss","Pink","1",NA,0.93
"417221","Rimmel Oh My Gloss Lipgloss Ooh La La","Rimmel","Lip Gloss","Red","1",NA,0.93
"417222","Rimmel Oh My Gloss Lipgloss Go Gloss Or Go Home","Rimmel","Lip Gloss","Orange","1",NA,0.93
"417227","Rimmel 60 Seconds Supershine Nail Polish Clear 740","Rimmel","Nail Polish",NA,"1",NA,0.86
"417228","Rimmel 60 Seconds Supershine Nail Polish Ethereal","Rimmel","Nail Polish","Brown","1",NA,0.93
"417229","Rimmel 60 Seconds Supershine Nail Polish HotTropicana 407","Rimmel","Nail Polish","Pink","1",NA,0.93
"417230","Rimmel 60 Seconds Super Shine Nail Polish RapidRuby 320","Rimmel","Nail Polish","Red","1",NA,0.93
"417231","Rimmel 60 Seconds Super Shine Nail Polish BlackCherries 345","Rimmel","Nail Polish","Red","1",NA,0.93
"417232","Rimmel 60 Seconds Super Shine Nail Polish ChinUp 452","Rimmel","Nail Polish","Yellow","1",NA,0.93
"417233","Rimmel 60 Seconds Super Shine Nail Polish DannyBoy Blue 828","Rimmel","Nail Polish","Blue","1",NA,0.93
"417234","Rimmel 60 Seconds Super Shine Nail Polish DoubleDecker Red 310","Rimmel","Nail Polish","Red","1",NA,0.93
"417235","Rimmel 60 Seconds Super Shine Nail Polish CaramelCupcake 500","Rimmel","Nail Polish","Brown","1",NA,0.93
"417236","Rimmel 60 Seconds Super Shine Nail Polish PillowTalk 853","Rimmel","Nail Polish","Blue","1",NA,0.93
"417237","Rimmel 60 Seconds Super Shine Nail Polish RosePink Libertine 405","Rimmel","Nail Polish","Pink","1",NA,0.93
"417238","Rimmel 60 Seconds Super Shine Nail Polish SilverBullet 730","Rimmel","Nail Polish","Silver","1",NA,0.93
"417239","Rimmel 60 Seconds Super Shine Nail Polish InstyleCoral 415","Rimmel","Nail Polish","Orange","1",NA,0.93
"417240","Rimmel 60 Seconds Super Shine Nail PolishCoralicious 430","Rimmel","Nail Polish","Red","1",NA,0.93
"417242","Rimmel 60 Seconds Super Shine Nail Polish LoseYour Lingerie 203","Rimmel","Nail Polish","Pink","1",NA,0.93
"417245","Rimmel 60 Seconds Super Shine Nail Polish DarlingYou Are Fabulous 809","Rimmel","Nail Polish","Gold","1",NA,0.93
"417246","Rimmel 60 Seconds Super Shine Nail Polish YourMajesty 808","Rimmel","Nail Polish","Silver","1",NA,0.93
"417248","Rimmel 60 Seconds Super Shine Nail Polish SecondSuper Shine 510","Rimmel","Nail Polish","Brown","1",NA,0.93
"417249","Rimmel 60 Seconds Super Shine Nail Polish Gimme335","Rimmel","Nail Polish","Red","1",NA,0.93
"417252","Rimmel 60 Seconds Super Shine Nail PolishBreakfast In Bed 873","Rimmel","Nail Polish","Green","1",NA,0.93
"417253","Rimmel 60 Seconds Super Shine Nail Polish WhiteHot Love 708","Rimmel","Nail Polish","White","1",NA,0.93
"417254","Rimmel 60 Seconds Super Shine Nail Polish Berries340","Rimmel","Nail Polish","Red","1",NA,0.93
"417255","Rimmel 60 Seconds Rita Ora Nail Polish Roll In TheGrass 878","Rimmel","Nail Polish",NA,"1",NA,0.86
