"Article","Web Description","Brand","Type","Colour","Size","Assembly","DQ Score"
"416346","La Hacienda Patio Heater Wall Mounted 2000W","La Hacienda","Outdoor Heaters","Black","25x50","No",1
"416347","La Hacienda Patio Heater Adjustable Standing 2000W","La Hacienda","Outdoor Heaters","Black","180-210x50x48","No",1
