"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"456180","Restaurant Charcoal 12kg","Bar-Be-Quick","Charcoal",NA,"1","12kg",0.88
"456181","Bar-Be-Quick FSC Lumpwood 8kg","Bar-Be-Quick","Charcoal",NA,"1","8kg",0.88
"416339","La Hacienda Squat Chimenea Pewter","La Hacienda","Chimineas",NA,NA,"72x36.5x36.5",0.883333333333333
"416341","La Hacienda Colorado Contemporary Chimenea Medium","La Hacienda","Chimineas",NA,NA,"125x45x45",0.941666666666667
"416343","La Hacienda Albion Steel Fire Bowl Black","La Hacienda","Firepits",NA,NA,"41x51x51",0.941666666666667
"432100","La Hacienda Parasol Patio Heater 2400W","La Hacienda","Outdoor Heaters","2400W",NA,NA,0.883333333333333
"455203","La Hacienda Universal Cowboy Cookout Stove","La Hacienda","Charcoal Stove",NA,NA,"92cm Height x 45cm Width x 46cm Depth",0.833333333333333
"455204","La Hacienda Garden Tripod with Hanging Grill","La Hacienda","Firepit Grill",NA,NA,"172cm Height x 128cm Width x 108cm Depth",0.833333333333333
"455205","La Hacienda Garden Firepit Kala Oxidised","La Hacienda","Firepits",NA,NA,"38cm Height x 56cm Diameter",0.833333333333333
"455206","La Hacienda Garden Firepit Denver Stainless Steel","La Hacienda","Firepits",NA,NA,"54cm Height  x 61cm Diameter",0.833333333333333
"455207","La Hacienda Garden Firebasket Minnesota Steel","La Hacienda","Firebaskets",NA,NA,"45cm Height x 34cm Width x Depth 34cm",0.833333333333333
"455208","La Hacienda Garden Firebasket Alberta Steel","La Hacienda","Firebaskets",NA,NA,"51cm Height x 43cm Diameter",0.833333333333333
"455209","La Hacienda Chimenea Skyline Contemporary Steel","La Hacienda","Chimneas",NA,NA,"150cm Height x 36cm Width x 36cm Depth",0.833333333333333
"455211","La Hacienda Handmade Chimenea Copper Effect94cm High","La Hacienda","Chimneas",NA,NA,"94cm Height x 40cm Diameter",0.833333333333333
"lh00006","La Hacienda Murcia Steel Chimenea Large","La Hacienda","Chimineas",NA,NA,NA,0.833333333333333
"329407","Wilko DIY Charcoal Grill","Wilko","Charcoal BBQ's",NA,"1","Medium",0.93
"339412","Wilko Lighting Gel 500ml","Wilko","Lighting Fluid",NA,"1","500ml",0.93
"408874","Wilko American Charcoal Grill","Wilko","Charcoal BBQ's",NA,"1","112cm x 121cm x 71cm",0.93
"428600","Wilko Oil Drum Barbecue","Wilko","Charcoal BBQ's",NA,"1","94.5cm x 106cm x 55cm",0.93
