"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"454073","Black & Decker Steam Mop 1300W","Black & Decker","Steam Cleaning",NA,"1",NA,"Plastic, Steel",0.833333333333333
"454074","Black & Decker Steam Mop 7 in 1 Gen 1300W andAccessories","Black & Decker","Steam Cleaning",NA,"1",NA,NA,0.775
"454075","Black & Decker SteaMitt Glove Accessory Pack","Black & Decker","Steam Cleaning",NA,"1",NA,"Rubber and Microfibre",0.883333333333333
"454076","Black and Decker SteaMitt Replacement Pads 2pk","Black & Decker","Steam Cleaning",NA,"2 Pack",NA,"Microfibre",0.783333333333333
"454077","Black & Decker Steam Mop Replacement Pads 2pk","Black & Decker","Steam Cleaning ",NA,"2 Pack",NA,"Microfibre",0.833333333333333
"213848","Flash Power Mop Cleaning Kit","Flash","Mops",NA,"1",NA,NA,0.825
"278059","Flash Power Mop Multi-Layered Cleaning PadRefills 12pk","Flash","Mop Heads and Refills",NA,"1","2 Pack",NA,0.883333333333333
"436775","Prolectrix Triangular Steam Cleaner EF0248WK","PROlectrix","Steam Cleaning","Orange","1",NA,"ABS",0.941666666666667
"457181","Quest Steam Cleaner Hand Held 250ml","Quest","Steam Cleaning",NA,"1",NA,"Plastic",0.883333333333333
"457182","Quest 12 in 1 Steam Cleaner Mop 1300w","Quest","Steam Cleaning",NA,"1",NA,"Plastic",0.883333333333333
"155999","Vileda Super Mocio 3 Action Mop Head and Handle","Vileda","Mops","Multi","1",NA,"Cellulose, Polyester, Polypropylene, Polyamide",0.941666666666667
"157423","Vileda SuperMocio 3 Action Refill","Vileda","Mop Heads and Refills","Multi","1",NA,NA,0.883333333333333
"181642","Vileda SuperMocio Bucket and Wringer Red and Black","Vileda","Buckets","Multi","1",NA,NA,0.883333333333333
"204922","Vileda Magic Mop Flat","Vileda","Mops","Red","1",NA,NA,0.883333333333333
"204923","Vileda Magic Mop Flat Refill Blue","Vileda","Mop Heads and Refills","Multi","1",NA,NA,0.883333333333333
"265644","Vileda Supermocio Microfibre and Cotton Mop","Vileda","Mops","Multi","1",NA,NA,0.883333333333333
"265645","Vileda Supermocio Mop Head Microfibre and CottonRefill","Vileda","Mop Heads and Refills","Multi","1",NA,NA,0.883333333333333
"292476","Vileda Active Max Mop Refill","Vileda","Mop Heads and Refills","Multi","1",NA,"Polyester Microfibre, Cotton",0.941666666666667
"304986","Vileda Mop Active Max System","Vileda","Mops","Multi","1",NA,"Cotton, Polyester",0.941666666666667
"304988","Vileda Mop 1.2 Spray System","Vileda","Mops","Multi","1",NA,NA,0.883333333333333
"304990","Vileda Ultra Max 1.2 Replacement Mop Head","Vileda","Mop Heads and Refills","Multi","1","1.2L",NA,0.941666666666667
"417436","Vileda Supermocio Soft Mop","Vileda","Mops",NA,NA,NA,"50% viscose, 30% PES, 20% PP (Head) Steel (Handle)",0.825
"417437","Vileda Supermocio Soft Mop Refill","Vileda","Mop Heads and Refills",NA,NA,NA,NA,0.766666666666667
"420159","Vileda Hot Spray Mop 100 Degrees","Vileda","Steam Cleaning",NA,"1","Vileda Hot Spray 1290mm (H) x 350mm (W) x 260mm (D","Plastic",0.941666666666667
"420160","Vileda 100 Degrees Hot Spray Refills","Vileda","Mop Heads and Refills",NA,"2","Vileda Hot Spray Refill 4mm (H) x 320mm (W) x 235m","Microfibre",0.941666666666667
"72831","Vileda Magic Mop 3 Action Red/Grey","Vileda","Mops","Multi","1",NA,NA,0.883333333333333
"72832","Vileda Magic Mop Refill","Vileda","Mop Heads and Refills","Multi","1",NA,NA,0.883333333333333
"137542","Wilko Bucket General Purpose Black Large 14.5L","Wilko","Buckets","Black","1","14.5L",NA,0.941666666666667
"300346","Wilko Cleaning Caddy","Wilko","Cleaning Caddy",NA,"1","Large",NA,0.883333333333333
"303367","Wilko Mop Bucket Silver 10L","Wilko","Buckets","Silver","1","10L",NA,0.941666666666667
"435934","Wilko Collapsible Bucket","Wilko","Buckets",NA,NA,NA,NA,0.766666666666667
"437318","Wilko Mop Bucket with Wringer 11L","Wilko","Buckets",NA,"1",NA,"PPN",0.883333333333333
"437330","Wilko Floor Mop 2 in1 Double Sided 1.2m","Wilko","Mops",NA,"1",NA,"PP, Plastic, Coated Steel, Microfibre",0.883333333333333
"437335","Wilko Sponge Mop Refill","Wilko","Mops",NA,"1",NA,"Hydrophilic Sponge, PP",0.883333333333333
"437336","Wilko Strip Mop Complete with Handle 1.2m","Wilko","Mops",NA,"1",NA,"Viscose, Plastic Coated Steel, PP",0.883333333333333
"437338","Wilko Strip Mop Refill Viscose Spots","Wilko","Mops",NA,"1",NA,"Viscose, PP",0.883333333333333
"437339","Wilko Strip Mop Refill Microfibre","Wilko","Mop Heads and Refills",NA,"1",NA,"Microfibre, PP",0.883333333333333
"454131","Wilko Mop and Broom Holder","Wilko",NA,NA,"1",NA,"PP",0.825
"454140","Wilko Utility Broom Heavy Duty","Wilko","Broom and Brush Heads",NA,"1",NA,"Rubberwood, PVC, Steel, PP, Mild Steel",0.883333333333333
"454149","Wilko String Mop with Handle White","Wilko","Mops",NA,"1",NA,"Plastic coated steel",0.883333333333333
"454150","Wilko String Mop with Handle Teal","Wilko","Mops",NA,"1",NA,"Plastic Coated Steel, PP",0.883333333333333
"454151","Wilko String Mop Refill","Wilko","Mop Heads and Refills",NA,"1",NA,"Plastic",0.883333333333333
"454152","Wilko Viscose Mop with Handle White","Wilko","Mops",NA,"1",NA,"Viscose, Plastic coated Steel, Polypropylene",0.883333333333333
"454153","Wilko Viscose Mop with Handle Teal","Wilko","Mops",NA,"1",NA,"Viscose, Plastic coated Steel, Polypropylene",0.883333333333333
"454154","Wilko Viscose Mop Refill","Wilko","Mop Heads and Refills",NA,"1",NA,NA,0.825
"454155","Wilko Mop Bucket with Wringer White","Wilko","Buckets",NA,"1",NA,"Polypropylene",0.883333333333333
"454156","Wilko Mop Bucket with Wringer Teal","Wilko","Buckets",NA,"1",NA,"Polypropylene",0.883333333333333
