"PSA_1","PSA_2","Article","Web Description","DQ Score"
"SBK","ADH","431753","Post Office PostPak Bubble Envelopes Size 0 3pk 195 x 140mm",0.83
"SBK","ADH","431754","Post Office PostPak Bubble Envelopes Size 1 3pk 245 x 170mm",0.76
"SBK","ADH","431756","Post Office PostPak Bubble Envelopes Size 5 3pk 345 x 260mm",0.76
"SBK","ADH","431758","Post Office Polythene Envelopes 5pk Assorted Sizes",0.76
"SBK","COM","451318","Canon Pixma Printer MG3052",0.95
"SBK","COM","306450","Epson Ink Cartridge T0714 Yellow",0.833333333333333
"SBK","COM","428231","Urban Revolt Waterproof Wireless Speaker",0.841666666666667
"SBK","DES","432432","Bic Cristal Grip Ballpoint Pens Assorted Colours4pk",0.95
"SBK","DES","432450","Bic Kids Mixed Colouring Set 36pk",0.95
"SBK","DES","452610","Bic 4 Colour Grip Fashion Pen",0.95
"SBK","DES","452613","Bic Intensity Felt Pen 4pk",0.95
"SBK","DES","452614","Bic Intensity Felt Pen 8pk",0.95
"SBK","DES","452615","Bic Flex Highlighter 4pk",0.95
"SBK","DES","452616","Bic Evolution Graphite Pencil 8pk",0.95
"SBK","DES","452617","Bic Marking Colour Pen 5pk",0.95
"SBK","DES","454042","Paper Mate Inkjoy Gels Pens Black 2pk",0.95
"SBK","DES","454043","Paper Mate Inkjoy Gel Pens Assorted Colours 3pk",0.95
"SBK","DES","454045","Paper Mate Erasable Gel Black 2pk",0.95
"SBK","DES","454046","Paper Mate Erasable Gel Pens 4pk",0.95
"SBK","DES","454047","Paper Mate Flair Candy Pop 6pk",0.95
"SBK","DES","454270","Paper Mate Inkjoy Gels Pens 3pk",0.95
"SBK","DES","431861","Scotch Magic Tape 3 Refill Roll 19mm x 25m",0.833333333333333
"SBK","DES","432398","Sharpie Colour Burst Fine Permanent Markers 5pk",0.95
"SBK","DES","1794044","Wilko Adhesive Tape Clear 25mm x 60m",0.833333333333333
"SBK","DES","432282","Zebra Z-Grip Ballpoint Pen Assorted Colours 3pk",0.88
"SBK","GIF","410964","Despicable Me Roll Wrap",0.783333333333333
"SBK","KFL","439945","Finding Dory Stationery Set",0.9
"SBK","KFL","439950","Finding Dory Filled Pencil Case",0.9
"SBK","KFL","439938","Star Wars Retro Stationery Set",0.95
"SBK","KFL","439941","Star Wars Retro Bumper School Pack",0.95
"SBK","KFL","439942","Star Wars Retro Exercise Book",0.95
"SBK","KID","451629","Bic Kids Couleur Extra Large Felt Pens 12pk",0.95
"SBK","KID","451630","Bic Kid Couleur Felt Tip Pens 24pk",0.95
"SBK","KID","451632","Bic Kids Evolution Colouring Pencils",0.95
"SBK","KID","452974","Crayola Twistable Crayons 12pk",0.88
"SBK","KID","452975","Crayola Dual Sided Pencils 12pk",0.88
"SBK","KID","452976","Crayola Erasable Coloured Pencils 10pk",0.88
"SBK","PAR","441384","Star Wars Napkins 20pk",0.891666666666667
"SBK","PAR","441385","Star Wars Tablecover",0.891666666666667
