"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"SBK","ADH","431759","Avery Printable Mailing Labels Assorted Sizes","Avery",".3CM","22.0CM","33.0CM","Mail Labels",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADH","431763","Avery Printable Clear Labels 36pk 95 x 41mm","Avery",".5CM","11.5CM","18.0CM","Address Labels",NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADH","431761","Dymo Digital Postal Scales 2kg","Dymo","6.5CM","19.5CM","23.0CM","Digital Scales",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADH","417028","Pentel Twin Tipped Permanent Marker 2pk","Pentel","21.0CM","7.0CM","1.2CM","Marker Pens","Each Marker 13.8cm x 1.3cm x 1.8cm","Black","2",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","300391","Post Office PostPak Bubble Envelope Size 5 345 x 260mm","Royal Mail","29.0CM","35.6CM",".8CM","Bubble Envelopes","Size 5","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88
"SBK","ADH","300392","Post Office PostPak Mailing Box Small Parcel","Royal Mail","40.5CM","37.7CM","1.5CM","Posting Boxes","Small","Multi","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"SBK","ADH","300393","Post Office PostPak Envelope Size 1 245 x 170mm","Royal Mail","20.1CM","26.3CM",".7CM","Bubble Envelopes","Size 1","Red","1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"SBK","ADH","300394","Post Office PostPak Book Box Large","Royal Mail","10.3CM","26.4CM","18.0CM","Posting Boxes","Small","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88
"SBK","ADH","431753","Post Office PostPak Bubble Envelopes Size 0 3pk 195 x 140mm","Royal Mail","1.5CM","17.5CM","21.0CM","Jiffy bags","1013559",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.83
"SBK","ADH","431754","Post Office PostPak Bubble Envelopes Size 1 3pk 245 x 170mm","Royal Mail","1.5CM","20.5CM","26.0CM","Jiffy bags",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"SBK","ADH","431756","Post Office PostPak Bubble Envelopes Size 5 3pk 345 x 260mm","Royal Mail","1.5CM","29.0CM","36.0CM","Jiffy bags",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"SBK","ADH","431758","Post Office Polythene Envelopes 5pk Assorted Sizes","Royal Mail","1.5CM","21.0CM","27.5CM","Envelopes",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"SBK","ADH","431871","Scotch Packaging Tape 48mm x 20.3m","Scotch","10.4CM","6.0CM","7.1CM","Packaging Tape","L x 0.0710m W x 0.0600m H x 0.1040m","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"SBK","ADH","431872","Scotch Brown Packaging Tape 66M x 50mm","Scotch","5.0CM","10.2CM","10.2CM","Adhesive Tape and dispensers","L x 0.120m W x 0.1020 H x 0.500m","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,1
