"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Colour","Size","Power","Age","Model Number","Material","Assembly","DQ Score"
"SBK","COM","334058","HP Inkjet Print Cartridge Black 301 XL","HP","Black Ink Cartridges",NA,"Black",NA,NA,NA,NA,NA,NA,0.825
"SBK","COM","334059","HP Inkjet Print Cartridge Tri-Colour 301 XL","HP","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,NA,NA,NA,0.825
"SBK","COM","334626","HP Inkjet Print Cartridge Magenta 364","HP","Colour Ink Cartridges",NA,"Pink",NA,NA,NA,NA,NA,NA,0.825
"SBK","COM","334765","HP Inkjet Print Cartridge Yellow 364","HP","Colour Ink Cartridges",NA,"Yellow",NA,NA,NA,NA,NA,NA,0.825
"SBK","COM","413851","HP364XL Black Ink Cartridge","HP","Black Ink Cartridges",NA,"Black",NA,NA,NA,"CN684EE-301",NA,NA,0.883333333333333
"SBK","COM","428234","HP No302 Tri Colour RT Ink Cartridge","HP","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,"F6U65AE301",NA,NA,0.883333333333333
"SBK","COM","428235","HP No302 Black RT Ink Cartridge","HP","Black Ink Cartridges",NA,"Black",NA,NA,NA,"F6U66AE301",NA,NA,0.883333333333333
"SBK","COM","428237","HP No302XL Black RT Ink Cartridge","HP","Black Ink Cartridges",NA,"Black",NA,NA,NA,"F6U68AE301",NA,NA,0.883333333333333
"SBK","COM","439512","HP 301 Combo","HP","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,"N9J72AE301",NA,NA,0.883333333333333
"SBK","COM","439513","HP 364 Combo","HP","Colour Ink Cartridges",NA,NA,NA,NA,NA,"N9J73E301",NA,NA,0.825
"SBK","COM","439514","HP 62 2 Pack","HP","Colour Ink Cartridges",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"SBK","COM","306542","Kodak Ink Cartridge Colour 30CL","Kodak","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,"30C",NA,NA,0.883333333333333
"SBK","COM","306543","Kodak Ink Cartridge Black 10B","Kodak","Black Ink Cartridges",NA,"Black",NA,NA,NA,"10B",NA,NA,0.883333333333333
"SBK","COM","306544","Kodak Ink Cartridge Black 30","Kodak","Black Ink Cartridges",NA,"Black",NA,NA,NA,"30B",NA,NA,0.883333333333333
"SBK","COM","317924","Kodak Ink Cartridge Combo Pack 10C Colour + 10B Black","Kodak","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,"10B/10C",NA,NA,0.883333333333333
"SBK","COM","317938","Kodak Ink Cartridge Combo Pack 30CL Colour + 30 Black","Kodak","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,"30B/30C",NA,NA,0.883333333333333
"SBK","COM","431358","Kodak Portable Charger 2600mAh","Kodak","Powerbank","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","COM","420888","USB Car Charger 2A","Texet","In Car Audio Cables and Chargers","1",NA,NA,NA,NA,NA,NA,NA,0.775
"SBK","COM","428220","Trust Portable Speaker Set","Trust","Speakers",NA,NA,"6, 6x6, 6x10, 8cm","USB Use",NA,"19912",NA,NA,0.941666666666667
"SBK","COM","428228","Trust TV Connection Kit Card Reader","Trust","Card Reader",NA,NA,"9x6, 8x1, 1cm","USB Use",NA,"19527",NA,NA,0.941666666666667
"SBK","COM","428231","Urban Revolt Waterproof Wireless Speaker","Trust","Speakers",NA,NA,"4x8, 5x9 cm","Bluetooth, USB",NA,"20097",NA,NA,0.841666666666667
"SBK","COM","261730","Wilko A4 Matt Coated Picture Paper 120gsm","Wilko","Photo Paper",NA,NA,"A4",NA,NA,NA,NA,NA,0.825
"SBK","COM","261757","Wilko Photo Paper 170GSM A4 Glossy","Wilko","Photo Paper",NA,NA,"A4",NA,NA,NA,NA,NA,0.825
"SBK","COM","261758","Wilko A4 Premium Photo Paper Glossy Sheets 250gsmx 20","Wilko","Photo Paper",NA,NA,"A4",NA,NA,NA,NA,NA,0.825
"SBK","COM","261759","Wilko Photo Paper 170GSM 6X4 Glossy","Wilko","Photo Paper",NA,NA,"6x4in",NA,NA,NA,NA,NA,0.825
"SBK","COM","261760","Wilko Premium 6x4 Size Photo Paper Glossy 250gsm x25","Wilko","Photo Paper",NA,NA,"6x4in",NA,NA,NA,NA,NA,0.825
"SBK","COM","261768","Wilko 10 x 21 Self Adhesive Labels White 63 x 38mm","Wilko","Labels",NA,"White","63x38mm",NA,NA,NA,NA,NA,0.883333333333333
"SBK","COM","262748","Wilko Remanufactured Epson T0715 BCMY InkCartridge Multipack","Wilko","Colour Ink Cartridges",NA,"Multi","4 Pack",NA,NA,"T071",NA,NA,0.941666666666667
"SBK","COM","262752","Wilko Remanufactured HP56 Black Ink Cartridge","Wilko","Black Ink Cartridges",NA,"Black","24ml",NA,NA,"HP56",NA,NA,0.941666666666667
"SBK","COM","262754","Wilko Remanufactured HP21 Black Ink Cartridge","Wilko","Black Ink Cartridges",NA,"Black","10ml",NA,NA,"HP21",NA,NA,0.941666666666667
"SBK","COM","262763","Wilko Ink Refill Kit Black 30ml x 4","Wilko","Black Ink Cartridges",NA,"Black",NA,NA,NA,NA,NA,NA,0.825
"SBK","COM","262764","Wilko Refill Kit Colour 30ml x 4","Wilko","Colour Ink Cartridges",NA,"Multi","4x30ml",NA,NA,NA,NA,NA,0.883333333333333
"SBK","COM","285800","Wilko Remanufactured Epson T0711 Black InkCartridge","Wilko","Black Ink Cartridges",NA,"Black","13ml",NA,NA,"TO711",NA,NA,0.941666666666667
"SBK","COM","289110","Wilko Remanufactured Canon CL-41 Colour InkCartridge","Wilko","Colour Ink Cartridges",NA,"Multi","24ml",NA,NA,"PG41",NA,NA,0.941666666666667
"SBK","COM","306963","Wilko Remanufactured Canon PG-510 Black InkCartridge","Wilko","Black Ink Cartridges",NA,"Black","11.5ml",NA,NA,"PG-510",NA,NA,0.941666666666667
"SBK","COM","306964","Wilko Remanufactured Epson T1281 Black InkCartridge","Wilko","Black Ink Cartridges",NA,"Black","13ml",NA,NA,"T1281",NA,NA,0.941666666666667
"SBK","COM","306965","Wilko Remanufactured Epson T1282/3/4 CMY InkCartridge Multipack","Wilko","Colour Ink Cartridges",NA,NA,NA,NA,NA,"T1282/3/4 CMY",NA,NA,0.825
"SBK","COM","306966","Wilko Remanufactured Canon CL-511 Colour InkCartridge","Wilko","Colour Ink Cartridges",NA,NA,"CL-511",NA,NA,"CL511",NA,NA,0.883333333333333
"SBK","COM","306969","Wilko Remanufactured HP364 Black Ink Cartridge","Wilko","Black Ink Cartridges",NA,"Black","10ml",NA,NA,"HP364",NA,NA,0.941666666666667
"SBK","COM","306970","Wilko Remanufactured HP364 CMY Ink CartridgeMultipack","Wilko","Colour Ink Cartridges",NA,"Multi","3x5ml",NA,NA,"HP364",NA,NA,0.941666666666667
"SBK","COM","319107","Wilko Remanufactured Kodak 10 Black & ColourMultipack","Wilko","Colour Ink Cartridges",NA,"Multi","19ml and 62.5ml",NA,NA,NA,NA,NA,0.883333333333333
"SBK","COM","319273","Wilko Copier Paper A4 500s","Wilko","Copier Paper",NA,"White","A4",NA,NA,NA,NA,NA,0.883333333333333
"SBK","COM","332271","Wilko Remanufactured HP301 Black Ink Cartridge","Wilko","Black Ink Cartridges",NA,"Black","6ml",NA,NA,"HP301",NA,NA,0.941666666666667
"SBK","COM","332274","Wilko Remanufactured HP301 Colour Ink Cartridge","Wilko","Colour Ink Cartridges",NA,NA,"7.5ml",NA,NA,"HP301",NA,NA,0.883333333333333
"SBK","COM","348901","Wilko Remanufactured Epson T1801 Black InkCartridge","Wilko","Black Ink Cartridges",NA,"Black",NA,NA,NA,"T01801",NA,NA,0.883333333333333
"SBK","COM","348902","Wilko Remanufactured Epson T1806 BCMY InkCartridge Multipack","Wilko","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,"BCMY",NA,NA,0.883333333333333
"SBK","COM","348903","Wilko Remanufactured Canon PG-540XL Black InkCartridge","Wilko","Black Ink Cartridges",NA,"Black",NA,NA,NA,"PG540XL",NA,NA,0.883333333333333
"SBK","COM","348904","Wilko Remanufactured Canon CL-541XL Colour InkCartridge","Wilko","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,"CL541XL",NA,NA,0.883333333333333
"SBK","COM","422555","Wilko Epson T2601 Black Inkjet Cartridge","Wilko","Black Ink Cartridges",NA,"Black","10ml of Ink",NA,NA,NA,NA,NA,0.883333333333333
"SBK","COM","422556","Wilko Epson T2601/12/13/14 BCMY Multipk","Wilko","Colour Ink Cartridges",NA,"Multi",NA,NA,NA,NA,NA,NA,0.825
"SBK","COM","428846","Micro Docking Station","Wilko","Docking Station",NA,NA,"Micro USB Docking Station 82cm x 58cm",NA,NA,"WKSMDS846",NA,NA,0.833333333333333
"SBK","COO","427347","Wilko I Like Cats Small Round Mirror","Wilko","Compact Mirror","1",NA,"0.4 x 7.5 x 7.5cm",NA,NA,NA,NA,NA,0.93
"SBK","COO","427350","Wilko I Like Cats Push Pins 16pk","Wilko","Push Pins","16",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","COO","427351","Wilko I Like Cats Index Clips","Wilko","Index Clips","1",NA,"1.8 x 3.6cm",NA,NA,NA,NA,NA,0.93
"SBK","COO","427367","Wilko I Like Cats Exercise Books","Wilko","Exercise Books","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","COO","427372","Wilko I Like Cats Padfolio","Wilko","Clipboard","1",NA,"1.8 x 23.5 x 32cm",NA,NA,NA,"Paper",NA,0.941666666666667
"SBK","COO","427376","Wilko I Like Cats Document Wallet A4","Wilko","Document Folders and Wallets","1",NA,"A4",NA,NA,NA,NA,NA,0.883333333333333
"SBK","COO","427379","Wilko I Like Cats A4 Storage With Lid","Wilko","Storage Box","1",NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","COO","427380","Wilko I Like Cats A4 Home Box File","Wilko","Box File","1",NA,"12 x 35.5 x 24.7cm",NA,NA,NA,"Paper",NA,0.941666666666667
"SBK","COO","427383","Wilko I Like Cats Flip Notebook","Wilko","Notebooks","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","COO","427386","Wilko I Like Cats Plans And Ideas","Wilko","Journals, Planners and Organisers","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","COO","427417","Wilko I Like Cats Zipper Wallet A4","Wilko","Document Folders and Wallets","1",NA,"A4",NA,NA,NA,NA,NA,0.883333333333333
"SBK","COO","427425","Wilko I Like Cats Canvas Pencil Case","Wilko","Pencil Case","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","COO","427428","Wilko I Like Cats Sticky Notes","Wilko","Sticky Notes","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","COO","427435","Wilko I Like Cats Attitude Sticker","Wilko","Sticky Notes","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","COO","427438","Wilko I Like Cats Photo Rope Kit","Wilko","Photo Kit","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","COO","430691","Wilko I Like Cats Stationery Set","Wilko","Stationery Sets","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","COO","430714","Wilko I Like Cats Mini Gel Ink Pen 5pk","Wilko","Gel Pens","5",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","315688","Berol Paper Mate Handwriting Pen Cartridge Red","Berol","Fountain Pens","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","337193","Berol Colour Fine Assorted 12pk","Berol","Fineliners",NA,NA,"Fine",NA,NA,NA,NA,NA,0.86
"SBK","DES","233148","Bic Cristal Original Ballpoint Pens Blue 4pk","Bic","Ballpoint Pens",NA,"Blue","Medium",NA,NA,NA,NA,NA,0.93
"SBK","DES","303017","Bic 4 Colours Original Ballpoint Pen","Bic","Ballpoint Pens",NA,NA,"Medium",NA,NA,NA,NA,NA,0.86
"SBK","DES","337219","Bic Cristal Original Ballpoint Pens AssortedColours 10pk","Bic","Ballpoint Pens","10pk",NA,"1.0mm",NA,NA,NA,NA,NA,0.93
"SBK","DES","337236","Bic Cristal Original Ballpoint Pens Blue 10pk","Bic","Ballpoint Pens","10pk",NA,"1.0mm",NA,NA,NA,NA,NA,0.93
"SBK","DES","349393","Bic Cristal Fun Ballpoint Pens Assorted Colours10pk","Bic","Ballpoint Pens","10pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","349394","Bic Cristal Grip Ballpoint Pens Black 4pk","Bic","Ballpoint Pens","4pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","349395","Bic Evolution Graphite Pencils HB Grade 4pk","Bic","Pencils","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","349396","Bic Criterium Graphite Pencil 2B 2pk","Bic","Pencils","2pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","416876","Bic Mini 4 Colour Pen","Bic","Ballpoint Pens","12",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","416878","Bic Orange Pens 20pk","Bic","Ballpoint Pens","20",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","416879","Tippex Mini Shake N Squeeze Pen","Bic","Tipp-Ex","10",NA,NA,NA,NA,NA,NA,NA,0.775
"SBK","DES","416880","Bic Soft Feel Retractable Ballpoint Pens Black 3pk","Bic","Ballpoint Pens","3",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","416882","Bic Matic Strong Mechanical Pencils 10pk","Bic","Pencils","10",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","416886","Bic Velleda Whiteboard Markers Assorted Colours4pk","Bic","Marker Pens","4",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","417975","Bic Cristal Grip Ballpoint Pens Black 8pk","Bic","Ballpoint Pens","8",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","417976","Bic CD Dvd Marker Pen Loose","Bic","Marker Pens","12",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","432433","Bic 4 Colours Fluo Ballpoint Pen Assorted Colours","Bic","Ballpoint Pens","1","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","432436","Bic 4 Colours Shine Ballpoint Pen","Bic","Ballpoint Pens","1","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","432438","Bic Atlantis Exact Ballpoint Pen Assorted Colours3pk","Bic","Ballpoint Pens","1","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","432440","Bic Ink Eaters 2pk","Bic","Ballpoint Pens","1","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","432445","Bic Velleda Fine Dry Erase 2pk","Bic","Marker Pens","1","Black",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","432449","Bic Kids Learners Pencils 2pk","Bic","Pencils","1","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","440176","Bic Evolution Graphite Pencils 4pk","Bic","Pencils","4","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","218370","Casio Electronic Calculator MX8B","Casio","Calculators",NA,NA,"Desk","Solar, Battery",NA,"MX8B",NA,NA,0.941666666666667
"SBK","DES","288795","Casio Calculator Scientific FX-83GT Plus","Casio","Calculators",NA,"Multi",NA,"Battery",NA,NA,NA,NA,0.883333333333333
"SBK","DES","349356","Helix Super School Set","Helix","Geometry Sets","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","DES","349435","Helix Oxford Math Set Instruments","Helix","Geometry Sets",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","DES","349442","Helix Ruler Oxford shatter Proof 30cm","Helix","Rulers",NA,NA,"30cm",NA,NA,NA,NA,NA,0.86
"SBK","DES","349443","Helix Oxford Folding Ruler 30cm","Helix","Rulers",NA,NA,"30cm",NA,NA,NA,NA,NA,0.86
"SBK","DES","337241","Sellotape Super Clear And Dispenser","Henkel","Adhesive Tape and dispensers",NA,NA,"18mmx15m",NA,NA,NA,NA,NA,0.775
"SBK","DES","78274","Pritt Stick 43g","Henkel","Glue","1",NA,"43g",NA,NA,NA,NA,NA,0.833333333333333
"SBK","DES","318204","Loctite Super Glue Mini Trio 3 x 1g","Loctite","Superglue","3pk",NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","DES","349437","Maped Eraser Zenoa","Maped","Erasers",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","DES","349445","Maped 21cm Soft Touch Scissors","Maped","Scissors",NA,NA,"21cm",NA,NA,NA,NA,NA,0.86
"SBK","DES","417423","Study Compass And Universal Holder","Maped","Compass",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"SBK","DES","432162","Oxford HB Pencils 12pk","Oxford","Pencils","12",NA,"1.5 x 4.8 x 21cm",NA,NA,NA,NA,NA,0.93
"SBK","DES","261573","Papermate Mechanical Pencil 4pk","Paper Mate","Pencils",NA,"Multi","0.7mm",NA,NA,NA,NA,NA,0.88
"SBK","DES","303187","Paper Mate Gel Pens Black Medium 2pk","Paper Mate","Gel Pens","2pk",NA,"Medium",NA,NA,NA,NA,NA,0.93
"SBK","DES","417136","Paper Mate Inkjoy Black 8pk","Paper Mate","Ballpoint Pens","8",NA,"L146 x W15 x H193",NA,NA,NA,NA,NA,0.93
"SBK","DES","417137","Paper Mate Inkjoy Assorted 8pk","Paper Mate","Ballpoint Pens","8",NA,"L146 x W15 x H193",NA,NA,NA,NA,NA,0.93
"SBK","DES","417138","Paper Mate Inkjoy Fun Colours 8pk","Paper Mate","Ballpoint Pens","8",NA,"L146 x W15 x H193",NA,NA,NA,NA,NA,0.93
"SBK","DES","431773","Pentel N850 Marker Blister 2pk","Pentel","Marker Pens","2","Black",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","432348","Pilot Frixion Ballpoint Pen 2pk","Pilot Pen","Ballpoint Pens","2","Black",NA,NA,NA,NA,NA,NA,0.88
"SBK","DES","1793440","Pritt stick 22g","Pritt","Glue",NA,NA,"20g",NA,NA,NA,NA,NA,0.825
"SBK","DES","289396","Pritt Stick Pink 20g","Pritt","Glue",NA,"Pink","20g",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","318206","Pritt Stick Xtreme Green 20g","Pritt","Glue","1","Green","20g",NA,NA,NA,NA,NA,0.941666666666667
"SBK","DES","349421","Pritt Rainbow Stick 20g","Pritt","Glue",NA,NA,"20g",NA,NA,NA,NA,NA,0.825
"SBK","DES","349423","Pritt Permanent Glue Dots","Pritt","Glue Dots","1",NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","DES","404467","Pritt Stick 11g","Pritt","Glue",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"SBK","DES","431861","Scotch Magic Tape 3 Refill Roll 19mm x 25m","Scotch","Adhesive Tape and dispensers","3",NA,"L:0.1370m W0.0880m H:0.0550m",NA,NA,NA,NA,NA,0.833333333333333
"SBK","DES","431863","Scotch Magic Tapecarded Disp Roll 81925D","Scotch","Adhesive Tape and dispensers","1",NA,"L:0.1000m  W:0.0250m    H:0.1200m",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","431865","Scotch Tape Disp Fuschia 1 Roll Magic","Scotch","Adhesive Tape and dispensers","1","Pink","L:0.0600m  W:0.1580m   H:0.0690",NA,NA,NA,NA,NA,0.941666666666667
"SBK","DES","200616","Sellotape Original 18mm x 25m","Sellotape","Adhesive Tape and dispensers","1",NA,"18mmx25M",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","210686","Sellotape Original","Sellotape","Adhesive Tape and dispensers","1","Clear","24mmx50m",NA,NA,NA,NA,NA,0.941666666666667
"SBK","DES","210689","Sellotape Sticky Fixers Permanent x 56","Sellotape","Adhesive Pads","56pk",NA,"12x25mm",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","299842","Sellotape Double Sided 15mmx5m","Sellotape","Adhesive Tape and dispensers","1",NA,"15mmx5m",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","299843","Sellotape Super Clear","Sellotape","Adhesive Tape and dispensers","1","Clear","24mmx50m",NA,NA,NA,NA,NA,0.941666666666667
"SBK","DES","349427","Hook And Loop Strip 450mm","Sellotape","Hook and Loop Tape",NA,NA,"450mm",NA,NA,NA,NA,NA,0.775
"SBK","DES","422575","Sellotac Original 45g","Sellotape","Adhesive Tac","1",NA,"45g",NA,NA,NA,NA,NA,0.833333333333333
"SBK","DES","261570","Sharpie Mini Fine Point Marker Assorted Colours","Sharpie","Marker Pens",NA,"Multi",NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","349392","Sharpie Permanent Marker Metallic 3pk","Sharpie","Marker Pens","3pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","417140","Sharpie Fine Permanent Marker Black 2pk","Sharpie","Marker Pens","2",NA,"L7.6 x W2.1 x H0.7",NA,NA,NA,NA,NA,0.93
"SBK","DES","423844","Sharpie Fine Markers Asstd Colours 12pk","Sharpie","Marker Pens","12",NA,"H 13.7cm, W 1.4cm",NA,NA,NA,NA,NA,0.93
"SBK","DES","203232","STABILO Times Table Pencils 4pk","Stabilo","Pencils","4pk",NA,"HB",NA,NA,NA,NA,NA,0.93
"SBK","DES","302885","STABILO Boss Highlighters 4pk","Stabilo","Highlighters","4pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","349413","STABILO Highlighters Neon 4pk","Stabilo","Highlighters","4pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","349415","STABILO point 88 Fineliners in Zebrui Case20pk","Stabilo","Fineliners","20pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","416989","STABILO EASYoriginal Refillable Handwriting RollerBall Pen","Stabilo","Rollerball Pens",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","416991","STABILO EASYoriginal - right handed rollerball","Stabilo","Rollerball Pens",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","417004","STABILO Pen 68 Felt Tips 10pk","Stabilo","Colouring Pens, Pencils and Crayons",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","230107","Staedtler Pencils 5pk","Staedtler","Pencils","5",NA,"5 pack",NA,NA,NA,NA,NA,0.93
"SBK","DES","261179","Staedtler Pencil HB 5pk","Staedtler","Pencils","5pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","302656","Staedtler Noris Eraser x 2","Staedtler","Erasers","2pk",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","DES","349402","Staedtler Sharpener","Staedtler","Pencil Sharpeners","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","DES","414619","Staedtler Ball 432 10pk","Staedtler","Ballpoint Pens",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","DES","432245","Staedtler Whiteboard Markers Lumocolour 4pk","Staedtler","Marker Pens","4","Clear",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","130909","Bic Tipp Ex Rapid Drying Correction Fluid 20ml","Tipp-Ex","Correction","1","White","20ml",NA,NA,NA,NA,NA,0.891666666666667
"SBK","DES","173263","Bic Tipp Ex Shake and Squeeze Correction Pen1pk","Tipp-Ex","Correction",NA,"White","8ml",NA,NA,NA,NA,NA,0.833333333333333
"SBK","DES","262477","Bic Tipp Ex Correction Tape Pocket Mouse 1pk","Tipp-Ex","Correction","1","Blue","4.2mmx10m",NA,NA,NA,NA,NA,0.891666666666667
"SBK","DES","261234","Uni-Ball Ink Marker","Uni-ball","Marker Pens",NA,"Black","0.9mm",NA,NA,NA,NA,NA,0.93
"SBK","DES","303297","uni-ball Signo Gelstick - Red Rollerball Pen","Uni-ball","Gel Pens","1","Red",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","349405","uni-ball Eye Designer - Black Rollerball Pen","Uni-ball","Rollerball Pens","1","Black",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","349406","uni-ball Eye Designer - Blue Rollerball Pen","Uni-ball","Rollerball Pens","1","Blue",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","349407","uni-ball Eye Designer - Red Rollerball Pen","Uni-ball","Rollerball Pens","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","349408","uni-ball Eye Designer - Green Rollerball Pen","Uni-ball","Rollerball Pens","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","349409","uni-ball Eye Designer - Violet Rollerball Pen","Uni-ball","Rollerball Pens","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","417845","uni-ball Gel 307RT Rollerball Black 2pk","Uni-ball","Rollerball Pens","2",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","417848","Uni-Ball TSI Erasable Gel Pens Assorted 3pk","Uni-ball","Gel Pens","6",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","109081","Wilko Adhesive Tape Clear 19mmx33m x 4","Wilko","Adhesive Tape and dispensers","4pk",NA,"19x33m",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","155637","Wilko Heavy Duty Tape Dispenser","Wilko","Adhesive Tape and dispensers",NA,"Black","21.5x8.2x10.5cm",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","172255","Wilko Sticky Notes Neon 400 Sheets 50 x 50mm","Wilko","Sticky Notes",NA,"Multi","50x50cm",NA,NA,NA,NA,NA,0.93
"SBK","DES","1794044","Wilko Adhesive Tape Clear 25mm x 60m","Wilko","Adhesive Tape and dispensers","1",NA,"25mmx60m",NA,NA,NA,NA,NA,0.833333333333333
"SBK","DES","247078","Wilko RightPrice Tape with Dispenser Clear 19mm x20m x 8","Wilko","Adhesive Tape and dispensers","9pk",NA,"19x20m",NA,NA,NA,NA,NA,0.883333333333333
"SBK","DES","260312","Wilko Wooden Pencils HB 10pk","Wilko","Pencils","10pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","DES","260315","Wilko Mechanical Pencils Assorted Colours 10pk","Wilko","Pencils","10pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260326","Wilko Chunky Highlighters 4pk","Wilko","Highlighters","4pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260327","Wilko Slim Highlights 4pk","Wilko","Highlighters","4pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260395","Wilko Marker Chunky Permanent Black 4pk","Wilko","Marker Pens","4pk","Black",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260396","Wilko Permanent Marker Black","Wilko","Marker Pens","1","Black",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260398","Wilko Chunky Permanent Marker Mix 4pk","Wilko","Marker Pens","4pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260403","Wilko Dry Wipe Slim Mixed Colours 4pk","Wilko","Marker Pens","4pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260404","Wilko Pen Dry Eraser Chunky Assorted 4pk","Wilko","Marker Pens","4pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260511","Wilko Ball Point Pen with 4 Colours","Wilko","Ballpoint Pens","4pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260517","Wilko Gel Pens Fine Black 5pk","Wilko","Gel Pens","5pk",NA,"Fine",NA,NA,NA,NA,NA,0.93
"SBK","DES","260525","Wilko Fineliner Pen Black 5pk","Wilko","Fineliners","5pk","Black",NA,NA,NA,NA,NA,NA,0.93
"SBK","DES","260550","Wilko Mechanical Pencil Refil","Wilko","Pencils","2pk",NA,"0.7mm",NA,NA,NA,NA,NA,0.93
"SBK","DES","260573","Pen Retractable Fine Black","Wilko","Ballpoint Pens","1","Black",NA,NA,NA,NA,NA,NA,0.88
