"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Colour","Size","Power","Age","Model Number","Material","Assembly","DQ Score"
"SBK","ADU","417621","Dovecraft Essentials Photo Frames 10pk","Dovecraft","Craft Paper and Card","10",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","417622","Dovecraft Essentials Photo Corners 24pk","Dovecraft","Photo Corners","24",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438505","Dovecraft Back to Basics Bright Spark Cardsand Envelopes 10pk","Dovecraft","Cards & Envelopes","12",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438506","Dovecraft Back to Basics Bright Spark Frames 8pk","Dovecraft","Craft Accessories","8",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438507","Dovecraft Back to Basics Bright Spark Designer Paper 6 x 6in 150gsm Assorted Designs 72 Sheets","Dovecraft","Craft Accessories","72",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438508","Dovecraft Back to Basics Bright Spark Mini Satin Bows 20pk","Dovecraft","Craft Accessories","20",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438509","Dovecraft Back to Basics Bright Spark Buttons 60pk","Dovecraft","Craft Accessories","60",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438510","Dovecraft Back to Basics Bright Spark Sentiment Toppers 8pk","Dovecraft","Craft Accessories","8",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438511","Dovecraft Back to Basics Bright Spark WoodenFrames 8pk","Dovecraft","Craft Accessories","8",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438512","Dovecraft Sweet Paris Designer Paper 6 x 6in 150gsm Assorted Designs 72 Sheets","Dovecraft","Craft Accessories","72",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438513","Dovecraft Sweet Paris Accordion Stickers 8pk","Dovecraft","Craft Accessories","8",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438514","Dovecraft Sweet Paris Clear Stamps 3pk","Dovecraft","Craft Accessories","3",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438516","Dovecraft Sweet Paris Metal Charms 8pk","Dovecraft","Craft Accessories","6",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438518","Dovecraft Sweet Paris Chipboard Tags 16pk","Dovecraft","Craft Accessories","16",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438519","Dovecraft Precision Finger Craft Knife","Dovecraft","Craft Knife","1",NA,"10cm high x 3.3cm wide",NA,NA,NA,NA,NA,0.93
"SBK","ADU","438522","Dovecraft Sweet Paris Ribbon Assorted Designs 2m","Dovecraft","Craft Accessories","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438530","Dovecraft Baby Ribbon Assorted Designs 2m","Dovecraft","Craft Accessories","1",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438531","Dovecraft Back to Basics Monochrome Premium Gemstones Assorted Designs","Dovecraft","Craft Accessories","117",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438532","Dovecraft Back to Basics Premium Gemstones Assorted Designs","Dovecraft","Craft Accessories","117",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","438533","Dovecraft Cupcake Boutique Adhesive Gems and Pearls Assorted Designs","Dovecraft","Craft Accessories","172",NA,NA,NA,NA,NA,NA,NA,0.9125
"SBK","ADU","301012","Reeves Scraperfoil Silver","Reeves","Scraperfoils",NA,"Silver",NA,NA,"8 Years",NA,NA,NA,0.93
"SBK","ADU","317373","Reeves Sketching Pencils Artist Grades 12pk","Reeves","Sketch Pencils","12pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","331511","Reeves Flower Palette White","Reeves","Paint Pots and Palettes","1",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","350821","Reeves Acrylic Paint Starter Set 10pcs","Reeves","Paints and Paint Brushes",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","ADU","415373","Reeves Watercolour Starter Set 10pcs","Reeves","Paints and Paint Brushes","6",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","300142","Wilko Let's Create Acrylic Paints Assorted Colours12pk 12ml","Wilko","Paints and Paint Brushes","12pk","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","300151","Wilko Canvasses Assorted Sizes 3pk","Wilko","Easels and Canvases","3pk","White",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","317322","Wilko Let's Create Watercolour Paint Tablets withBrush","Wilko","Paints and Paint Brushes","13pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","317369","Wilko Wooden Mannequin 8in","Wilko","Craft Kits","1","Wood",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","319538","Wilko Let's Create Metallic Paint Copper 75ml","Wilko","Paints and Paint Brushes",NA,"Metal","75ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","319540","Wilko Let's Create Metallic Paint Silver 75ml","Wilko","Paints and Paint Brushes",NA,"Silver","75ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","339086","Wilko Let's Create Artist's Brushes Assorted Styles 12pk","Wilko","Paints and Paint Brushes","12pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","339087","Wilko Let's Create Artist's Brushes Assorted Styles 25pk","Wilko","Paints and Paint Brushes","25pk",NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","415355","Wilko Let's Create Acrylic Paint White 200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415356","Wilko Let's Create Acrylic Paint Black 200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415357","Wilko Let's Create Acrylic Paint Burnt Umber 200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415358","Wilko Let's Create Acrylic Paint Ultramarine Blue200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415359","Wilko Let's Create Acrylic Paint Lemon Yellow 200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415360","Wilko Let's Create Acrylic Paint Cadmium Red 200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415362","Wilko Let's Create Acrylic Paint Cerulean Blue200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415363","Wilko Let's Create Acrylic Paint Crimson Red 200ml","Wilko","Paints and Paint Brushes","1",NA,"200ml",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415365","Wilko Let's Create Acrylic Paint Burnt Sienna 200ml","Wilko","Paints and Paint Brushes","1",NA,"42x30x19.5(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415366","Wilko Let's Create Acrylic Paint Viridian 200ml","Wilko","Paints and Paint Brushes","1",NA,"42x30x19.5(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415367","Wilko Let's Create Acrylic Paint Rose 200ml","Wilko","Paints and Paint Brushes","1",NA,"42x30x19.5(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415369","Wilko Let's Create Oil Paints 12 x 12ml","Wilko","Paints and Paint Brushes","12",NA,"55x25x21(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415370","Wilko Sketching Pencils in Case Assorted Grades 8pk","Wilko","Sketch Pencils","8",NA,"38.5x23x30(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415371","Wilko Let's Create Watercolour Pencils in Case Assorted Colours 12pk","Wilko","Water Colour Pencils","12",NA,"28x23x20(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415372","Wilko Let's Create Palette Knives 3pk","Wilko","Palette Knives ","3",NA,"26x31.5x32(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415374","Wilko Let's Create Shading Pastels Assorted Tones12pk","Wilko","Chalks and Pastels","12",NA,"57.5x35x14(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415375","Wilko Let's Create Soft Touch Detailers 4pk","Wilko","Paints and Paint Brushes","1",NA,"46x25.5x25(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415376","Wilko Let's Create Charcoal and Sketch Set","Wilko","Charcoal And Sketch Set",NA,NA,"50x28x17(cm)",NA,NA,NA,NA,NA,0.86
