"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"SBK","ADH","300391","Post Office PostPak Bubble Envelope Size 5 345 x 260mm","Royal Mail",0.88
"SBK","ADH","300392","Post Office PostPak Mailing Box Small Parcel","Royal Mail",0.95
"SBK","ADH","300393","Post Office PostPak Envelope Size 1 245 x 170mm","Royal Mail",0.95
"SBK","ADH","300394","Post Office PostPak Book Box Large","Royal Mail",0.88
"SBK","ADH","431753","Post Office PostPak Bubble Envelopes Size 0 3pk 195 x 140mm","Royal Mail",0.83
"SBK","ADH","431754","Post Office PostPak Bubble Envelopes Size 1 3pk 245 x 170mm","Royal Mail",0.76
"SBK","ADH","431756","Post Office PostPak Bubble Envelopes Size 5 3pk 345 x 260mm","Royal Mail",0.76
"SBK","ADH","431758","Post Office Polythene Envelopes 5pk Assorted Sizes","Royal Mail",0.76
"SBK","ADH","261527","Wilko Peel & Seal Envelopes Manilla 50pk89 x 152mm","Wilko Functional",0.95
"SBK","ADH","261528","Wilko Gummed Envelopes White 50pk110 x 220mm","Wilko Functional",0.95
"SBK","BOM","346677","Disney Character Carry Pack Activity Book Assorted","Copywrite Designs",0.6
"SBK","BOM","411375","Sticker Pads Assorted","Copywrite Designs",0.6
"SBK","BOM","411376","Busy Pack Assorted","Copywrite Designs",0.6
"SBK","BOM","405985","Marvel Avengers Assemble 1000 Sticker Book","Disney",0.6
"SBK","BOM","431046","Homework Helpers Key Stage 1 First Maths and Phonics Ages 5-7 Years Assorted","Help With Homework",0.95
"SBK","BOM","336067","Fairy Sticker and Activity Fun Book","Igloo",0.6
"SBK","BOM","346786","Assorted Sticker and Activity Book","Igloo",0.6
"SBK","BOM","346791","Sticker Scenes Fun Activity Book Assorted","Igloo",0.6
"SBK","BOM","408583","My First Sticker Fun and Activity Book Assorted","Igloo",0.6
"SBK","BOM","411697","Joke Tastic Assorted","Igloo",0.6
"SBK","BOM","411713","Tiny Tots Flash Cards ABC and 123 Assorted","Igloo",0.833333333333333
"SBK","BOM","431342","Tiny Tots Easel First Learning ABC and 123 Assorted","Igloo",0.95
"SBK","BOM","457304","Concertina Adult Colouring Book Assorted","Igloo",0.6
"SBK","BOM","457305","Creative Colour Me In Greeting Cards Assorted","Igloo",0.6
"SBK","BOM","296539","Disney Character Carry Along Colouring Set Assorted","Other",0.6
"SBK","BOM","296542","Character Carry Along Colouring Set Assorted","Other",0.6
"SBK","BOM","457350","Colour By Numbers Masterpieces","Parragon",0.6
"SBK","BOM","457351","Dot To Dot Famous Places","Parragon",0.6
"SBK","BOM","457352","Insipred Adult Colouring Books Assorted","Parragon",0.6
"SBK","COM","413883","Groov-e Bumper Case for Phone 6","Groove",0.6
"SBK","COM","413885","Groov-e Bumper Case for Phone 6 Plus","Groove",0.6
"SBK","COM","348828","Intergral Noir USB 3.0 Flash Drive Black 16GB","Integral",0.6
"SBK","COM","349261","Tablet Case Universal Neoprene 7in","Rashmian",0.6
"SBK","COM","349274","USB Light","Texet",0.6
"SBK","COM","420888","USB Car Charger 2A","Texet",0.775
"SBK","COM","428231","Urban Revolt Waterproof Wireless Speaker","Trust",0.841666666666667
"SBK","COM","428804","Phone Case iPhone 6 Hard Shell Crystal","Wilko",0.6
"SBK","COM","428805","Phone Case iPhone 6 Rugged Case Assorted","Wilko",0.6
"SBK","COM","428807","Phone Case iPhone 6 Hard-Shell Crystal","Wilko",0.6
"SBK","COM","428810","Bumper Case For iPhone 5","Wilko",0.6
"SBK","COM","428811","Phone Case iPhone 5 Rugged Case","Wilko",0.6
"SBK","COM","428812","Phone Case Flip Black S5","Wilko",0.6
"SBK","COM","428813","Phone Case Flip Black Samsung Edge","Wilko",0.6
"SBK","COM","428814","Bumper Case For Samsung S6","Wilko",0.6
"SBK","COM","428815","9H Tempered Glass Case 7 Inch Tablet","Wilko",0.6
"SBK","COM","428816","9H Tempered Glass Case 10 Inch Tablet","Wilko",0.6
"SBK","COM","428817","Rugged Tablet Case 7in","Wilko",0.6
"SBK","COM","428818","Rugged Tablet Case 10 Inch","Wilko",0.6
"SBK","COM","428819","PU Leather Folio Tablet Case Black 7in","Wilko",0.6
"SBK","COM","428846","Micro Docking Station","Wilko",0.833333333333333
"SBK","DES","416879","Tippex Mini Shake N Squeeze Pen","Bic",0.775
"SBK","DES","434320","Ergo Soft 2 Hole Canister Pencil Sharpener","Helix",0.95
"SBK","DES","434321","Ergo Grip Sharpener & Eraser Pack","Helix",0.95
"SBK","DES","337241","Sellotape Super Clear And Dispenser","Henkel",0.775
"SBK","DES","78274","Pritt Stick 43g","Henkel",0.833333333333333
"SBK","DES","417409","Kidz Universal Holder Compass","Maped",0.95
"SBK","DES","417412","Moondo Pencil Sharpener and Eraser","Maped",0.95
"SBK","DES","417413","Boogy 1 Hole Pencil Sharpener","Maped",0.95
"SBK","DES","417416","Technic Wings Eraser","Maped",0.95
"SBK","DES","417417","Croc Croc 1 Hole Pencil Sharpener","Maped",0.95
"SBK","DES","417423","Study Compass And Universal Holder","Maped",0.775
"SBK","DES","261573","Papermate Mechanical Pencil 4pk","Paper Mate",0.88
"SBK","DES","432348","Pilot Frixion Ballpoint Pen 2pk","Pilot Pen",0.88
"SBK","DES","432356","Pilot V Pen Fountain Pen Medium Black","Pilot Pen",0.95
"SBK","DES","432358","Pilot Frixon Light Highlighters Pink and Yellow2pk","Pilot Pen",0.95
"SBK","DES","432366","Pilot Rollerball Pen 0.7 Black 2pk","Pilot Pen",0.95
"SBK","DES","432375","Pilot Frixon Erasable Rollerball Pen Black","Pilot Pen",0.95
"SBK","DES","431850","Post-It Super Sticky Lined Neon Pad 75 Notes","Post It",0.95
"SBK","DES","431856","Post-It Super Sticky Heart Shapes","Post It",0.95
"SBK","DES","431858","Post-It Colour Mini Pack 3 x 100 Sheet Pads","Post It",0.95
"SBK","DES","431876","Post-It Super Sticky Flowpack 75 Notes","Post It",0.95
"SBK","DES","349427","Hook And Loop Strip 450mm","Sellotape",0.775
"SBK","DES","422575","Sellotac Original 45g","Sellotape",0.833333333333333
"SBK","DES","130909","Bic Tipp Ex Rapid Drying Correction Fluid 20ml","Tipp-Ex",0.891666666666667
"SBK","DES","173263","Bic Tipp Ex Shake and Squeeze Correction Pen1pk","Tipp-Ex",0.833333333333333
"SBK","DES","262477","Bic Tipp Ex Correction Tape Pocket Mouse 1pk","Tipp-Ex",0.891666666666667
"SBK","DES","432427","Sxn 150C Jetstream Sport Purple","Uni-ball",0.95
