"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","DQ Score"
"416645","Beaphar Cat Flea Care Collar Assorted SparkleDesigns","Beaphar","Flea Collar","1","From 12 weeks","Multi",1
"248796","Bob Martin Spot On Dewormer 2 x 20mg","Bob Martin","Flea and Worming Control","2","20mg",NA,1
"428891","Bob Martin Clear Home Flea and Tick Spray 300ml","Bob Martin","Flea and Worming Control","1","300ml",NA,1
"243635","Butchers Classic Tinned Cat Food Chicken BeefGame in Jelly 6 x 400g","Butchers","Adult Tins 1+ Years","6pk","6x400g",NA,1
"252472","Butchers Classic Tinned Cat Food Haddock TroutOcean Fish in Jelly 6 x 400g","Butchers","Adult Tins 1+ Years","6pk","6x400g",NA,1
"286523","Dreamies Cat Treats Beef 60g","Dreamies","Biscuit Treats","1","60g",NA,1
"286524","Dreamies Cat Treats Cheese 60g","Dreamies","Biscuit Treats","1","60g",NA,1
"412797","Dreamies Cat Treats Beef and Cheese Mix 60g","Dreamies","Biscuit Treats","1","60g",NA,1
"437718","Dreamies Cat Treats Cheese Mega Pack 180g","Dreamies","Biscuit Treats","180g","180g",NA,1
"440893","Dreamies Cat Treats Snacky Mouse 60g","Dreamies","Treat Toys","1","60g",NA,1
"449951","Dreamies Cat Treats Extra Crunch with Chicken 60g","Dreamies","Biscuit Treats","1","60g",NA,1
"449952","Dreamies Cat Treats Extra Crunch with Salmon 60g","Dreamies","Biscuit Treats","1","60g",NA,1
"449953","Dreamies Cat Treats Extra Crunch with Cheese 60g","Dreamies","Biscuit Treats","1","60g",NA,1
"457336","Dreamies Deli-Catz Treats With Turkey 5x5g","Dreamies","Biscuit Treats","5","5x5g",NA,1
"457337","Dreamies Deli-Catz Treats With Chicken 5x5g","Dreamies","Biscuit Treats","5","5x5g",NA,1
"457338","Dreamies Deli-Catz Treats With Beef 5x5g","Dreamies","Biscuit Treats","5","5x5g",NA,1
"192898","Felix Pouch Cat Food Mixed Selection in Jelly12 x 100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"223035","Felix Pouch Cat Food Succulent Steaks in Jelly 12x 100g","Felix","Adult Pouches 1+ Years","12","12x100g",NA,1
"243545","Felix Pouch Cat Food Fish Selection in Jelly 12 x100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"243546","Felix Pouch Cat Food Gravy Selection in Gravy12 x 100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"243693","Felix As Good As It Looks Pouch Cat Food OceanFeast in Jelly 12 x 100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"248322","Felix Pouch Cat Food Assorted Meat Selection 12 x100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"252527","Felix Pouch Cat Food Chicken Turkey Poultry andDuck in Jelly 12 x 100g","Felix","Adult Pouches 1+ Years","1","12x100g",NA,1
"260556","Felix As Good As It Looks Pouch Cat FoodFavourites in Jelly 12 x 100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"278055","Felix Pouch Cat Food Tuna in Jelly 100g","Felix","Adult Pouches 1+ Years","1","100g",NA,1
"286519","Felix Pouch Cat Food Fish and Meat 12 x 100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"292507","Felix As Good As It Looks Senior Cat Food Pouchesin Jelly 12 x 100g","Felix","Senior Food 7+ Years","12","12x100g",NA,1
"292512","Felix Pouch Senior Cat Food Mixed Selection 12 x100g","Felix","Senior Food 7+ Years","12","12x100g",NA,1
"314550","Felix As Good As It Looks Pouch Cat Food FishSelection in Jelly Senior for Adult Cats 12 x 100g","Felix","Senior Food 7+ Years","12pk","12x100g",NA,1
"315455","Felix Cat Treats Goody Bag Original Mix 60g","Felix","Biscuit Treats","1","60g",NA,1
"315457","Felix Cat Treats Goody Bag Seaside Mix 60g","Felix","Biscuit Treats","1","60g",NA,1
"316264","Felix As Good As It Looks Pouch Cat Food Meat inJelly 12 x 100g","Felix","Adult Pouches 1+ Years","12","12x100g",NA,1
"316265","Felix As Good As It Looks Pouch Cat Food Fish inJelly  12 x 100g","Felix","Adult Pouches 1+ Years","12","12x100g",NA,1
"401014","FELIX Mixed Selection in Jelly 40x100g","Felix","Adult Pouches 1+ Years","40","40x100g",NA,1
"412187","Felix As Good As It Looks Pouch Cat Food ChickenDuck Pork in Jelly 12 x 100g","Felix","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"412931","Felix As Good As It Looks Pouch Cat Food OceanChunks in Jelly 12 x 100g","Felix","Adult Pouches 1+ Years","12","12x100g",NA,1
"431383","FELIX AGAIL Mixed Selection in Jelly 40x100g","Felix","Adult Pouches 1+ Years","40","40x100g",NA,1
"255906","Gourmet Gold Tinned Cat Food Pate with Ocean Fish85g","Gourmet","Adult Tins 1+ Years","1","85g",NA,1
"267168","Gourmet Gold Tinned Cat Food Chicken Liver 85g","Gourmet","Adult Tins 1+ Years","1","85g",NA,1
"314569","Gourmet Perle Pouch Cat Food Chefs CollectionMini Fillets in Gravy 12 x 85g","Gourmet","Adult Pouches 1+ Years","12","85g",NA,1
"314570","Gourmet Perle Ocean Delicacies Mini Fillets inGravy 12 x 85g","Gourmet","Adult Pouches 1+ Years","1","85g",NA,1
"314571","Gourmet Perle Pouch Cat Food Chefs CollectionMini Fillets in Gravy 12 x 85g","Gourmet","Adult Pouches 1+ Years","12","85g",NA,1
"336165","Gourmet Gold Adult Tinned Cat FoodDouble Delicacies 12 x 85g","Gourmet","Adult Pouches 1+ Years","12","12x85g",NA,1
"336166","Gourmet Gold Adult Tinned Cat Food Pate RecipesFish Liver Turkey and Beef 12 x 85g","Gourmet","Adult Pouches 1+ Years","12","12x85g",NA,1
"405692","Gourmet Mon Petit Pouch Cat Food Poultry Mix 6 x50g","Gourmet","Adult Foil Trays 1+ Years","6","6x50g",NA,1
"405693","Gourmet Mon Petit Pouch Cat Food Salmon in Gravy 6x 50g","Gourmet","Adult Pouches 1+ Years","6","6 x 50g",NA,1
"405694","Gourmet Mon Petit Pouch Cat Food Lamb in Gravy6 x 50g","Gourmet","Adult Pouches 1+ Years","6","6 x 50g",NA,1
"411013","Gourmet Perle Pouch Cat Food Meats Duo 12 x 85g","Gourmet","Adult Pouches 1+ Years","12","12x85g",NA,1
"413530","Gourmet Gold Cat Food Gravy Collection Multipack12 x 85g","Gourmet","Adult Pouches 1+ Years","12","12x85g",NA,1
"431385","Gourmet Perle  Pouch Cat Food Country 12 x 85g","Gourmet","Adult Pouches 1+ Years","12","85g",NA,1
"436236","Gourmet Mon Petit Pouch Cat Food Beef and Chicken6 x 50g","Gourmet","Adult Pouches 1+ Years","6","6x50g",NA,1
"436237","Gourmet Mon Petit Pouch Cat FoodFish Menu  6 x 50g","Gourmet","Adult Pouches 1+ Years","6","6x50g",NA,1
"302164","Iams Dry Adult Cat Food Fish and Chicken 800g","Iams","Bagged Food","1","800g",NA,1
"428286","Iams Delights Pouch Cat Food Land and Sea inJelly 12 x 85g","Iams","Adult Pouches 1+ Years","12","85g",NA,1
"428288","Iams Delights Pouch Cat Food Land and Sea in Gravy12 x 85g","Iams","Adult Pouches 1+ Years","12","85g",NA,1
"430346","Iams Pouch Cat Food Chicken for Senior Cats 700g","Iams","Senior Food 7+ Years","1","700g",NA,1
"454759","Perfect Fit Comp Dry Adult Chicken 750g","Perfect Fit","Bagged Food","1","750g",NA,1
"454760","Perfect Fit Comp Dry Adult Salmon 750g","Perfect Fit","Bagged Food","1","750g",NA,1
"454765","Perfect Fit Complete Dry Cat Food Senior 7+Chicken 750g","Perfect Fit","Senior Food 7+ Years","1","750g",NA,1
"454766","Perfect Fit Complete Dry Cat Food Sensitive 1+Turkey 750g","Perfect Fit","Bagged Food","1","750g",NA,1
"284784","Purina One Adult Dry Cat Food Chicken and WholeGrains 800g","Purina One","Bagged Food","1","800g",NA,1
"284792","Purina One Adult Dry Cat Food Salmon and WholeGrains 800g","Purina One","Bagged Food","1","800g",NA,1
"330121","Purina One Dry Cat Food Turkey and Rice forSensitive Digestion 800g","Purina One","Bagged Food","1","800g",NA,1
"431387","Purina One Dry Senior Cat Food Chicken andWholegrain 800g","Purina One","Senior Food 7+ Years","1","800g",NA,1
"252564","Sheba Alutray Cat Food Salmon Chunks in Jelly 85g","Sheba","Adult Foil Trays 1+ Years","1","85g",NA,1
"252565","Sheba Alutray Cat Food Chicken Slices in Gravy 85g","Sheba","Adult Foil Trays 1+ Years","1","85g",NA,1
"252566","Sheba Pouch Cat Food Turkey and Chicken inTerrine 100g","Sheba","Adult Foil Trays 1+ Years","1","85g",NA,1
"314520","Sheba Fine Flakes Pouch Cat Food Sea Food inJelly 12 x 85g","Sheba","Adult Pouches 1+ Years","12","85g",NA,1
"314521","Sheba Fine Flakes Pouch Cat Food PoultrySelection in Jelly 12 x 85g","Sheba","Adult Pouches 1+ Years","1","12x85g",NA,1
"333169","Sheba Fresh Pouch Cat Food Poultry Selection inGravy 6 x 50g","Sheba","Adult Pouches 1+ Years","6pk","6x50g",NA,1
"333170","Sheba Fresh Pouch Cat Food Fish Selection inGravy 6 x 50g","Sheba","Adult Pouches 1+ Years","6pk","6x50g",NA,1
"333953","Sheba Alutray Cat Food Turkey in White Sauce 85g","Sheba","Adult Foil Trays 1+ Years","1","85g",NA,1
"405680","Sheba Fresh Pouch Cat Food Fish Selection inJelly 6 x 50g","Sheba","Adult Pouches 1+ Years","6","6x50g",NA,1
"430182","Sheba Pouch Cat Food Poultry Selection in Gravy12 x 50g","Sheba","Adult Pouches 1+ Years","12","12x150g",NA,1
"438767","Sheba Fresh Pouch Cat Food Succulent Selectionin Gravy 6 x 50g","Sheba","Adult Pouches 1+ Years","6","6x50g",NA,1
"438768","Sheba Soup Pouch Cat Food Tuna Fillets 4 x 40g","Sheba","Soups","4","4x40g",NA,1
"438769","Sheba Classics Soup with Chicken Fillets 4 x 40g","Sheba","Soups","4","4x40g",NA,1
"259866","Webbox Cats Delight Cat Treats Tasty Stickssalmon and Trout 6pk","Webbox","Chews","1","30g",NA,1
"303791","Webbox Cats Delight Cat Treats Tasty SticksTurkey and Lamb 6pk","Webbox","Chews","6pk","30g",NA,1
"315453","Webbox Cats Delight Cat Treats Lick-e-Lix Chicken5 x 15g","Webbox","Cat Yoghurt","5","15g",NA,1
"411303","Webbox Cats Delight Cat Treat Lick-e-LixSalmon 5 x 15g","Webbox","Cat Yoghurt","5","5x15g",NA,1
"189431","Whiskas Pouch Cat Food Fish and Meat Selection inJelly 12 x 100g","Whiskas","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"218152","Whiskas Pouch Cat Food Fish Selection in Jelly 12x 100g","Whiskas","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"218391","Whiskas Pouch Cat Food Poultry Selection in Gravy12 x 100g","Whiskas","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"221221","Whiskas 1+ Cat Food Pouch Poultry Selectionin Jelly 12 x 100g","Whiskas","Adult Pouches 1+ Years","12pk","12x100g",NA,1
"232303","Whiskas Cat Treats Temptations Chicken and Cheese60g","Whiskas","Biscuit Treats","1","60g",NA,1
"264971","Whiskas Complete Dry Cat Food Chicken andVegetables 825g","Whiskas","Boxed Food","1","825g",NA,1
"264974","Whiskas Complete Dry Cat Food Tuna and Vegetables825g","Whiskas","Boxed Food","1","825g",NA,1
"264975","Whiskas Complete Dry Cat Food Chicken 340g","Whiskas","Boxed Food","1","340g",NA,1
"267131","Whiskas 7+ Cat Pouches Poultry Selection in Gravy12x100g","Whiskas","Senior Food 7+ Years","12pk","12x100g",NA,1
"292455","Whiskas Cat Treats Temptations Salmon 60g","Whiskas","Biscuit Treats","1","60g",NA,1
"292465","Whiskas Complete Dry Adult Cat Food DentalProtection Plus with Tuna 340g","Whiskas","Boxed Food","1","340g",NA,1
"405672","Whiskas 1+ Cat Food Pouch Poultry in Jelly40 x 100g","Whiskas","Adult Pouches 1+ Years","40pk","40x100g",NA,1
"405673","Whiskas Cat Treat Dentabites Chicken 50g","Whiskas","Dental Treats","1","50g",NA,1
"405674","Whiskas Cat Treat Dentabites Salmon 50g","Whiskas","Dental Treats","1","50g",NA,1
"405679","Whiskas 1+  Cat Food Pouch Fish Selection inJelly 40 X 100g","Whiskas","Adult Pouches 1+ Years","40","40x100g",NA,1
"412796","Whiskas Dry Senior With Chicken 825g","Whiskas","Senior Food 7+ Years","1","825g",NA,1
"431033","Whiskas Complete Dry Cat Food Chicken 2kg","Whiskas","Bagged Food","1","2kg",NA,1
"431584","Whiskas Cat Milk  3 x 200ml","Whiskas","Milk","3","3x200ml",NA,1
"434383","Whiskas Cat Treats Anti-Hairball 55g","Whiskas","Anti Hairball","1","55g",NA,1
"437597","Whiskas Pouch Cat Food Meat Selection in Jelly 12x 100g","Whiskas","Adult Pouches 1+ Years","12","12x100g",NA,1
"437599","Whiskas Senior Food Pouch Fish Selection in Jelly12 x 100g","Whiskas","Senior Food 7+ Years","12","12x100g",NA,1
"449955","Whiskas 1+ Cat Food Casserole Poultry Selection12 x 85g","Whiskas","Adult Pouches 1+ Years","12","85g x 12",NA,1
"449956","Whiskas 1+ Cat Food Casserole Fish Selection 85g 12 Pack","Whiskas","Adult Pouches 1+ Years","12","85g x 12",NA,1
"449957","Whiskas 1+ Cat Food Casserole Meaty Selection12 x 85g","Whiskas","Adult Pouches 1+ Years","12","85g x 12",NA,1
"450775","Whiskas 1+ Cat Food Casserole Fishy/MeatySelection 12 x 85g","Whiskas","Adult Pouches 1+ Years","12","12x85g",NA,1
