"Article","Web Description","Brand","Type","Power","Size","Model Number","DQ Score"
"427229","Wilko Adjustable Socket 5mm-15mm","Wilko","Socket",NA,NA,NA,0.79
"427230","Wilko Adjustable Socket 15mm-27mm","Wilko","Socket Set",NA,NA,NA,0.79
