"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"426891","Wilko Best Duvet Set Single Sateen Stripe White","Wilko Best","Single Duvet Cover",NA,"1","Wash at 40","135x200 cm","Cotton",0.95
"426892","Wilko Best Duvet Set Single Sateen Stripe Cream","Wilko Best","Single Duvet Cover",NA,"1","Wash at 40","135x200 cm","Cotton",0.95
