"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"191338","Wilko Church Candle Ivory 7x7.5cm","Wilko","Pillar Candle",NA,"7x7.5cm","No",NA,0.883333333333333
"257880","Wilko Church Candle Ivory 7 x 12.5cm","Wilko","Pillar Candle","Cream","7x12.5cm","No",NA,0.941666666666667
"275629","Wilko Pot Pourri Vanilla Pod","Wilko","Pot Pourri",NA,"Pack","No",NA,0.883333333333333
"290164","Wilko Unscented Tealights White 100pk","Wilko","Tealights","White","Bag of 100","No",NA,0.941666666666667
"290165","Wilko Maxi Unscented Tealights 15pk","Wilko","Tealights","White","Maxi","No",NA,0.941666666666667
"290166","Wilko Vanilla Tealights Scented 30pk","Wilko","Tealights",NA,"30 Pack","No",NA,0.883333333333333
"290171","Wilko Scented Pillar Candle Vanilla 7 x 14.5cm","Wilko","Pillar Candle","Cream","7x14.5cm","No",NA,0.941666666666667
"290184","Wilko Church Candle Ivory 7 x 20cm","Wilko","Pillar Candle","Cream","80x20cm","No",NA,0.941666666666667
"292913","Wilko Scented Pillar Candle Vanilla 6 x 9.5cm","Wilko","Pillar Candle",NA,"6x9.5m","No",NA,0.883333333333333
"327559","Wilko Hurricane Vase Clear","Wilko","Hurricane Vase","Clear","Single","No",NA,0.941666666666667
"336573","Wilko Heart Glass Lantern Frosted","Wilko","Candle Holders",NA,NA,"No","Gllass",0.883333333333333
"341150","Wilko Pot Pourri Fresh Cotton and Lily","Wilko","Pot Pourri","Blue",NA,"No",NA,0.883333333333333
"341194","Wilko Faux Mongolian Cushion Grey 43 x 43cm","Wilko","Mongolian Cushion","Grey","43x43cm","No",NA,0.941666666666667
"341252","Wilko Storm Lamp Mink","Wilko","Hurricane Vase","Clear",NA,"No",NA,0.883333333333333
"352239","Wilko Wooden Heart Frame","Wilko","Photo Frames",NA,NA,"No",NA,0.825
"406729","Wilko Rustic Letter Rack","Wilko","Home Accessories",NA,NA,"No",NA,0.825
"407367","Wilko Utility Hanging Wall Plaque","Wilko","Plaques",NA,NA,"No",NA,0.825
"407369","Wilko Glass Photo Frame","Wilko","Photo Frames",NA,NA,"No",NA,0.825
"407631","Wilko Wicker Heart String Lights White","Wilko","Decorative Lighting","White",NA,"No",NA,0.883333333333333
"409519","Wilko Jumbo Cushion Grey 55 x 55cm","Wilko","Plain Cushion","Grey",NA,"No",NA,0.883333333333333
"413614","Wilko Scented Glass Candle Vanilla Pod","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"413619","Wilko Scented Glass Candle Cotton Fresh","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"414851","Wilko Chenille Cushion Natural 43 x 43cm","Wilko","Plain Cushion",NA,"43x43cm","No",NA,0.883333333333333
"414853","Wilko Chenille Cushion Grey 43 x 43cm","Wilko","Faux Silk Cushion",NA,"43x43cm","No",NA,0.883333333333333
"416736","Wilko Chenille Cushion Charcoal 43 x 43cm","Wilko","Plain Cushion",NA,"43x43cm","No",NA,0.883333333333333
"418080","Wilko Standing Stag GoldSanctuary Range","Wilko","Ornaments",NA,NA,"No","Resin",0.883333333333333
"418555","Wilko Faux Mongolian Mink Cushion 43 x 43cm","Wilko","Mongolian Cushion","Brown","43x43cm","No",NA,0.941666666666667
"427049","Wilko Heart Shaped Tealight Holder Clear Glass","Wilko","Candles Holders",NA,NA,"No",NA,0.825
"427102","Wilko Candle Jar Cream Vanilla Pod55 Hours Burn Time","Wilko","Fragranced Candles",NA,"9.7 x 9.7 x 11.5cm","No",NA,0.883333333333333
"427108","Wilko Candle Square Glass Jar Cream Vanilla Pod30 Hours Burn Time","Wilko","Fragranced Candles",NA,"8 x 8 x 8cm","No",NA,0.883333333333333
"427133","Wilko Neutral Decorative Balls","Wilko","Decorative Accessories",NA,NA,"No",NA,0.825
"427137","Wilko Incense Burner Ceramic Owl White","Wilko","Insense Burner",NA,NA,"No",NA,0.825
"427155","Wilko Decorative Chalkboard","Wilko","Message Boards",NA,NA,"No",NA,0.825
"427157","Wilko Heart Clock","Wilko","Mantle Clocks",NA,NA,"No",NA,0.825
"427162","Wilko Slate Heart Candle Plate","Wilko","Candles Holders",NA,NA,"No",NA,0.825
"427166","Wilko Love You to The Moon Plaque","Wilko","Plaques",NA,NA,"No",NA,0.825
"427187","Wilko Concrete Effect Heart Shaped Candle","Wilko","Candles",NA,NA,"No",NA,0.825
"438281","Wilko Stag Head","Wilko","Ornaments",NA,"W: 27cm x D: 18cm x H: 40cm","No","Polyresin",0.941666666666667
"446550","Wilko Hearts Cushion 43x43cm","Wilko","Cushions","Multi","43 x 43cm","No",NA,0.941666666666667
"446551","Wilko Watercolour Floral Cushion 43x43cm","Wilko","Cushions","Multi","43 x 43cm","No",NA,0.941666666666667
"446571","Wilko Hearts Fleece Throw 125 x 150cm","Wilko","Throws","Multi","125 x 150cm","No",NA,0.941666666666667
"446577","Wilko Faux Silk Brown Stripe Cushion 43x43cm","Wilko","Cushions",NA,"43 x 43cm","No",NA,0.883333333333333
"446580","Wilko Weave Cushion Cream 43x43cm","Wilko","Cushions","Cream","43 x 43cm","No",NA,0.941666666666667
