"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"315032","Wilko Gloss Quick Dry Ultra Tough Varnish Medium Oak 250ml","Wilko","Gloss Varnish","3m²",NA,NA,"250ml",0.883333333333333
"315035","Wilko Satin Quick Dry Ultra Tough Varnish Beech 250ml","Wilko","Satin Varnish","3m²",NA,"1","250ml",0.941666666666667
"315049","Wilko Satin Quick Dry Ultra Tough Varnish Dark Oak250ml","Wilko","Satin Varnish","3m²",NA,NA,"250ml",0.883333333333333
"315053","Wilko Satin Quick Dry Ultra Tough Varnish AntiquePine 750ml","Wilko","Satin Varnish","9m²",NA,NA,"750ml",0.883333333333333
"315054","Wilko Satin Quick Dry Ultra Tough Varnish Beech 750ml","Wilko","Satin Varnish","9m²",NA,NA,"750ml",0.883333333333333
"315055","Wilko Satin Quick Dry Ultra Tough Varnish Dark Oak750ml","Wilko","Satin Varnish","9m²",NA,NA,"750ml",0.883333333333333
"315056","Wilko Satin Quick Dry Ultra Tough Varnish Mahogany750ml","Wilko","Satin Varnish","9m²",NA,NA,"750ml",0.883333333333333
"315057","Wilko Satin Quick Dry Ultra Tough Varnish Medium Oak 750ml","Wilko","Satin Varnish","9m²",NA,NA,"750ml",0.883333333333333
"315059","Wilko Satin Yacht Varnish Exterior Clear 250ml","Wilko","Satin Varnish","4m²",NA,NA,"250ml",0.883333333333333
"315093","Wilko Gloss 5 Year Woodstain Antique Pine 750ml","Wilko","Gloss Woodstain","9m²",NA,NA,"750ml",0.883333333333333
"315094","Wilko Gloss 5 Year Woodstain Medium Oak 750ml","Wilko","Gloss Woodstain","9m²",NA,NA,"750ml",0.883333333333333
"315096","Wilko Gloss 5 Year Woodstain Mahogany 750ml","Wilko","Gloss Woodstain","9m²",NA,NA,"750ml",0.883333333333333
"315097","Wilko Gloss 5 Year Woodstain Rustic Oak 750ml","Wilko","Gloss Woodstain","9m²",NA,NA,"750ml",0.883333333333333
"315098","Wilko Gloss 5 Year Woodstain Natural Teak 750ml","Wilko","Gloss Woodstain","9m²",NA,NA,"750ml",0.883333333333333
"315774","Wilko Traditional Wood Dye Interior Antique Pine 250ml","Wilko","Wood Dye","9.25m²",NA,NA,"250ml",0.883333333333333
"315775","Wilko Traditional Wood Dye Interior Georgian Medium Oak 250ml","Wilko","Wood Dye","9.25m²",NA,NA,"250ml",0.883333333333333
"315776","Wilko Traditional Wood Dye Interior Dark Mahogany250ml","Wilko","Wood Dye","9.25m²",NA,"1","250ml",0.941666666666667
"315907","Wilko Traditional Wood Dye Interior Indian Redwood250ml","Wilko","Wood Dye","9.25m²",NA,NA,"250ml",0.883333333333333
"315908","Wilko Traditional Wood Dye Interior Jacobean DarkOak 250ml","Wilko","Wood Dye","9.25m²",NA,"1","250ml",0.941666666666667
"60973","Wilko Linseed Oil 500ml","Wilko","Danish",NA,"Clear","1","500ml",0.941666666666667
"65151","Wilko Danish Oil 250ml","Wilko","Danish Oil","3.5m²",NA,NA,"250ml",0.883333333333333
