"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"447440","Viners Cutlery Set 16 Piece + 4 Steak Knives","Viners","Cutlery Sets","Silver","20 piece",1
"328600","Wilko Colourplay Cutlery Set Red 16 Piece","Wilko","Cutlery Sets","Red","16 Piece Set",1
"328607","Wilko Colourplay Cutlery Set Black 16 pcs","Wilko","Cutlery Sets","Black","16 Piece Set",1
"328611","Wilko Colourplay Cutlery Set Purple 16 Piece","Wilko","Cutlery Sets","Purple","16 Piece Set",1
"328805","Wilko Madison Cutlery Set 16 Piece","Wilko","Cutlery Sets","Silver","16 Piece Set",1
"328829","Wilko Lexington Cutlery Set 16 Piece","Wilko","Cutlery Sets","Silver","16 Piece Set",1
"328884","Wilko Como Cutlery Set 24 Piece","Wilko","Cutlery Sets","Silver","24 Piece Set",1
"447291","Wilko Serving Spoons 2 Piece","Wilko","Spoons","Silver","2 piece",1
"447295","Wilko Steak Knives 6 Pack","Wilko","Steak Knives","Silver","Handle W - 1.5cm, Blade W - 1.8cm, H - 22cm, 70gm",1
"447297","Wilko Hanging Cutlery 32 Piece","Wilko","Cutlery","Silver","teaspoon 13.7cm, spoon 19.4cm, fork 19.4cm, knife",1
"302949","Wilko Functional Knives Stainless Steel 6pk","Wilko Functional","Knife","Silver","6 Piece Set",1
