"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"333179","Cherry Blossom Odour Control Insole Pair One Size","Cherry Blossom","Insoles and Cushions","1","One Size",0.93
"333181","Cherry Blossom Heel Grips Pair","Cherry Blossom","Insoles and Cushions","1",NA,0.93
"246134","Cif Oven Cleaner 500ml","Cif","Oven Cleaner",NA,"500ml",0.9125
"251954","Cif Floor Cleaner Ocean 1L","Cif","Floor Cleaner",NA,"1L",0.9125
"406546","CIF Power and Shine Kitchen 700ml","Cif","Kitchen Cleaners","1",NA,0.9125
"406553","CIF Power and Shine Bathroom 700ml","Cif","Bath and Shower Cleaners","1",NA,0.9125
"59554","Cif Cream Lemon with Micro-Particles 500ml","Cif","Multi-Purpose Cleaner",NA,"500ml",0.9125
"275293","Croc Odor Fridge Diffuser Fragrance Free XL 140g","Croc Odor","Units",NA,"140g",0.9125
"49990","Dettol Liquid Antiseptic Disinfectant 500ml","Dettol","Disinfectants",NA,"500ml",0.9125
"233269","Domestos Sink and Pipe Unblocker 500ml","Domestos","Sink and Drain Unblockers",NA,"500ml",0.9125
"441979","Dr Beckmann Carpet Cleaner And Brush 650ml","Dr Beckmann","Carpet Cleaners and Fresheners","1",NA,0.9125
"213848","Flash Power Mop Cleaning Kit","Flash","Mops","1",NA,0.825
"278059","Flash Power Mop Multi-Layered Cleaning PadRefills 12pk","Flash","Mop Heads and Refills","1","2 Pack",0.883333333333333
"298343","Flash All Purpose Cleaner Liquid Blossom AndBreeze 1.3L","Flash","Multi-Purpose Cleaner",NA,"1.3L",0.9125
"316381","Flash Bathroom All Purpose Cleaner 1L","Flash","Bath and Shower Cleaners",NA,"1L",0.9125
"346495","Flash Extra Power Magic Eraser 2pk","Flash","Erasers","2pk",NA,0.86
"346497","Flash Magic Eraser Original 1pk","Flash","Erasers","1",NA,0.86
"414752","Flash with Fairy Kitchen Spray 450ml","Flash","Kitchen Cleaners","1",NA,0.9125
"450116","Flash Gel Blossom And Breeze 885ml","Flash","Multi-Purpose Cleaner",NA,NA,0.825
"450117","Flash Liquid With Bleach 1L","Flash","Multi-Purpose Cleaner",NA,NA,0.825
"450118","Flash Liquid Lavender 2.05L","Flash","Multi-Purpose Cleaner",NA,NA,0.825
"450120","Flash All Purpose Cleaner Spray Lemon 2.05L","Flash","Multi-Purpose Cleaner",NA,NA,0.825
"450121","Flash Antibacterial Spray 469ml","Flash","Multi-Purpose Cleaner",NA,NA,0.825
"450122","Flash All Purpose Cleaner Spray Cotton Fresh469ml","Flash","Multi-Purpose Cleaner",NA,NA,0.825
"451206","Flash Wipes Antibacterial 120pk","Flash","Wipes",NA,NA,0.825
"278425","Glade Shake n Vac Fresh Lemon 500g","Glade","Carpet Cleaners and Fresheners",NA,"500g",0.9125
"208073","Mr Muscle Kitchen and Bathroom Drain Foamer 500ml","Mr Muscle","Sink and Drain Unblockers",NA,"500ml",0.9125
"343","Mr Muscle Oven Cleaner 300ml","Mr Muscle","Oven Cleaner",NA,"300ml",0.9125
"411816","Mr Muscle Power Discs Citrus Bleach 6pk","Mr Muscle","Toilet Blocks and Strips","1",NA,0.9125
"411817","Mr Muscle Power Discs Herbal Bleach 6pk","Mr Muscle","Toilet Blocks and Strips","1",NA,0.9125
"418014","Mr Muscle Kitchen Care Spray 500ml","Mr Muscle","Kitchen Cleaners",NA,"500ml",0.9125
"453211","Mr Muscle Drain Granules 250g","Mr Muscle","Sink and Drain Unblockers","1",NA,0.9125
"453212","Mr Muscle Care Window Trigger 500ml","Mr Muscle","Window and Glass Cleaners","1",NA,0.9125
"453213","Mr Muscle Shower Shine Trigger 500ml","Mr Muscle","Bath and Shower Cleaners",NA,NA,0.825
"173301","OzKleen Bath Power Bathroom Cleaner 500ml","Oz Kleen","Bath and Shower Cleaners",NA,"500ml",0.8625
"215640","OzKleen Carpet Power Stain Remover 500ml","Oz Kleen","Carpet Cleaners and Fresheners",NA,"500ml",0.8625
"428731","Stardrops Pine Scented Disinfectant 750ml","Stardrops",NA,NA,"750ml",0.825
"80402","Stardrops All Purpose Cleaner 750ml","Stardrops","Multi-Purpose Cleaner",NA,"600ml",0.9125
"275074","Viakal Spray Original 500ml","Viakal","Limescale Remover",NA,"500ml",0.9125
"403557","Viakal With Febreze Spray 500ml","Viakal","Limescale Remover","1",NA,0.9125
"333216","Wilko Shower Cleaner Sea Minerals and Water Lilly750ml","Wilko","Bath and Shower Cleaners",NA,"750ml",0.9125
"333217","Wilko Mould and Mildew Remover 750ml","Wilko","Limescale Remover",NA,"750ml",0.9125
"333219","Wilko Bathroom Cleaner Sea Minerals & Water Lily750ml","Wilko","Bath and Shower Cleaners",NA,"750ml",0.9125
"333344","Wilko Cleaner Stainless Steel Clear 750ml","Wilko","Kitchen Cleaners",NA,"750ml",0.9125
"437980","Wilko Disinfectant Sea Minerals and Water Lily 1L","Wilko","Disinfectants","1",NA,0.9125
"438758","Wilko Scrubbing Wipes 35pk","Wilko","Wipes","1",NA,0.9125
"438759","Wilko Antibacterial Wipes Fuji Apple and Apricot40pk","Wilko","Wipes","1",NA,0.9125
"439369","Wilko Antibacterial Lemon and Mandarin Wipes 40pk","Wilko","Wipes","1",NA,0.9125
"439370","Wilko Cleanse And Shine Floor Wipes 15pk","Wilko","Antibacterial Floor Wipes","1",NA,0.9125
