"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"340934","Astonish Pro Cleaning Paste 500g","Astonish","Multi-Purpose Cleaner","1","500g",1
"333180","Cherry Blossom Comfort Insole Pair One Size","Cherry Blossom","Insoles and Cushions","1","One Size",1
"200236","Cif Citrus Burst Bathroom Mousse 500ml","Cif","Bath and Shower Cleaners","1","500ml",1
"251953","Cif Floor Cleaner Orchid 1L","Cif","Floor Cleaner","1","1L",1
"453870","Cif Actifizz Spray Ocean 450ml","Cif","Multi-Purpose Cleaner","1","450ml",1
"59553","Cif Cream Cleaner White 500ml","Cif","Multi-Purpose Cleaner","1","500ml",1
"321019","Cillit Bang Active Bathroom Foam 600ml","Cillit Bang","Bath and Shower Cleaners","1","600ml",1
"412311","Cillit Bang Power Cleaner Degreaser 750ml","Cillit Bang","Kitchen Cleaners","1","750ml",1
"412312","Cillit Bang Black Mould Remover 750ml","Cillit Bang","Multi-Purpose Cleaner","1","750ml",1
"275243","Dettol Floor Cleaning Wipes Green AppleExtra Large 15pk","Dettol","Wipes","15pk","Extra Large",1
"281585","Dettol Antibacterial Cleansing Surface WipesLarge 36pk","Dettol","Wipes","36pk","Large",1
"339710","Dettol Laundry Cleanser Fresh Cotton 1.5L","Dettol","Laundry Cleanser","1","1.5L",1
"412316","Dettol Surface Cleanser 750ml","Dettol","Multi-Purpose Cleaner","1","750ml",1
"412319","Dettol Power and Fresh Cleaner Apple 500ml","Dettol","Multi-Purpose Cleaner","1","500ml",1
"412325","Dettol Power and Fresh Wipes Citrus 80pk","Dettol","Wipes","1","80 wipes",1
"412743","Dettol Antibacterial Cleansing Surface Wipes Limeand Mint 84pk","Dettol","Wipes","84","84",1
"429804","Dettol Power and Fresh Sparkling Lemon and LimeBurst 1L","Dettol","Multi-Purpose Cleaner","1","1L",1
"429805","Dettol Power and Fresh Pomegranate and LimeSplash 1L","Dettol","Multi-Purpose Cleaner","1","1L",1
"429807","Dettol Disinfectant Crisp Linen 400ml","Dettol","Disinfectants","1","400ml",1
"429808","Dettol Disinfectant Spray Orchard Blossom400ml","Dettol","Disinfectants","1","400ml",1
"429814","Dettol Power and Fresh Pomegrante andLime Splash Wipes 80pk","Dettol","Multi-Purpose Cleaner","80","80 wipes",1
"271961","Flash Wooden Floors Mandarin and Cedar Wood Liquid1L","Flash","Floor Cleaner","1","1L",1
"278058","Flash Power Mop Multipurpose Cleaning Solution Refill Sea Minerals 1.25L","Flash","Floor Cleaner","1","1.25L",1
"282140","Flash Antibacterial Cleaning Wipes 60pk","Flash","Wipes","60pk","60 wipes",1
"306365","Flash Cleaner All Purpose with Febreze Cotton Fresh 1.3L","Flash","Multi-Purpose Cleaner","1","1.3L",1
"334359","Flash Gel All Purpose Cleaner Crisp Lemon 400ml","Flash","Multi-Purpose Cleaner","1","400ml",1
"334360","Flash Gel All Purpose Cleaner Blossom 400ml","Flash","Multi-Purpose Cleaner","1","400ml",1
"347529","Flash Wipes Antibacterial 10pk","Flash","Wipes","10","10 wipes",1
"414749","Flash with Fabreze Bathroom Spray 450ml","Flash","Bath and Shower Cleaners","1","450ml",1
"414751","Flash With Bleach 3in1 Spray 450ml","Flash","Multi-Purpose Cleaner","1","450ml",1
"414859","Flash All Purpose Cleaner Lemon Spray 469ml","Flash","Multi-Purpose Cleaner","1","469ml",1
"438078","Flash Gel Crisp Lemon Multi Surface Cleaner 885ml","Flash","Multi-Purpose Cleaner","1","885ml",1
"278442","Glade Shake n Vac Lily 500g","Glade","Carpet Cleaners and Fresheners","1","500g",1
"418129","Hob Brite Cream 250ml","Hob Brite","Kitchen Cleaners","1","250ml",1
"7368040","Jeyes Fluid Muti Purpose Disinfectantfor Outdoor Cleaning 300ml","Jeyes","Multi-Purpose Cleaner","1","300ml",1
"136418","Mr Muscle Sink and Plug 500ml","Mr Muscle","Sink and Drain Unblockers","1","500ml",1
"418013","Mr Muscle Bathroom Care Spray 500ml","Mr Muscle","Bath and Shower Cleaners","1","500ml",1
"418016","Mr Muscle Power Bathroom Cleaner 750ml","Mr Muscle","Bath and Shower Cleaners","1","750ml",1
