"Article","Web Description","Brand","Type","Size","DQ Score"
"448431","Tower Deep Fryer 2L T17001","Tower","Fryers","2L",1
"445306","Wilko Air Fryer with Removable Basket 4L","Wilko","Fryers","31cmx28.5cmx33.5cm",1
