"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"432030","Silvine Record Cards Multi Colour 6 x 4in 100pk","Silvine","Record and Index Cards","1","152mmx102mm",1
"432031","Silvine Record Cards White 6 x 4in 100pk","Silvine","Record and Index Cards","1","152mmx102mm",1
"434314","Silvine Cash Book 72 Pages","Silvine","Cash Books","1","158mmx99mm",1
"434315","Silvine Duplicate Memo Book","Silvine","Memo Pads, Blocks and Boxes","1","102mmx127mm",1
"130278","Wilko Raffle and Cloakroom Tickets 1-1000","Wilko","Raffle Tickets","1000 tickets","Small",1
"261312","Wilko Ringbinder A4 Assorted Colours","Wilko","Ringbinder","1","A4",1
"348799","Wilko A4 Document Wallet with Zipper","Wilko","Document Folders and Wallets","1","325 x 250 x 26mm",1
"433509","Wilko Paper Index Box White","Wilko","Storage Box","12","35 x 40 x 20mm",1
"433523","Wilko White Linen Effect Storage Box and Lid","Wilko","Storage Box","4","38.0X50.0X19.0cm",1
"433531","Wilko Touch Mesh Zipper Pouch Assorted 2pk","Wilko","Document Folders and Wallets","2","Assorted",1
"439929","Wilko Home Box File A4 Purple","Wilko","Box File","1","35.5x12.5x25cm",1
"439930","Wilko Home Box File A4 Lime","Wilko","Box File","1","35.5x12.5x25cm",1
