"Article","Web Description","Brand","DQ Score"
"409167","Thomas Mighty Minis Blind Bag","Thomas & Friends",0.891666666666667
"454666","Thomas and Friends Mini Collector Case","Thomas & Friends",0.841666666666667
"456605","Hot Wheels Light and Sound Extreme Action","Wilko",0.891666666666667
"456619","Zuru Micro Boats Assorted","Wilko",0.891666666666667
"456620","Micro Boat Water Slide Playset","Wilko",0.891666666666667
