"Article","Web Description","DQ Score"
"287321","Giorgio Beverly Hills Eau de Toilette 30ml",0.9
"452658","Emporio Armani Diamond Rose Eau de Toilette 30ml",0.95
"445552","Anais Anais Eau De Toilette 30ml",0.9
"449713","Cacharel Amor Amor Eau de Toilette 30ml",0.95
"449714","Calvin Klein CK One Eau de Toilette 50ml",0.95
"449709","Katy Perry Mad Potion Eau de Parfum 30ml",0.95
"449710","Lady Gaga Eau de Parfum 30ml",0.95
"449670","Charlie Blue Eau De Toilette Spray 100ml",0.9
"449671","Charlie Red Eau de Toilette 100ml",0.9
"442613","Vera Wang Lovestruck Eau de Parfum 30ml",0.95
"449697","Vera Wang Lovestruck Eau De Parfum 100ml",0.95
