"Article","Web Description","Brand","Type","Pack Qty","DQ Score"
"449341","Disney Princess Colour Your Own Totebag","Disney","Craft Kit","1",1
"448874","Paw Patrol Carry Along Art Case","Paw Patrol","Painting and Colouring Kits","1",1
"448876","Paw Patrol Complete Art Case","Paw Patrol","Painting and Colouring Kits","1",1
"449338","Paw Patrol Colour Your Own Backpack","Paw Patrol","Painting and Colouring Kits","1",1
"449339","Paw Patrol Bumper Colouring Set","Paw Patrol","Painting and Colouring Kits","1",1
"318330","Snazaroo Face Painting Kit","Snazaroo","Face Paints","1",1
"252982","Wilko Thick and Thin Markers 12pk","Wilko","Marker Pens","12pk",1
"253155","Wilko Pipe cleaners 50pk","Wilko","Craft Accessories","1",1
"253183","Wilko Glitter Glue 6pk","Wilko","Glitter Glue","6pk",1
"253187","Wilko Glitter Shaker 6pk","Wilko","Craft Kits","6pk",1
"279710","Wilko Paint Your Own Wooden  Animals","Wilko","Craft Kits","1",1
"317071","Wilko Let's Create Foam Stickers Flowers 48pk","Wilko","Craft Kits","48pk",1
"319309","Wilko Assorted Buttons 50pk","Wilko","Craft Accessories","50",1
"333673","Wilko Apron 2pk","Wilko","Craft Kits","1",1
"416356","Wilko Felt Sheets A4 65 Micron 8pk Assorted","Wilko","Craft Kits","8",1
"416357","Wilko Scrap Pack FSC 220GSM 50pcs","Wilko","Craft Paper and Card","50",1
"416361","Wilko Glitter Card A5 220GSM 10pk","Wilko","Craft Paper and Card","10",1
"416365","Wilko FSC A4 Coloured Paper 120GSM 12pk","Wilko","Craft Paper and Card","12",1
"416368","Wilko Pearlised Card FSC A4 220GSM 10pk","Wilko","Craft Paper and Card","10",1
"452676","Wilko Alphabet Stickers","Wilko","Stickers and Stencils","1",1
"452677","Wilko Butterfly Stickers","Wilko","Stickers and Stencils","1",1
"452678","Wilko Superhero Stickers 9pk","Wilko","Stickers and Stencils","1",1
"452679","Wilko Animal Stickers","Wilko","Stickers and Stencils","1",1
"452680","Wilko Ice Cream Stickers","Wilko","Stickers and Stencils","1",1
"452681","Wilko Rosette Awards Foam Stickers","Wilko","Stickers and Stencils","1",1
"452682","Wilko Felt Owl Sticker","Wilko","Stickers and Stencils","1",1
"452692","Wilko Metallic Paint Set 4 x 150ml","Wilko","Paints and Paint Brushes","4",1
"453757","Wilko reward Sticker pack","Wilko","Stickers and Stencils","1000",1
"252952","Wilko Functional Value Paint Pallets 8 Colours","Wilko Functional","Paints and Paint Brushes","1",1
