"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"311446","Wilko Fleece Throw Grey 122 x 152cm","Wilko","Throw","Grey",NA,"Washable","122 x 152cm","100% Polyester",0.95
"407730","Wilko Duvet Set Single Striped Grey","Wilko","Single Duvet Cover","Grey","1",NA,NA,NA,0.85
"407731","Wilko Duvet Set Double Striped Grey","Wilko","Double Duvet Cover","Grey","1",NA,NA,NA,0.85
"407732","Wilko Duvet Set King Striped Grey","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"426723","Wilko Duvet Set Single Reversible Plum and Mauve","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426724","Wilko Duvet Set Double Reversible Plum and Mauve","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426725","Wilko Duvet Set King Reversible Plum and Mauve","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426726","Wilko Duvet Set Single Textured Butterfly Pink","Wilko","Single Duvet Cover",NA,"1","Wash at 40","135x200cm 50x75cm",NA,0.9
"426727","Wilko Duvet Set Double Textured Buttefly Pink","Wilko","Double Duvet Cover",NA,"1","Wash at 40","200x200cm 50x75cm",NA,0.9
"426728","Wilko Duvet Set King Textured Butterfly Pink","Wilko","King Size Duvet Cover",NA,"1","Wash at 40","230x220cm 50x75cm",NA,0.9
"426731","Wilko Duvet Set Double Sequin Border Plum","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426735","Wilko Duvet Set Double Seersucker Cream","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426736","Wilko Duvet Set King Seersucker Cream","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426740","Wilko Duvet Set Single Reversible Navy and Denim","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426741","Wilko Duvet Set Double Reversible Navy and Denim","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426742","Wilko Duvet Set King Reversible Navy and Denim","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426743","Wilko Duvet Set Single Checked Design Blue","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426744","Wilko Duvet Set Double Checked Design Blue","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426745","Wilko Duvet Set King Checked Design Blue","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426746","Wilko Duvet Set Single Floral Blue","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426747","Wilko Duvet Set Double Floral Blue","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426748","Wilko Duvet Set King Floral Blue","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426756","Wilko Duvet Set Double Denim Effect Blue","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426757","Wilko Duvet Set King Denim Effect Blue","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426758","Wilko Duvet Set Double Seersucker White","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426759","Wilko Duvet Set King Seersucker White","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426772","Wilko Duvet Set Single Reversible Black andCharcoal","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426773","Wilko Duvet Set Double Reversible Black andCharcoal","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426774","Wilko Duvet Set King Reversible Black andCharcoal","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426775","Wilko Duvet Set Single Checked DesignBlack and Grey","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426776","Wilko Duvet Set Double Checked DesignBlack and Grey","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426777","Wilko Duvet Set King Checked DesignBlack and Grey","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426778","Wilko Duvet Set Single Floral Black","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426779","Wilko Duvet Set Double Floral Black","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426780","Wilko Duvet Set King Floral Black","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426781","Wilko Duvet Set Single London Skyline Grey","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
