"Article","Web Description","Brand","Type","Size","DQ Score"
"413542","Palram Skylight Amber Shed 6 x 3","Palram","Polycarbonate Sheds","6 x 3",1
"413543","Palram Skylight Amber Garden Shed 4 x 6","Palram","Polycarbonate Sheds","186L x 125W x 201.5H",1
"413544","Palram Skylight Amber Shed 6 x 5","Palram","Polycarbonate Sheds","6 x 5",1
"413545","Palram Skylight Amber Shed 6 x 8","Palram","Polycarbonate Sheds","6 x 8",1
"413546","Palram Skylight Amber Shed 6 x 10","Palram","Polycarbonate Sheds","6 x 10",1
