"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","DQ Score"
"226662","Wilko Retractable Clothes Line 12m","Wilko","Washing Lines and Accessories","White","12m","1",1
"267261","Wilko Shower Resistant Peg Bag 38 x 28cm","Wilko","Peg Bags and Baskets","Multi","38cmx28cm","1pcs",1
"300155","Wilko Steel Clothes Line 20m","Wilko","Washing Lines and Accessories","Silver","20m","1",1
"300156","Wilko Retractable Clothes Line Heavy Duty 15m","Wilko","Washing Lines and Accessories","Green","15m","1",1
"300158","Wilko Soft Grip Pegs Large 24pk","Wilko","Pegs","Multi","Large","24pk",1
"300160","Wilko Heavy Duty Pegs Multicoloured 36pk","Wilko","Pegs","Multi","Heavy Duty","36pk",1
