"Article","Web Description","Brand","DQ Score"
"441375","Finding Dory Party Invitations 6pk","Pixar",0.95
"413666","Bats and Balls Party Favours 4pk","Unique Party",0.88
"413667","Noses and Glasses Party Favours 4pk","Unique Party",0.88
"413670","Yoyos Party Favours 4pk","Unique Party",0.88
"413671","Spinning Tops Party Favours 4pk","Unique Party",0.88
"413672","Swirl Ball Chaser Party Favour 4pk","Unique Party",0.88
"413673","Bouncy Balls Party Favour 4pk","Unique Party",0.88
"413674","Parachute Men 4pk","Unique Party",0.88
"413679","Water Bombs Small Bag 165pk","Unique Party",0.88
"441390","Unique Mini Wands Party Favours 4pk","Unique Party",0.95
"441391","Unique Snap Cards Party Favours 4pk","Unique Party",0.95
"441392","Unique Princess Notebook Pencil Party Favours 4pk","Unique Party",0.95
"441393","Unique Pirate Notebook Pencil Party Favours 4pk","Unique Party",0.95
"441394","Unique Wiggly Snakes Party Favours 4pk","Unique Party",0.95
"441396","Unique Heart Bracelet Party Favours 4pk","Unique Party",0.95
"441397","Unique Springy Alien Party Favours 4pk","Unique Party",0.95
"441399","Unique Moustache Party Favours 4pk","Unique Party",0.95
"441401","Unique Flying Jets Party Favours 4pk","Unique Party",0.95
"441568","Unique Princess Party Favours Bag 24pk","Unique Party",0.95
"441569","Pirate Favour Bag 24pcs","Unique Party",0.95
"441570","Unique Activity Party Favours Bag 24pk","Unique Party",0.95
"441571","Unique Stationery Party Favours Bag 24pk","Unique Party",0.95
"441572","Unique Princess Gel Glitter Bracelet Party Favours4pk","Unique Party",0.95
"441573","Unique Handclapper Party Favours 4pk","Unique Party",0.95
"441574","Unique Water Pistol Party Favours 4pk","Unique Party",0.95
"441576","Unique Princess Bubble Wand Party Favours 4pk","Unique Party",0.95
"441577","Unique Dinosaur Party Favours 4pk","Unique Party",0.95
"441578","Unique Foam Balls Party Favours 4pk","Unique Party",0.95
"441580","Unique Crayons Party Favours 4pk","Unique Party",0.95
