"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"DIY","FIX","345576","Funky Key Covers 5pk","Wilko",0.81
"DIY","FIX","345579","Oval Wardrobe Rail Set","Wilko",0.81
"DIY","MOT","126943","3-In-One Multi Purpose Drip Oil 100ml","3in1",0.6
"DIY","MOT","242762","3-In-One Original Multi Purpose Oil Spray 200ml","3in1",0.6
"DIY","MOT","295954","Autocare Ice Scraper and Squeegee Assorted","Auto Care",0.6
"DIY","MOT","309930","Autocare Easy Sand Car Filler 250ml","Auto Care",0.6
"DIY","MOT","39773","Foot Pump","Auto Care",0.6
"DIY","MOT","427250","Double Barrel Foot Pump","Auto Care",0.6
"DIY","MOT","296722","CarPlan Blue Star Anti Freeze and Coolant 1L","Bluecol",0.6
"DIY","MOT","310666","CarPlan Blue Star De-Icer Aerosol 600ml","Bluestar",0.6
"DIY","MOT","133793","Carplan Unleaded Petrol Can Green 5L","Car Plan",0.775
"DIY","MOT","207858","CarPlan Blue Star De-Icer Trigger 500ml","Car Plan",0.6
"DIY","MOT","207859","CarPlan Pre-Icer Trigger 500ml","Car Plan",0.6
"DIY","MOT","309939","CarPlan Fuel Can Diesel Black 5L","Car Plan",0.775
"DIY","MOT","450504","Carplan Super Gloss 600ml","Car Plan",0.88
"DIY","MOT","457093","T-Cut Rapid Scratch Remover 500ml","Car Plan",0.6
"DIY","MOT","457094","T-Cut Original Tin 300ml","Car Plan",0.6
"DIY","MOT","336914","Ei Home Fire Extinguisher BC Powder Red 600g","Ei Electronics",0.891666666666667
"DIY","MOT","343677","The Complete Theory Test 2013 Edition","Focus",0.775
"DIY","MOT","421535","O'Keeffes Working Hands Hand Cream 96g","Gorilla Glue",0.95
"DIY","MOT","171542","Holts Gun Gum Repair Paste 200g","Hols",0.6
"DIY","MOT","171544","Holts Radweld Radiator Leak Repair 250ml","Hols",0.6
"DIY","MOT","171546","Holts Tyreweld Puncture Repair 400ml","Hols",0.6
"DIY","MOT","286894","Holts Radweld Plus Total Coolant Leak Repair 250m","Hols",0.6
"DIY","MOT","ml00227","Barracuda Lynx Mountain Bike Pink And White","Moore Large",0.95
"DIY","MOT","ml00241","Barracuda Gents Liberty Trekking Bike Silver 700c","Moore Large",0.95
"DIY","MOT","ml00267","Classic Touriste 700c Ladies Bike White","Moore Large",0.95
"DIY","MOT","ml00279","Flite Taser 18 Speed Dual Suspension Ladies BikePink and Black","Moore Large",0.95
"DIY","MOT","ml00290","Lombardo 350 Gents 21-Speed Bike 26inch","Moore Large",0.95
"DIY","MOT","ml00292","Lombardo 500 Gents 21-Speed 26inch","Moore Large",0.95
"DIY","MOT","ml00293","Lombardo 600 Gents 27-Speed Bike 26inch","Moore Large",0.95
"DIY","MOT","ml00294","Lombardo Rimini Ladies Single-Speed 26in","Moore Large",0.95
"DIY","MOT","450153","Emoji Car Air Freshener Assorted","Retro",0.95
"DIY","MOT","158375","Jump Leads 3m","Wilko",0.6
"DIY","MOT","322764","Auto Care Pop-up Frost Protector and Sun Shade200cm x 70cm","Wilko",0.6
"DIY","MOT","323204","Jumbo Luggage Elastic Light Duty Yellow 45cm","Wilko",0.775
"DIY","MOT","323205","Jumbo Luggage Elastic Light Duty Blue 60cm","Wilko",0.775
"DIY","MOT","323206","Jumbo Luggage Elastic Light Duty Green 80cm","Wilko",0.775
"DIY","MOT","323207","Auto Care Luggage Elastics 60cm","Wilko",0.833333333333333
"DIY","MOT","343727","Autosol Metal Polish Tube 75g","Wilko",0.81
"DIY","MOT","345133","Tow Rope","Wilko",0.6
"DIY","MOT","157344","Wilko Car Cleaning Cloth Pack","Wilko Functional",0.81
"DIY","PLU","343250","Drain Cleaning Spring","Wilko",0.8625
"DIY","PLU","343280","Tap Connector with Isolator 15mm x 1/2 x 300mm","Wilko",0.8625
"DIY","PLU","343479","Plastic Pipe Stiffeners 15mm","Wilko",0.8625
"DIY","ROP","343731","Eliza Tinsley Consumer Cup Hook Chrome Effect 2pk","Wilko",0.833333333333333
"DIY","ROP","343797","Short Link Welded Chain Bright Zinc  2m x 3mm","Wilko",0.81
"DIY","ROP","344156","Eliza Tinsley Long Link Welded Chain 2m x 5mm","Wilko",0.81
"DIY","ROP","344175","Eliza Tinsley Polypropylene Rope Reel 15m x 8mm","Wilko",0.88
"DIY","ROP","344203","Eliza Tinsley Nylon Rope 0.25 x 50in White","Wilko",0.88
"DIY","ROP","344206","Eliza Tinsley Polypropylene Rope Blue and Red15m x 6mm","Wilko",0.88
"DIY","ROP","344293","Eliza Tinsley Webbing Handi Reel Black 15m","Wilko",0.88
"DIY","ROP","344297","Eliza Tinsley Webbing Handi Reel Yellow 15m","Wilko",0.81
"DIY","ROP","344301","Eliza Tinsley Shock Cord Handi Reel White 15m","Wilko",0.88
"DIY","ROP","344332","Eliza Tinsley Carbine Hooks Quick Release Zinc50mm 2pk","Wilko",0.833333333333333
"DIY","ROP","344359","Eliza Tinsley Wire Rope Grips Bright Zinc 4pk","Wilko",0.81
"DIY","SCR","345082","Wilko Wood Screw 60mm 8pk","Wilko Best",0.81
"DIY","SEC","162346","EI Carbon Monoxide Alarm Part Number 204EN","Ei Electronics",0.88
"DIY","SEC","342843","EI Carbon Monoxide Memory Alarm","Ei Electronics",0.81
"DIY","SEC","448862","Burg-Wächter  Key Locking Safe P1S","Sterling",0.891666666666667
"DIY","SEC","448863","Burg-Wächter Key Locking Safe P2S","Sterling",0.891666666666667
"DIY","SEC","448864","Burg-Wächter Key Locking Safe P3S","Sterling",0.891666666666667
"DIY","SEC","448865","Burg-Wächter Electronic Keypad Safe P1 E","Sterling",0.891666666666667
"DIY","SEC","448866","Burg-Wächter Electronic Keypad Safe P2 E","Sterling",0.891666666666667
"DIY","SEC","448867","Burg-Wächter Electronic Keypad Safe P3 E","Sterling",0.833333333333333
"DIY","SEC","448868","Burg-Wächter Electric Keypad Safe P4 E","Sterling",0.891666666666667
"DIY","SEC","448869","Burg-Wächter  Finger Scan Lock Safe P2","Sterling",0.891666666666667
"DIY","SEC","448870","Burg-Wächter Finger Scan Lock Safe P3","Sterling",0.891666666666667
"DIY","SEC","448871","Burg-Wächter Finger Scan Lock Safe P4","Sterling",0.891666666666667
"DIY","SEC","448872","Burg-Wächter Electronic Keypad Laptop Sf","Sterling",0.833333333333333
"DIY","SEC","448873","Burg-Wächter Finger Scan Laptop Safe","Sterling",0.833333333333333
"DIY","SEC","425927","Sterling Keyminder Large","Wilko",0.81
"DIY","SEC","187997","Wilko Combination Padlock 20mm","Wilko Functional",0.88
"DIY","SEC","26372","Wilko Laminated Padlock 30mm","Wilko Functional",0.81
"DIY","SEC","26373","Wilko Laminated Padlock 40mm","Wilko Functional",0.81
"DIY","SEC","26374","Wilko Laminated Padlock 50mm","Wilko Functional",0.81
"DIY","SEC","4582140","Wilko Padlock Brass 20mm","Wilko Functional",0.88
"DIY","SEC","4582440","Wilko Padlock Brass 30mm","Wilko Functional",0.81
"DIY","SEC","4582640","Wilko Padlock Brass 40mm","Wilko Functional",0.81
"DIY","SHE","sg00001","3 Tier Bolted Shelving Black","Storage Solutions",0.841666666666667
"DIY","SHE","sg00002","4 Tier Bolted Shelving Black","Storage Solutions",0.841666666666667
"DIY","SHE","sg00003","5 Tier Bolted Shelving Black","Storage Solutions",0.891666666666667
"DIY","SHE","sg00005","4 Tier Bolted Shelving Silver","Storage Solutions",0.891666666666667
"DIY","SHE","sg00007","5 Tier Bolted Shelving Grey Medium Duty","Storage Solutions",0.891666666666667
"DIY","SHE","sg00008","3 Tier Boltless Shelving Stainless Steel Black","Storage Solutions",0.891666666666667
"DIY","SHE","sg00009","4 Tier Boltless Shelving Stainless Steel Black","Storage Solutions",0.891666666666667
"DIY","SHE","sg00010","5 Tier Boltless Shelving Stainless Steel Black","Storage Solutions",0.891666666666667
"DIY","SHE","sg00013","Workbench 2 Tier Boltless Black","Storage Solutions",0.8625
"DIY","SHE","sg00014","3 Tier Boltless Lever Arch Shelving Black","Storage Solutions",0.85
"DIY","SHE","sg00015","Two Tier Extension Bay","Storage Solutions",0.85
"DIY","SHE","sg00016","Shelf Kit With 3 Metal Shelves 1000x220mm","Storage Solutions",0.891666666666667
"DIY","SHE","sg00017","Shelf Kit With 3 Metal Shelves 1000x270mm","Storage Solutions",0.891666666666667
"DIY","TOO","342508","Black and Decker Workbench Foldable with ClampingAction","Black & Decker",0.8625
