"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DIY","BAT","277654","Energizer NiHM Rechargeable Batteries D 2500mAh1.2V 2pk","Energizer","6.2CM","3.4CM","3.4CM","D","D",NA,"2pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277655","Energizer NiMH Rechargeable Batteries C 2500mAh1.2V 2pk","Energizer","5.0CM","2.6CM","2.6CM","C","C",NA,"2pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277656","Energizer NiMH Rechargeable Batteries AAA 700mAh1.2V 4pk","Energizer","4.5CM","1.1CM","1.1CM","AAA","AAA",NA,"4pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277657","Energizer NiMH Rechargable Batteries AAA 500mAh1.2V 4pk","Energizer","4.5CM","1.1CM","1.1CM","AAA","AAA",NA,"4pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277658","Energizer NiMH Rechargable Batteries AA 2300mAh1.2V 4pk","Energizer","5.1CM","1.5CM","1.5CM","AA","AA",NA,"4pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277659","Energizer NiMH Rechargeable Batteries AA 2000mAH1.2V 4pk","Energizer","5.1CM","1.5CM","1.5CM","AA","AA",NA,"4pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277660","Energizer Battery NiMH Rechargeable AA 1300mAh1.2V 4pk","Energizer","5.1CM","1.5CM","1.5CM","AA","AA",NA,"4pk",NA,NA,NA,"1.2V",NA,NA,NA,NA,1
"DIY","BAT","277661","Energizer NiMH Rechargeable Batteries PP3 175mAh9V Single","Energizer","4.9CM","1.8CM","2.7CM","9v","PP3",NA,NA,NA,NA,NA,"9V",NA,NA,NA,NA,0.93
"DIY","BAT","277663","Energizer NiMH Battery Charger with BatteriesAA 1.2V 4pk","Energizer",".4CM",".8CM",".8CM","Battery Charger","AA",NA,NA,NA,NA,NA,"Mains",NA,NA,NA,NA,0.93
"DIY","BAT","281784","Energizer Hearing Aid Batteries PR41 312 1.4V 8pk","Energizer",".4CM",".8CM",".8CM","Hearing Aid Batteries","312",NA,"8pk",NA,NA,NA,"1.4V",NA,NA,NA,NA,1
"DIY","BAT","281785","Energizer Hearing Aid Batteries 13 1.4V 8pk","Energizer",".5CM",".8CM",".8CM","Hearing Aid Batteries","13",NA,"8pk",NA,NA,NA,"1.4V",NA,NA,NA,NA,1
"DIY","BAT","298407","Energizer Battery Charger 2000mAh with BatteriesAA 1.5V 4pk","Energizer","12.0CM","7.0CM","7.0CM","Battery Charger","AA",NA,"4",NA,NA,NA,"Mains",NA,NA,NA,NA,1
"DIY","BAT","336832","Energizer Cell Lithium Batteries CR2032 3V 4pk","Energizer",".3CM","2.0CM","2.0CM","3v","3V",NA,"4pk",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","337233","Energizer NiMH Recharge Extreme Batteries AAA800mAh 1.2V 4pk","Energizer","4.5CM","1.1CM","1.1CM","AAA","AAA",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","346267","Energizer Ultimate Lithium  Batteries AA LR6 1.5V4pk","Energizer","5.1CM","1.5CM","1.5CM","AA","AA",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","346268","Energizer Ultimate Lithium Batteries  AAA LR031.5V 4pk","Energizer","4.5CM","1.1CM","1.1CM","AAA","AAA",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","346269","Energizer Alkaline Batteries LR1 1.5V 2pk","Energizer","3.0CM","1.2CM","1.2CM","1.5v","LR1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420353","Energizer Eco Advanced AA 4pk","Energizer","5.1CM","1.5CM","1.5CM","AA","4X AAA Batteries",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420370","Energizer Eco Advanced Batteries AAA 4pk","Energizer","4.5CM","1.1CM","1.1CM","AAA","4X AAA Batteries",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420380","Energizer Advanced Batteries C 2pk","Energizer","5.0CM","2.6CM","2.6CM","C","2XC Batteries",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420381","Energizer Advanced Batteries D 2pk","Energizer","6.2CM","3.4CM","3.4CM","D","2 x D batteries",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420382","Energizer Advanced Batteries 9V Single","Energizer","4.9CM","1.8CM","2.7CM","9v","1 X 9V Battery",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420383","Energizer Eco Advanced Batteries AA Maxi Pack","Energizer","5.1CM","1.5CM","1.5CM","AA","AA Battery",NA,"10pk",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420385","Energizer Eco Advanced Batteries AAA Maxi Pack","Energizer","4.5CM","1.1CM","1.1CM","AAA","AAA Battery",NA,"10pk",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"DIY","BAT","420389","Energizer Alkaline Batteries LR44 1.5V 4pk","Energizer",".5CM",".0CM",".0CM",NA,"4 X LR44 Batteries",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","BAT","5190940","Eveready Silver Zinc Battery PP9 9V Single","Eveready","8.1CM","6.6CM","5.2CM","9v","PP9B",NA,"1",NA,NA,NA,"9V",NA,NA,NA,NA,1
"DIY","BAT","60661","Eveready Weatherproof Lantern Battery 4R25 6VSingle","Eveready","11.0CM","6.7CM","6.7CM","6v","PJ996",NA,NA,NA,NA,NA,"6V",NA,NA,NA,NA,0.93
"DIY","BAT","143635","Wilko Extra Life Alkaline Batteries D 1.5V 2pk","Wilko","6.2CM","3.3CM","3.3CM","D","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","143636","Wilko Extra Life Alkaline Batteries C 1.5V 2pk","Wilko","5.2CM","2.5CM","2.5CM","C","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","143639","Wilko Extra Life Alkaline Batteries AA 1.5V 4pk","Wilko","4.5CM","1.4CM","1.4CM","AA","AA",NA,"4pk",NA,NA,NA,"1.5V Non-rechargeable",NA,NA,NA,NA,1
"DIY","BAT","143641","Wilko Extra Life Alkaline Batteries PP3 9V Single","Wilko","4.9CM","1.8CM","2.5CM","9v","9V",NA,NA,NA,NA,NA,"9V",NA,NA,NA,NA,0.93
"DIY","BAT","178596","Wilko Extra Life Alkaline Batteries AA LR6 1.5V8pk","Wilko","4.5CM","1.4CM","1.4CM","AA","AA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","188343","Wilko Extra Life Alkaline Batteries AAA 1.5V 8pk","Wilko","4.5CM","1.0CM","1.0CM","AAA","AAA",NA,"8pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","143628","Wilko Functional Zinc Chloride Batteries D 1.5V2pk","Wilko Functional","6.2CM","3.3CM","3.3CM","D","D",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","143629","Wilko Functional Zinc Chloride Batteries C 1.5V2pk","Wilko Functional","5.2CM","2.5CM","2.5CM","C","C",NA,"2pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","143630","Wilko Functional Zinc Chloride Batteries AA 5V 4pk","Wilko Functional","4.5CM","1.4CM","1.4CM","AA","AA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","143631","Wilko Functional Zinc Chloride Batteries AAA 1.5V4pk","Wilko Functional","4.3CM","1.0CM","1.0CM","AAA","AAA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BAT","143632","Wilko Functional Zinc Chloride Batteries PP3 9VSingle","Wilko Functional","4.9CM","1.8CM","2.5CM","9v","9V",NA,NA,NA,NA,NA,"9V",NA,NA,NA,NA,0.93
"DIY","BAT","143633","Wilko Functional Zinc  Batteries PJ996 6V Single","Wilko Functional","11.2CM","6.7CM","6.7CM","6v","PJ996",NA,NA,NA,NA,NA,"6V",NA,NA,NA,NA,0.93
"DIY","BAT","143634","Wilko Functional Zinc Chloride Batteries AA 1.5V12pk","Wilko Functional","4.5CM","1.4CM","1.4CM","AA","AA",NA,"12pk",NA,NA,NA,"1.5V",NA,NA,NA,NA,1
"DIY","BIK","409176","Sonic Bulk Bike Pink 20in Wheels","Sonic","87.0CM","22.0CM","157.0CM","Junior Bikes","20in","Pink",NA,NA,NA,NA,NA,NA,NA,"7-15 Years",NA,1
"DIY","BIN","343875","Wilko Oval Plaque Ivory Small","Wilko","13.0CM","10.0CM","2.0CM","House Plaques","Small","Cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","343881","Wilko Oval Plaque Gloss Black Small","Wilko","10.3CM","13.1CM","1.2CM","House Plaques","Small","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","343907","Wilko Oval Plaque Ivory Medium","Wilko","14.2CM","19.1CM","1.3CM","House Plaques","Medium","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","343940","Wilko Oval Plaque Black Gloss Medium","Wilko","14.2CM","19.1CM","1.3CM","House Plaques","Medium","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","343942","Wilko Oval Plaque Frosted Small","Wilko","10.8CM","13.7CM","1.7CM","House Plaques","Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","343943","Wilko Rectangle Plaque Frosted Small","Wilko","12.9CM","18.0CM","2.1CM","House Plaques","Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","344085","Wilko Contemporary Plaque Frosted Perspex","Wilko","13.0CM","18.2CM","2.2CM","House Plaques","1 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344088","Wilko Contemporary Layered Perspex Plaque","Wilko","16.0CM","15.0CM","2.0CM","House Plaques","1 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344095","Wilko House Number Plate Pullman Design Blackand Silver","Wilko","12.5CM","17.8CM","1.3CM","House Plaques","1 Pack","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344096","Wilko House Number Plate Pullman Design Blackand Gold","Wilko","12.6CM","17.8CM","1.3CM","House Plaques","1 Pack","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344098","Wilko Numeral 0 Gold Effect 2in","Wilko","5.2CM","2.5CM",".3CM","Gold Numbers","2in","Gold","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344106","Wilko Numeral 1 Gold Effect 2in","Wilko","4.9CM","1.5CM",".3CM","Gold Numbers","2in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344108","Wilko Numeral 2 Gold Effect 2in","Wilko","5.0CM","2.2CM",".3CM","Gold Numbers","2in","Gold","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344110","Wilko Numeral 3 Gold Effect 2in","Wilko","5.0CM","2.2CM",".3CM","Gold Numbers","2in","Gold","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344112","Wilko Numeral 4 Gold Effect 2in","Wilko","5.0CM","2.5CM",".3CM","Gold Numbers","2in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344113","Wilko Numeral 5 Gold Effect 2in","Wilko","5.0CM","2.2CM",".3CM","Gold Numbers","2in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344115","Wilko Numeral 6 Gold Effect 2in","Wilko","5.0CM","2.3CM",".3CM","Gold Numbers","2in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344116","Wilko Numeral 7 Gold Effect 2in","Wilko","5.0CM","2.1CM",".3CM","Gold Numbers","2in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344117","Wilko Numeral 8 Gold Effect 2in","Wilko","5.0CM","2.5CM",".3CM","Gold Numbers","2in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344118","Wilko Numeral 9 Gold Effect 2in","Wilko","5.0CM","2.2CM",".3CM","Gold Numbers","2in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344129","Wilko Numeral 0 Silver Effect 2in","Wilko","5.1CM","2.5CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344136","Wilko Numeral 1 Silver Effect 2in","Wilko","4.9CM","1.5CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
