"PSA_1","PSA_2","Article","Web Description","DQ Score"
"DIY","BRA","438786","Kenovo DuraTrax Short J Hook",0.95
"DIY","BRA","438787","Kenovo DuraTrax S Hook",0.95
"DIY","BRA","438788","Kenovo DuraTrax Clothes Hook",0.95
"DIY","DOO","4477046","Wilko Security Door Chain Chrome Effect",0.783333333333333
"DIY","FIX","408538","Command Damage Free Decorating Clips Clear 20pk",0.891666666666667
"DIY","FIX","408539","Command Damage Free Medium Hooks Clear 2pk",0.833333333333333
"DIY","FIX","444587","Command Damage Free Easel Back Picture HangingStrips 2pk",0.833333333333333
"DIY","FIX","444588","Command Damage Free Large Canvas Hanger",0.891666666666667
"DIY","FIX","444589","Command Damage Free Jumbo Canvas Hanger",0.891666666666667
"DIY","FIX","444594","Command Damage Free Broom Gripper",0.891666666666667
"DIY","MOT","ml00282","Barracuda Radon Alloy Gents Mountain Bike Black",0.95
"DIY","MOT","ml00286","Barracuda Vantos Flat Bar Road Bike Blue/White700c",0.95
"DIY","MOT","82597","Loctite Rust Remedy 7503 90ml",0.6
"DIY","SCR","435387","Screw Tite Screw Net Coat Yellow 4.5 x 50mm10pk",0.95
"DIY","SEC","232730","EI Electronics Smoke Alarm with Escape Light",0.81
"DIY","SHE","sg00001","3 Tier Bolted Shelving Black",0.841666666666667
"DIY","SHE","sg00002","4 Tier Bolted Shelving Black",0.841666666666667
"DIY","TOO","427716","Black and Decker Cordless Lithium Screwdriver 3.6V",0.55
"DIY","TOO","427717","Black and Decker  Random Orbital Sander 125mm",0.76
"DIY","TOO","427718","Black and Decker Compact Jigsaw and Blade 400W",0.83
"DIY","TOO","449827","Black and Decker Fast Battery Charger Lithium Ion",0.55
"DIY","TOO","449829","Black and Decker Impact Driver - Bare Unit 18V",0.76
"DIY","TOO","426244","Stanley 19in Tote and Organiser",0.6
"DIY","TOO","426245","Stanley  Toolbox with Tray Organiser 19in",0.6
"DIY","TOO","426246","Stanley Toolbox with Tray Organiser 16in",0.6
"DIY","TOO","426247","Stanley Toolbox with Tray Organiser 12.5in",0.6
"DIY","TOO","426248","Stanley Multibit Stubby Ratchet Scrwdriver",0.8625
