"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Power","Age","Model Number","DQ Score"
"DIY","BRA","160276","Wilko Twin Slot Bracket White 170mm","Wilko","4.5CM","1.0CM","17.5CM","Shelving Brackets","170mm","White","1",NA,NA,NA,NA,NA,1
"DIY","BRA","160278","Wilko Bracket Twin Slot White 270mm","Wilko","5.0CM","1.3CM","28.0CM","Shelving Brackets","270mm","White","1",NA,NA,NA,NA,NA,1
"DIY","BRA","160281","Wilko Bracket Twin Slot White 320mm","Wilko","5.0CM","1.3CM","32.0CM","Shelving Brackets","320mm","White","1",NA,NA,NA,NA,NA,1
"DIY","BRA","189680","Wilko Bracket Twin Slot White 220mm","Wilko","1.0CM","4.5CM","22.0CM","Shelving Brackets","220mm","White","1",NA,NA,NA,NA,NA,1
"DIY","BRA","438302","Wilko Folding Sack Truck","Wilko","71.5CM","39.0CM","5.4CM","Hand Truck","Close Size: 39x5.4x71.5cm, Open Size: 40x37.5x96cm","Black",NA,"Metal and Aluminium",NA,NA,NA,NA,1
"DIY","BUL","5156240","Wilko Starter for Fluorescent Light 80W","Wilko","6.0CM","5.0CM","3.0CM","Starters","1 Pack",NA,"1",NA,NA,"4-65W",NA,NA,1
"DIY","BUL","60686","Wilko Starter for Fluorescent Light 125W","Wilko","6.0CM","5.0CM","3.0CM","Fluorescent Starter","1 Pack",NA,"1",NA,NA,"125W",NA,NA,1
"DIY","CYC","445343","Barracuda Icon Alloy 18 Speed Jump Bike White/Black, 24"" Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Junior Trail Bike","130cm x 20cm x 76xm","White",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445345","Barracuda Lynx 18 Speed Dual Suspension Mountain Bike Pink/White, 24"" Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Mountain Bikes","130cm x 20cm x 76xm","Pink",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445348","Barracuda Draco 1 Mountain Bike Black/Blue, 20"" Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Mountain Bike","130cm x 20cm x 76xm","Black",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445349","Barracuda Draco 1 Mountain Bike Black/Blue, 22"" Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Mountain Bike ","130cm x 20cm x 76xm","Black",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445350","Barracuda Draco 1 Mountain Bike Black/Blue, 15"" Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Mountain Bike ","130cm x 20cm x 76xm","Black",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445351","Barracuda Draco 1 Mountain Bike Black/Blue, 17"" Wheel","Barracuda","76.0CM","20.0CM","130.0CM","0445351Barracuda Draco 1 Mountain Bike Black/Blue, 18"" The Draco 1 Mountain Bike is the first model of the Barracuda Mountain bike range and offers a basic all-terrain bike style, equipped with a 18 inch frame and 26 inch wheels. Key features include a 6061 aluminium frame, Shimano Tourney 18-speed gears with Shimano Revo shift, powerful V-type brakes, comfort geometry and a padded saddle. ","130cm x 20cm x 76xm","Black",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445360","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Trekking Bike ","130cm x 20cm x 76xm","Silver",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445361","Barracuda Liberty Trekking Bike Silver/Black, 21""Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Trekking Bike ","130cm x 20cm x 76xm","Silver",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445362","Barracuda Liberty Trekking Bike Silver/Black, 17""Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Trekking Bike ","130cm x 20cm x 76xm","Silver",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445363","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","76.0CM","20.0CM","130.0CM","Trekking Bike ","130cm x 20cm x 76xm","Silver",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445340","Classic Touriste Commuter Bike White, 19"" Wheel","Classic","76.0CM","20.0CM","130.0CM","Road and Commuting Bikes","130cm x 20cm x 76xm","White",NA,NA,"No",NA,NA,NA,1
"DIY","CYC","445324","Flite Panic BMX Bike Pink 20in Wheel","Flite","59.0CM","20.0CM","108.0CM","BMX Bikes","108cm x 20cm x 59cm","Pink",NA,NA,NA,NA,"7 - 12 Years",NA,1
"DIY","CYC","445325","Flite Panic BMX Bike Green, 20"" Wheel","Flite","59.0CM","20.0CM","108.0CM","BMX Bikes","108cm x 20cm x 59cm","Green",NA,NA,NA,NA,"7 - 12 Years",NA,1
"DIY","CYC","445327","Flite Panic Mag BMX Bike Pink, 20"" Wheel","Flite","59.0CM","20.0CM","108.0CM","BMX Bikes","108cm x 20cm x 59cm","Pink",NA,NA,NA,NA,"7 - 12 Years",NA,1
"DIY","CYC","445328","Flite Turbo Six Speed Full Suspension Junior BikeWhite/Green, 20"" Wheel","Flite","59.0CM","20.0CM","108.0CM","Kids Bike","108cm x 20cm x 59cm","Green",NA,NA,NA,NA,"7 - 12 Years",NA,1
"DIY","CYC","445329","Flite Delta Trials Bike Blue, 24"" Wheel","Flite","59.0CM","20.0CM","108.0CM","Junior Mountain Bike","130cm x 20cm x 76xm","Blue",NA,NA,NA,NA,"8 - 12 Years",NA,1
"DIY","CYC","445334","Flite Active Hardtail Mountain Bike Blue 20"" Wheel","Flite","76.0CM","20.0CM","130.0CM","Mountain Bikes","130cm x 20cm x 76xm","Blue",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445335","Flite Active Hardtail Mountain Bike Purple18 Gears 26in Wheel","Flite","76.0CM","20.0CM","130.0CM","Mountain Bikes","130cm x 20cm x 76xm","Purple",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445337","Flite Taser II Dual Suspension Mountain Bike Blackand Purple 18 Speed 26in Wheel","Flite","76.0CM","20.0CM","130.0CM","Mountain Bikes","130cm x 20cm x 76xm","Black",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","445338","Flite Phaser Dual Suspension Mountain Bike Black18 Gears 26in Wheel","Flite","76.0CM","20.0CM","130.0CM","Mountain Bikes","130cm x 20cm x 76xm","Black",NA,NA,NA,NA,"12 Years +",NA,1
"DIY","CYC","435205","Peppa Pig Drinking  Bottle 200ml","Peppa Pig","15.0CM","6.0CM","6.0CM","Drinks Bottle","200ml","Pink",NA,NA,NA,NA,"3+",NA,1
"DIY","CYC","445310","Sonic Daisy Bike White/Pink, 12"" Wheel","Sonic","36.0CM","15.0CM","67.0CM","Children's Bikes","67cm x 15cm x 36cm","Pink",NA,NA,NA,NA,"2 - 4 Years",NA,1
"DIY","CYC","445312","Sonic Buzz Bike Spoked Wheels, 12"" Wheel","Sonic","36.0CM","15.0CM","67.0CM","Children's Bike","67cm x 15cm x 36cm","Black",NA,NA,NA,NA,"2 - 4 Years",NA,1
"DIY","CYC","445316","Sonic Glamour Bike, 16"" Wheel","Sonic","55.0CM","16.0CM","98.0CM","Children's Bikes","98cm x 16cm x 55cm","Purple",NA,NA,NA,NA,"6 - 8 Years",NA,1
"DIY","DOO","343509","Wilko Dimpled Knob Chrome  Effect 28mm","Wilko","2.5CM","2.8CM","2.8CM","Cupboard Knobs","28mm","Metal","1","Metal",NA,NA,NA,NA,1
"DIY","ELE","457269","British General Double USB Socket White 2.1A","British General","16.0CM","18.0CM","3.5CM","USB Socket","3.5 x 18 x 16cm","White","1","Plastic, Metal",NA,NA,NA,NA,1
"DIY","ELE","457270","British General Double USB Socket Brushed Steel 2.1A","British General","16.0CM","18.0CM","3.5CM","USB Socket","3.5 x 18 x 16cm","Metal","1","Plastic, Metal",NA,NA,NA,NA,1
"DIY","ELE","457271","British General Double USB Socket Chrome 2.1A","British General","16.0CM","18.0CM","3.5CM","USB Socket","3.5 x 18 x 16cm","Metal","1","Plastic, Metal",NA,NA,NA,NA,1
"DIY","ELE","457272","British General Double USB Socket Black Nickel 2.1A","British General","16.0CM","18.0CM","3.5CM","USB Socket","3.5 x 18 x 16cm","Metal","1","Plastic, Metal",NA,NA,NA,NA,1
"DIY","ELE","116448","Wilko Ceiling Pendant Set 6in","Wilko","25.6CM","8.8CM","8.8CM","Pendant Sets and Cords","6in","White","1","Plastic",NA,NA,NA,NA,1
"DIY","ELE","116452","Wilko Ceiling Pendant Set 9in","Wilko","33.0CM","8.8CM","8.8CM","Light Fitting","1 Pack",NA,"1",NA,NA,"Mains",NA,NA,1
"DIY","ELE","116475","Wilko Switched Socket 1 Gang 13amp","Wilko","8.4CM","8.4CM","2.9CM","Power Sockets","13AMP","White","1","Plastic",NA,NA,NA,NA,1
"DIY","ELE","15263","Wilko Ceiling Switch 6amp 2 Way","Wilko","4.2CM","7.3CM","7.3CM","Pendant Sets and Cords","6 Amp","White","1","Plastic",NA,NA,NA,NA,1
"DIY","ELE","15350","Wilko Socket Box  2 Gang","Wilko","8.1CM","14.4CM","3.2CM","Socket Boxes","8.5x14.5cm","White","1pk","Plastic",NA,NA,NA,NA,1
"DIY","ELE","440945","Wilko Work Light 10W Rechargeable and USB","Wilko","11.0CM","16.5CM","19.0CM","Work Light","24 x 15 x 16.4cm","Multi","1",NA,NA,"10W USB Rechargeable",NA,"LSWR10BR-01",1
"DIY","ELE","5314740","Wilko Pattress Box 1gang 45mm","Wilko","8.6CM","8.6CM","5.0CM","Socket Boxes","8.5x8.5cm, 45mm","White","1","Plastic",NA,NA,NA,NA,1
"DIY","ELE","5326640","Wilko Plastic Pattress Box 25mm 1 Gang","Wilko","8.5CM","8.5CM","2.7CM","Socket Boxes","25mm","White","1","Plastic",NA,NA,NA,NA,1
"DIY","ELE","5326643","Wilko Plastic Pattress Box 2 Gang 25mm","Wilko","8.5CM","14.5CM","2.7CM","Socket Boxes","25mm","White","1","Plastic",NA,NA,NA,NA,1
"DIY","ELE","5327840","Wilko Pattress Box White 1 Gang 16mm","Wilko","8.7CM","8.7CM","1.9CM","Socket Boxes","8.5x8.5cm, 16mm","White","1","Plastic",NA,NA,NA,NA,1
"DIY","ELE","5374640","Wilko Pattress Box 2 Gang 45mm","Wilko","8.0CM","14.5CM","5.0CM","Socket Boxes","45mm","White","1","Plastic",NA,NA,NA,NA,1
"DIY","FIX","456406","Wilko Hardwall Hooks 30mm 6pk","Wilko","13.5CM","7.0CM","1.5CM","Adhesive Hooks","30mm","Cream","6","Plastic",NA,NA,NA,NA,1
"DIY","FIX","456407","Wilko Hardwall Hooks 40mm 4pk","Wilko","13.5CM","7.0CM","1.5CM","Adhesive Hooks","40mm","Cream","4","Plastic",NA,NA,NA,NA,1
"DIY","MOT","436077","Febreze Car Freshener Refill Fruity Tropics 7ml","Febreze","15.9CM","7.5CM","3.0CM","Car Air Freshener","7ml",NA,"1",NA,NA,NA,NA,NA,1
"DIY","MOT","450788","Febreze Car Air Freshener Refill Vanilla Bouquet 7ml","Febreze","5.5CM","2.5CM","4.0CM","Car Air Freshener","7ml",NA,"1",NA,NA,NA,NA,NA,1
"DIY","MOT","450789","Febreze Car Air Freshener Starter Kit Vanilla Bouquet 7ml","Febreze","6.5CM","6.5CM","4.0CM","Car Air Freshener","7ml",NA,"1",NA,NA,NA,NA,NA,1
"DIY","MOT","286872","Pongo Air Freshener Smiley 3 Pk","Pongo","6.7CM","6.9CM",".0CM","Air Fresheners","3Pack",NA,"1",NA,NA,NA,NA,NA,1
"DIY","MOT","426400","Ring Essentials 6amp Baterry Charger","Ring","14.6CM","14.3CM","8.0CM","Battery Chargers","9.6x15.8x20.2",NA,"1",NA,NA,"6amp",NA,NA,1
"DIY","MOT","ml00204","M/L Sonic Glamour 16in Girls Bike Purple","Sonic","88.0CM","17.5CM","104.0CM","Junior Bikes","16in","Purple",NA,NA,NA,NA,"5-7 years",NA,1
"DIY","MOT","ml00261","Moore Large Sonic Daisy Girls Bike Pink","Sonic","51.0CM","17.0CM","91.0CM","Infant Bikes","12in","Pink",NA,NA,NA,NA,"3.5-5 years",NA,1
"DIY","MOT","450154","Star Wars Car Air Freshener Assorted","Star Wars","14.2CM","7.1CM",".2CM","Car Air Freshener","7.5 x 0.02 x 7cm",NA,"1pk",NA,NA,NA,NA,NA,1
"DIY","MOT","450155","Star Wars 3D Car Air Freshener Vent Clip Assorted","Star Wars","5.9CM","4.4CM","4.5CM","Car Air Freshener","4.5 x 2.5 x 4.5cm",NA,"1pk",NA,NA,NA,NA,NA,1
"DIY","MOT","426971","Yankee Candle Jar Car Freshener Clean Cotton","Yankee Candle","13.5CM","7.8CM","2.5CM","Air Fresheners","Car jar ultimate freshner 6.5cm","White","1",NA,NA,NA,NA,NA,1
"DIY","MOT","431277","Yankee Candle Jar Car Freshener Pink Sands","Yankee Candle","19.5CM","7.8CM","2.5CM","Car Air Freshener","11cm",NA,"1",NA,NA,NA,NA,NA,1
"DIY","MOT","431278","Yankee Candle Jar Car Freshener Fluffy Towels","Yankee Candle","19.5CM","7.8CM","2.5CM","Car Air Freshener","11cm",NA,"1",NA,NA,NA,NA,NA,1
"DIY","PLU","233666","Instant Power Heavy Duty Drain Opener 1L","Instant Power","28.0CM","8.5CM","8.5CM","Waste and Drain Cleaner","1L",NA,"1",NA,NA,NA,NA,NA,1
"DIY","PLU","343476","Polymax Push Fit  Elbow 15mm","Polymax","3.1CM","3.1CM","6.2CM","Pipe Connectors","15mm",NA,"1",NA,NA,NA,NA,NA,1
"DIY","PLU","343273","Wilko Copper Pipe 1m x 15mm","Wilko","1.5CM","1.5CM","100.0CM","Pipe","15mmx1m",NA,"1",NA,NA,NA,NA,NA,1
"DIY","PLU","343285","Wilko Hose Clips  13-19mm 2pk","Wilko","1.0CM","2.4CM","3.2CM","Hose Clips","19mm",NA,"2pk",NA,NA,NA,NA,NA,1
"DIY","PLU","343489","Wilko Shower Hose 1.75m","Wilko","1.7CM","1.7CM","175.0CM","Shower Hoses","1.75m",NA,"1",NA,NA,NA,NA,NA,1
"DIY","SCR","435410","Rawlplug Universal Plug 5 x 24mm Yellow96pk","Rawlplug",".8CM",".8CM","2.4CM","Fixings","5mm","Yellow","96","Plastic",NA,NA,NA,NA,1
"DIY","SCR","435411","Rawlplug Universal Plug 6 x 28mm Red96pk","Rawlplug",".8CM",".8CM","2.8CM","Fixings","6mm","Red","96","Plastic",NA,NA,NA,NA,1
"DIY","SCR","435412","Rawlplug Universal Plug 7 x 30mm Brown96pk","Rawlplug","1.0CM","1.0CM","3.0CM","Fixings","7mm","Brown","96","Plastic",NA,NA,NA,NA,1
"DIY","SCR","435414","Rawlplug Universal Plug 8 x 32mm Blue40pk","Rawlplug","1.1CM","1.1CM","3.2CM","Rawlplug","8mm","Blue","40","Plastic",NA,NA,NA,NA,1
"DIY","SCR","435415","Rawlplug Universal Plug 10 x 36mm Grey40pk","Rawlplug","1.4CM","1.4CM","3.6CM","Rawlplug","10mm","Grey","40","Plastic",NA,NA,NA,NA,1
"DIY","SCR","435422","Rawlplug Tap It Fixing for Hollow Walls10.5 x 30mm 12pk","Rawlplug",".8CM",".8CM","4.0CM","Fixings","4 x 38mm","Gold","12","Steel",NA,NA,NA,NA,1
"DIY","SCR","435373","Screw Tite Screw Net Coat Yellow 3.5 x 16mm20pk","TITE",".6CM",".6CM","1.6CM","Screws and Caps","3.5 x 16mm",NA,"20",NA,NA,NA,NA,NA,1
"DIY","SCR","435374","Screw Tite Screw Net Coat Yellow 3.5 x 20mm20pk","TITE",".7CM",".7CM","2.0CM","Screws and Caps","3.5 x 20mm",NA,"20",NA,NA,NA,NA,NA,1
