"Article","Web Description","DQ Score"
"188788","Wilko Pedestal and Bath Mat Set Cream",1
"212344","Wilko Pedestal and Bath Mat Set White",1
"224930","Wilko Pedestal and Bath Mat Set Aqua Blue",1
"224957","Wilko Pedestal and Bath Mat Set Beige",1
"310276","Wilko Transparent Pebble Bath Mat",1
"310280","Wilko Bath Mat Non Slip Rubber White",1
"310281","Wilko Bath Mat Non Slip Rubber Cream",1
"310282","Wilko Bath Mat Non Slip Rubber Blue",1
"325904","Wilko Ribbed Bath Mat Deep Blue 50 x 70cm",1
"325907","Wilko Ribbed Bath Mat White 50 x 70cm",1
"325908","Wilko Ribbed Bath Mat Purple 50 x 70cm",1
"307756","Wilko Best Bath Mat Reversible Plum 50 x 70cm",1
"307758","Wilko Best Bath Mat Reversible Beige 50 x 70cm",1
"307759","Wilko Best Bath Mat Reversible White 50 x 70cm",1
"307763","Wilko Best Bath Mat Charcoal 50 x 70cm",1
"325645","Wilko Best Bath Mat Vanilla 50 x 70cm",1
"307755","Wilko Functional Bath Mat White 40 x 55cm",1
