"Article","Web Description","Brand","Type","Colour","Washable","Size","Material","DQ Score"
"347937","Croydex Bath Mat","Croydex","Bath Mats","White",NA,NA,NA,0.825
"212343","Wilko Pedestal and Bath Mat Set Violet","Wilko","Pedestal Set","Purple","Washable",NA,"100% Cotton",0.941666666666667
"327297","Wilko Pedestal Set Green Stripe 50 x 70cm and50 x 50cm","Wilko","Bathmat Set","Green","Washable","58.5x47.5cm",NA,0.941666666666667
"327298","Wilko Pedestal Set Neutral Stripe 50 x 70cm and50 x 50cm","Wilko","Bathmat Set","Cream","Washable","58.5x47.5cm",NA,0.941666666666667
"341655","Wilko Bath Mat Purple Chevron 50 x 70cm","Wilko","Bath Mats","Purple",NA,"50x70cm",NA,0.883333333333333
"341656","Wilko Bath Mat Black Chevron 50 x 70cm","Wilko","Bath Mats","Black",NA,"50x70cm",NA,0.883333333333333
"423352","Wilko Bath Micro Mat Hot Pink 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423353","Wilko Ribbed Bath Mat Hot Pink 50 x 70cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423358","Wilko Bath Micro Chilli Red 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423364","Wilko Bath Micro Mat Inferno 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423365","Wilko Ribbed Bath Mat Inferno 50 x 70cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423378","Wilko Bath Micro Mat Black 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423379","Wilko Bath Micro Mat Charcoal 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423380","Wilko Bath Micro Mat Hessian 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423381","Wilko Bath Micro Mat Beige 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423382","Wilko Bath Micro Mat Cream 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423383","Wilko Bath Micro Mat White 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423384","Wilko Bath Micro Mat Coastal Blue 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423385","Wilko Bath Micro Mat Deep Blue 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423386","Wilko Bath Micro Mat Aqua Blue 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423387","Wilko Bath Micro Mat Olive 50 x 80cm","Wilko","Bath Mats","Green",NA,NA,NA,0.825
"423388","Wilko Bath Micro Mat Dark Teal 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423389","Wilko Bath Micro Mat Navy 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"423390","Wilko Bath Micro Mat Purple 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"425635","Wilko Bath Micro Mat Heather 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"425938","Wilko Memory Foam Bath Mat Pebble Cream","Wilko","Bath Mats",NA,"Wash at 30","61x43cm","100% polyester",0.941666666666667
"425939","Wilko Memory Foam Bath Mat Pebble White","Wilko","Bath Mats",NA,"Wash at 30","61x43cm","100% polyester",0.941666666666667
"426379","Wilko Foot Massage Bath Mat White","Wilko","Bath Mats",NA,NA,"71cm x 41cm","PVC",0.883333333333333
"426380","Wilko Comfort Bath Mat White","Wilko","Bath Mats",NA,NA,"69cm x 40cm","PVC",0.883333333333333
"426704","Wilko Bath Mat Aqua","Wilko","Bath Mats",NA,"Wash at 40","50x70cm","100% Cotton",0.941666666666667
"426705","Wilko Sparkle Bath Mat Plum","Wilko","Bath Mats",NA,"Wash at 40","50x70cm","100% Cotton",0.941666666666667
"427616","Wilko Best Bath Towel Duck Egg","Wilko","Bath Towels",NA,NA,NA,NA,0.766666666666667
"427618","Wilko Best Bath Mat Duck Egg","Wilko","Bath Mats",NA,NA,NA,NA,0.766666666666667
"451447","Wilko Symmetry Bath Mat","Wilko","Bath Mats",NA,NA,"50 x 70cm","Pile - 100% Cotton",0.883333333333333
"453199","Wilko Coastal Bath Mat","Wilko","Bath Mats",NA,NA,"50 x 70cm","Pile - 100% Cotton",0.883333333333333
