"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"149819","Baby Bio Plant Food 175ml","Bayer","Plant Feed",NA,"175ml",0.8625
"263019","Baby Bio Orchid Food 175ml","Bayer","Plant Feed",NA,"175ml",0.8625
"342221","Baby Bio Original Food Single Drip Feed 40ml","Bayer","Plant Feed","1",NA,0.8625
"342222","Baby Bio Orchid Food Single-Use Dripper 40ml","Bayer","Plant Feed","1",NA,0.8625
"8354","Levington Tomorite Liquid Tomato Fertillser 1L","Levington","Plant Feed",NA,"1L",0.9125
"70899","Miracle Gro All Purpose Soluble Plant Food 1kg","Miracle-Gro","Plant Feed",NA,"1kg",0.8625
"313186","Bayer Toprose Rose and Shrub Feed 1kg","Toprose","Fertilisers",NA,"1kg",0.9125
"274756","Wilko Bonemeal 1.5Kg","Wilko","Fertilisers",NA,"1.5kg",0.9125
"274757","Wilko Fish Blood & Bone 1.5kg","Wilko","Fertilisers",NA,"1.5kg",0.9125
"342194","Wilko Liquid General Purpose Pour and Feed 1L","Wilko","Plant Feed",NA,"1L",0.9125
