"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"449404","Dulux Weathershield Multisurface Paint PureBrilliant White 750ml","Dulux","UPVC Paint","10sq m per litre","White","1","750ml",1
"315726","Hammerite Direct to Rust Metal Paint HammeredBlack 750ml","Hammerite","Metal Paint","5sq m","Black","1","750ml",1
"315727","Hammerite Direct to Rust Metal Paint SmoothBlack 750ml","Hammerite","Metal Paint","5mandSup2;.","Black","1","750ml",1
"315728","Hammerite Direct to Rust Metal Paint SmoothWhite 750ml","Hammerite","Metal Paint","5sq m","White","1","750ml",1
"315730","Hammerite Direct to Rust Metal Paint SatinBlack 750ml","Hammerite","Metal Paint","5mandSup2;.","Black","1","750ml",1
"428301","Sandtex Ultra Smooth Masonry PaintCornish Cream 2.5L","Sandtex","Smooth Masonry Paint","Masonry","Cream","1","2.5L",1
"428302","Sandtex Ultra Smooth Masonry PaintMagnolia 2.5L","Sandtex","Smooth Masonry Paint","Masonry","Cream","1","2.5L",1
"428303","Sandtex Ultra Smooth Masonry PaintPure Brilliant White 2.5L","Sandtex","Smooth Masonry Paint","Masonry","White","1","2.5L",1
"428304","Sandtex Ultra Smooth Masonry PaintChalk Hill 5L","Sandtex","Smooth Masonry Paint","Masonry","Cream","1","5L",1
"428306","Sandtex Ultra Smooth Masonry PaintCountry Stone 5L","Sandtex","Smooth Masonry Paint","Masonry","Cream","1","5L",1
"428307","Sandtex Ultra Smooth Masonry PaintIvory Stone 5L","Sandtex","Smooth Masonry Paint","Masonry","Cream","1","5L",1
"428308","Sandtex Ultra Smooth Masonry PaintMagnolia 5L","Sandtex","Smooth Masonry Paint","Masonry","Cream","1","5L",1
"428309","Sandtex Ultra Smooth Masonry PaintMid Stone 5L","Sandtex","Smooth Masonry Paint","Masonry","Brown","1","5L",1
"428313","Sandtex 10 Year Primer and UndercoatPure Brilliant White 750ml","Sandtex","Exterior Satin Paint","Wood and Metal","White","1","750ml",1
"428315","Sandtex 10 Year Exterior Satin PaintPure Brilliant White 750ml","Sandtex","Exterior Satin Paint","Wood and Metal","White","1","750ml",1
"428316","Sandtex 10 Year Exterior Gloss PaintCharcoal Black 750ml","Sandtex","Exterior Satin Paint","Wood and Metal","Black","1","750ml",1
"428317","Sandtex 10 Year Exterior Gloss PaintPure Brilliant White 750ml","Sandtex","Exterior Satin Paint","Wood and Metal","White","1","750ml",1
"428332","Sandtex Ultra Smooth Masonry PaintCornish Cream 5L","Sandtex","Smooth Masonry Paint","Masonry","Cream","1","5L",1
"428333","Sandtex Ultra Smooth Masonry PaintPure Brilliant White 5L","Sandtex","Smooth Masonry Paint","Masonry","White","1","5L",1
"10778","Wilko Exterior UndercoatDark Grey 750ml","Wilko","Exterior Undercoat Paint","9m²","Grey","1","750ml",1
"188995","Wilko Matt Brick and Tile PaintRed 1L","Wilko","Brick and Tile Paint","14m²","Red","1","1L",1
"189095","Wilko Step and Tile Gloss PaintRed 1L","Wilko","Step and Tile Paint","14m²","Red","1","1L",1
"273619","Wilko Exterior Gloss PaintSignal Red 750ml","Wilko","Exterior Gloss Paint","11m²","Red","1","750ml",1
"342044","Wilko Exterior Quick Dry Satin PaintPure Brilliant White 2.5L","Wilko","Exterior Satin Paint","30sq m","White","1","2.5L",1
"428705","Wilko Exterior Quick Dry Satin PaintCornish Slate 750ml","Wilko","Exterior Satin Paint","approx 11 sq. metres","Grey","0","750ml",1
"56577","Wilko Exterior Gloss PaintConker 750ml","Wilko","Exterior Gloss Paint","11m²","Brown","1","750ml",1
